name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Bellwether Hotel,pet-friendly-hotels,1300 Bardstown Rd,Louisville,KY,40204,502-735-1215,https://www.thebellwetherhotel.com/faqs,https://www.thebellwetherhotel.com/faqs,OFFICIAL_PROPERTY,2026-08-17,,,"The Bellwether Hotel allows dogs only with the following restrictions: Dogs are only allowed in first floor rooms. We allow up to two dogs to stay as long as their combined weight is not over 50 pounds, or one dog not over 50 pounds. A $35 pet fee will be required at time of booking.",,louisville-ky
Galt House Hotel,pet-friendly-hotels,140 N 4th St,Louisville,KY,40202,502-589-5200,https://galthouse.com/hotel-faq/,https://galthouse.com/hotel-faq/,OFFICIAL_PROPERTY,2026-08-17,,,The hotel allows up to two dogs (45 lbs or less) per room for a fee of $50 per dog. You must request to have your room cleaned and accompany your dog while the room is being cleaned.,,louisville-ky
Omni Louisville Hotel,pet-friendly-hotels,400 S 2nd St,Louisville,KY,40202,502-313-6664,https://www.omnihotels.com/hotels/louisville/property-details/policies,https://www.omnihotels.com/hotels/louisville/property-details/policies,OFFICIAL_PROPERTY,2026-08-17,,,"Omni Louisville Hotel is a pet-friendly hotel. Guests must have a valid credit card on their reservation. The weight of the pet is not to exceed 25 lbs. A non-refundable cleaning fee of $125 will be charged per stay per room (not per pet). One pet is allowed per guest room. If guest plans to have two or more animals in the room, he or she must contact the hotel directly to discuss. Only dogs and cats are allowed. Extreme or wild animals (snakes, birds, etc.) are not authorized. In the event a dog begins to bark or is the cause of guest complaints, the guest will be asked to remove the pet. The pet must be placed in a carrier when Hotel Associates enter the room. The guest will be required to sign a document accepting complete financial responsibility for any damage caused by the pet. Registered service animals are exempt from the pet policy - there is no weight limit or pet fee.",,louisville-ky
Drury Inn and Suites Louisville North,pet-friendly-hotels,9597 Brownsboro Rd,Louisville,KY,40241,502-425-5500,https://www.druryhotels.com/locations/louisville-ky/drury-inn-and-suites-louisville-north,https://www.druryhotels.com/locations/louisville-ky/drury-inn-and-suites-louisville-north,OFFICIAL_PROPERTY,2026-08-17,,,Dogs and cats accepted. Rooms with pets will be charged a daily fee of $50 per room plus tax. Service animals are free of charge. Limit of two pets per room with a combined weight of 80 pounds.,,louisville-ky
Red Roof Inn Louisville Expo Airport,pet-friendly-hotels,4704 Preston Hwy,Louisville,KY,40213,502-968-0151,https://www.redroof.com/property/ky/louisville/rri118,https://www.redroof.com/property/ky/louisville/rri118,OFFICIAL_PROPERTY,2026-08-17,,,"One, well-behaved domestic pet (cat or dog) Stays Free! Pets must be declared at check-in. Up to 2 pets allowed per room. Second pet $15/ night, not to exceed 7 nights or $105 per pet per stay. Pet not to exceed 80 pounds. Service and emotional support animals are always welcome.",,louisville-ky
Red Roof Inn Louisville Hurstbourne,pet-friendly-hotels,9330 Blairwood Rd,Louisville,KY,40222,,https://www.redroof.com/property/ky/louisville/rri034,https://www.redroof.com/property/ky/louisville/rri034,OFFICIAL_PROPERTY,2026-08-17,,,"One, well-behaved domestic pet (cat or dog) Stays Free! Pets must be declared at check-in. Up to 2 pets allowed per room. Second pet $15/ night, not to exceed 7 nights or $105 per pet per stay. Pet not to exceed 80 pounds. Service and emotional support animals are always welcome.",,louisville-ky
Studio 6 Louisville Airport Expo Center,pet-friendly-hotels,571 Phillips Lane,Louisville,KY,40209,502-361-5008,https://www.studio6.com/property/motel-louisville-kentucky-us-294003/,https://www.studio6.com/property/motel-louisville-kentucky-us-294003/,OFFICIAL_PROPERTY,2026-08-17,,,Pets allowed,,louisville-ky
Baymont by Wyndham Louisville Airport South,pet-friendly-hotels,6515 Signature Dr,Louisville,KY,40213,502-968-4100,https://www.wyndhamhotels.com/baymont/louisville-kentucky/baymont-inn-louisville-airport-south/overview,https://www.wyndhamhotels.com/baymont/louisville-kentucky/baymont-inn-louisville-airport-south/overview,OFFICIAL_PROPERTY,2026-08-17,,,Dogs only please.Two dogs up to 25 lbs are allowed for a non-refundable charge of $20 plus tax per pet per night with a $100 refundable deposit. ADA defined service animals are also welcome at this hotel.,,louisville-ky
Hawthorn Suites by Wyndham Louisville East,pet-friendly-hotels,751 Cypress Station Dr,Louisville,KY,40207,502-785-0823,https://www.wyndhamhotels.com/hawthorn-extended-stay/louisville-kentucky/hawthorn-suites-by-wyndham-louisville-east/overview,https://www.wyndhamhotels.com/hawthorn-extended-stay/louisville-kentucky/hawthorn-suites-by-wyndham-louisville-east/overview,OFFICIAL_PROPERTY,2026-08-17,,,Service Animals - ADA-defined service animals welcome. / Pets Allowed - 2 pets max. Dogs and cats only. 75lbs or less per pet. / Fees – 75USD per stay for 1–4 nights. 125USD per stay 5+ nights. 25USD per additional pet. / Other information - Contact hotel for additional details and availability.,,louisville-ky
Travelodge by Wyndham Sellersburg Louisville North,pet-friendly-hotels,7618 Old State Rd 60,Sellersburg,IN,47172,812-246-4451,https://www.wyndhamhotels.com/travelodge/sellersburg-indiana/travelodge-sellersburg-louisville-north/overview,https://www.wyndhamhotels.com/travelodge/sellersburg-indiana/travelodge-sellersburg-louisville-north/overview,OFFICIAL_PROPERTY,2026-08-17,,,Dogs and birds are allowed for a non-refundable charge of 20.00 USD per night. 1 pet maximum. Sorry no cats allowed. Pet Sanitation Fee is 150 USD if applicable. ADA defined service animals are welcome at this hotel.,,louisville-ky
Super 8 by Wyndham Louisville Airport,pet-friendly-hotels,4800 Preston Highway,Louisville,KY,40213,502-632-9574,https://www.wyndhamhotels.com/super-8/louisville-kentucky/super-8-louisville-airport/overview,https://www.wyndhamhotels.com/super-8/louisville-kentucky/super-8-louisville-airport/overview,OFFICIAL_PROPERTY,2026-08-17,,,Maximum of 2 pets with a max weight of 50 lbs per room at a nonrefundable charge of 25USD per pet per night. Pet Sanitation fee of 150.00 USD applies if applicable. ADA defined service animals are welcome at this hotel.,,louisville-ky
La Quinta Inn and Suites by Wyndham Louisville Northeast Old Henry,pet-friendly-hotels,13825 Terra View Trl,Louisville,KY,40245,502-919-7910,https://www.wyndhamhotels.com/laquinta/louisville-kentucky/la-quinta-inn-and-suites-louisville-ne-old-henry-rd/overview,https://www.wyndhamhotels.com/laquinta/louisville-kentucky/la-quinta-inn-and-suites-louisville-ne-old-henry-rd/overview,OFFICIAL_PROPERTY,2026-08-17,,,Service Animals - ADA-defined service animals are welcome free of charge. / Pets Allowed - 2 pets max. Cats and dogs only. 75lbs or less per pet. / Fees - Non-refundable 25 USD nightly for up to 2 pets. Max 75 USD per stay. / Other Information - Contact hotel for additional details and availability.,,louisville-ky
