name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Augusta Marriott at the Convention Center,pet-friendly-hotels,2 10th Street,Augusta,GA,30901,,https://www.marriott.com/en-us/hotels/agsmc-augusta-marriott-at-the-convention-center/overview/,https://www.marriott.com/en-us/hotels/agsmc-augusta-marriott-at-the-convention-center/overview/,OFFICIAL_PROPERTY,2026-09-16,,,Pet Policy: Pets Welcome. 2 domestic pets 40 pounds max per room with USD 125 fee per room per stay.,,augusta-ga
Candlewood Suites,pet-friendly-hotels,1080 Claussen Rd,Fort Eisenhower,GA,30907,,https://www.ihg.com/candlewood/hotels/us/en/augusta/agsrp/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/augusta/agsrp/hoteldetail,OFFICIAL_PROPERTY,2026-09-16,,,Pet-friendly (75 USD / stay) Pet Friendly Pets allowed with nonrefundable fee Max 2 pets Pet agreement must be signed at check in Pet rooms are based on availability Can I bring my pet to Candlewood Suites Augusta? Pets are welcome at Candlewood Suites Augusta Pet policy description Pet fee per stay: 75 USD Pet damage deposit: 75 USD Pet weight limit: 35 2 pets allowed Pets allowed: Only dogs allowed Pet policy,,augusta-ga
Courtyard Augusta,pet-friendly-hotels,1045 Stevens Creek Road,Augusta,GA,30907,,https://www.marriott.com/en-us/hotels/agsch-courtyard-augusta/overview/,https://www.marriott.com/en-us/hotels/agsch-courtyard-augusta/overview/,OFFICIAL_PROPERTY,2026-09-16,,,Pet Policy: Pets Welcome. Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals. Non-Refundable Pet Fee Per Stay: $100.00. Maximum Pet Weight: 50.0lbs. Maximum Number of Pets in Room: 2.,,augusta-ga
Days Inn by Wyndham Thomson,pet-friendly-hotels,1847 Washington Rd,Thomson,GA,30824,,https://www.openstreetmap.org/way/677904100,https://www.openstreetmap.org/way/677904100,OFFICIAL_PROPERTY,2026-09-16,,,1 pet allowed either a dog or a cat only for a non-refundable charge of 25.00 USD per stay. Pets must be crated and must not weigh more than 40 lbs. Pet Sanitation Fee is 25.00 USD if applicable. ADA defined service animals are welcome at this hotel.,,augusta-ga
Hampton Inn & Suites by Hilton Augusta-Washington Road,pet-friendly-hotels,3028 B Washington Road,Augusta,GA,30907,,https://www.openstreetmap.org/node/4570424026,https://www.openstreetmap.org/node/4570424026,OFFICIAL_PROPERTY,2026-09-16,,,"Pets allowed: Yes. Deposit: Yes. $75.00 Non-refundable Fee. Max weight: 75 lbs. Max size: Medium. Other pet information: $75(1-4n),$125(5+n) 2 pets Max, dog/cat only",,augusta-ga
Holiday Inn Express Augusta Downtown,pet-friendly-hotels,444 Broad Street,Augusta,GA,30901,,https://www.ihg.com/holidayinnexpress/hotels/us/en/augusta/agsdt/hoteldetail,https://www.ihg.com/holidayinnexpress/hotels/us/en/augusta/agsdt/hoteldetail,OFFICIAL_PROPERTY,2026-09-16,,,"Pet Friendly Hotel Downtown Augusta | Holiday Inn Express Augusta Downtown Make yourself comfortable at our pet friendly hotel Pet-friendly (100 USD / stay) We know your pet is part of the family, especially when you are on the road That is why we are not just pet friendly but we are pet preferred Click on our Pet Policy for more information Can I bring my pet to Holiday Inn Express Augusta Downtown? Pets are welcome at Holiday Inn Express Augusta Downtown Pet policy description Pets allowed with a one nonrefundable fee of 100 plus tax per stay Maximum weight for all pets not to exceed 75 pounds Pet agreement must be signed at check in Strict limit of two pets Pet fee per stay: 100 USD Pet damage deposit: 100 USD",,augusta-ga
Hyatt Place Augusta,pet-friendly-hotels,160 Mason McKnight Junior Parkway,Augusta,GA,30907,,https://www.hyatt.com/hyatt-place/en-US/agsza-hyatt-place-augusta,https://www.hyatt.com/hyatt-place/en-US/agsza-hyatt-place-augusta,OFFICIAL_PROPERTY,2026-09-16,,,"For guest staying up to six nights, a $100 nonrefundable pet fee will be administered. For guests staying 7-30 nights, a $100 nonrefundable pet fee plus a $100 cleaning fee will be administered. A maximum of two dogs per room are permitted. Only dogs weighing 50 pounds or less are permitted; two dogs may be allowed in a room provided their combined weight does not exceed 75 pounds. All pets must be housebroken.",,augusta-ga
Red Roof Inn,pet-friendly-hotels,2176 Gordon Highway,Augusta,GA,30909,,https://www.redroof.com/property/ga/augusta/rri450,https://www.redroof.com/property/ga/augusta/rri450,OFFICIAL_PROPERTY,2026-09-16,,,"Pet Policy: One, well-behaved domestic pet (cat or dog) Stays Free! Pets must be declared at check-in. Up to 2 pets allowed per room. Second pet $15/night, not to exceed 7 nights or $105 per pet per stay. Pet not to exceed 80 pounds. Service and emotional support animals are always welcome.",,augusta-ga
Rodeway Inn,pet-friendly-hotels,3027 Washington Rd Unit B,Augusta,GA,30907,,https://www.openstreetmap.org/way/586442475,https://www.openstreetmap.org/way/586442475,OFFICIAL_PROPERTY,2026-09-16,,,"Pet Friendly* Pets Pets Allowed: Yes General: Pets are allowed A maximum of 1 pet per room Service animals are permitted, without charge Pets are allowed",,augusta-ga
Sheraton Augusta Hotel,pet-friendly-hotels,1069 Stevens Creek Road,Augusta,GA,30907,,https://www.marriott.com/en-us/hotels/agssi-sheraton-augusta-hotel/overview/,https://www.marriott.com/en-us/hotels/agssi-sheraton-augusta-hotel/overview/,OFFICIAL_PROPERTY,2026-09-16,,,Pet Policy: Pets Welcome. Non-refundable fee of $75.00. Maximum Pet Weight: 40.0lbs.,,augusta-ga
