name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Ac Hotel Charlotte City Center,pet-friendly-hotels,220 East Trade Street,Charlotte,NC,28202,+17043484002,https://www.marriott.com/en-us/hotels/cltad-ac-hotel-charlotte-city-center/overview/,https://www.marriott.com/en-us/hotels/cltad-ac-hotel-charlotte-city-center/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome Non-refundable one-time $100 pet fee. Maximum Pet Weight: 65.0lbs Maximum Number of Pets in Room: 2,,charlotte-nc
Ac Hotel Charlotte Southpark,pet-friendly-hotels,1824 Roxborough Road,Charlotte,NC,28211,+19802812080,https://www.marriott.com/en-us/hotels/cltat-ac-hotel-charlotte-southpark/overview/,https://www.marriott.com/en-us/hotels/cltat-ac-hotel-charlotte-southpark/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome $150 maximum per stay. Non-Refundable Pet Fee Per Night: $50.00 Maximum Number of Pets in Room: 2,,charlotte-nc
Aloft by Marriott Charlotte Airport,pet-friendly-hotels,3928 Memorial Parkway,Charlotte,NC,28217,+19802795550,https://www.marriott.com/en-us/hotels/cltap-aloft-charlotte-airport/overview/,https://www.marriott.com/en-us/hotels/cltap-aloft-charlotte-airport/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome maximum 2 pets (40lbs) Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,charlotte-nc
Aloft by Marriott Charlotte Ballantyne,pet-friendly-hotels,13139 Ballantyne Corporate Place,Charlotte,NC,28277,+17042472222,https://www.marriott.com/en-us/hotels/cltal-aloft-charlotte-ballantyne/overview/,https://www.marriott.com/en-us/hotels/cltal-aloft-charlotte-ballantyne/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome Cannot leave pet unattended. Fee for pets other than dogs. Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,charlotte-nc
Aloft by Marriott Charlotte City Center,pet-friendly-hotels,210  East Trade Street,Charlotte,NC,28202,+17043331999,https://www.marriott.com/en-us/hotels/cltul-aloft-charlotte-city-center/overview/,https://www.marriott.com/en-us/hotels/cltul-aloft-charlotte-city-center/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome 2 pets allowed (40 pounds or less); USD 50 non-refundable fee per night Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,charlotte-nc
avid hotels Fort Mill - Carowinds Blvd,pet-friendly-hotels,154 Springhill Farm Road,Fort Mill,SC,29715,(803) 228-9235,https://www.ihg.com/avidhotels/hotels/us/en/fort-mill/cltav/hoteldetail,https://www.ihg.com/avidhotels/hotels/us/en/fort-mill/cltav/hoteldetail,OFFICIAL_PROPERTY,2026-09-10,,,Pets are welcome but we do ask that they be kept in a carrier or on a leash at all times. Please stop by the front desk for additional details.,,charlotte-nc
Candlewood Suites Charlotte - Arrowood,pet-friendly-hotels,7926 Forest Pine Drive,Charlotte,NC,28273,1-704-5213232,https://www.ihg.com/candlewood/hotels/us/en/charlotte/cltfr/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/charlotte/cltfr/hoteldetail,OFFICIAL_PROPERTY,2026-09-10,,,Pets are welcome! A max of 2 pets per room at 60 lbs each. Registration is required at check in. A non refundable fee of 75 per pet for a 1 to 6 night stay or 7 or more nights is 150 per pet will be charged non inclusive of tax.,,charlotte-nc
Candlewood Suites Fort Mill-Amusement Park Area,pet-friendly-hotels,3695 Foothills Way,Fort Mill,SC,29708,1-803-5482401,https://www.ihg.com/candlewood/hotels/us/en/fort-mill/cltfm/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/fort-mill/cltfm/hoteldetail,OFFICIAL_PROPERTY,2026-09-10,,,Pets are welcome at Candlewood Suites Fort Mill-Amusement Park Area.,,charlotte-nc
Candlewood Suites Huntersville-Lake Norman Area,pet-friendly-hotels,16530 Northcross Drive,Huntersville,NC,28078,1-704-8953434,https://www.ihg.com/candlewood/hotels/us/en/huntersville/huncw/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/huntersville/huncw/hoteldetail,OFFICIAL_PROPERTY,2026-09-10,,,Pets are welcome at Candlewood Suites Huntersville-Lake Norman Area.,,charlotte-nc
Canopy by Hilton Charlotte Southpark,pet-friendly-hotels,4905 Barclay Downs Drive,Charlotte,NC,28210,+1 704-552-1715,https://www.hilton.com/en/hotels/cltpypy-canopy-charlotte-southpark/,https://www.hilton.com/en/hotels/cltpypy-canopy-charlotte-southpark/,OFFICIAL_PROPERTY,2026-09-10,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum",,charlotte-nc
Charlotte Marriott City Center,pet-friendly-hotels,100 West Trade Street,Charlotte,NC,28202,+17043339000,https://www.marriott.com/en-us/hotels/cltcc-charlotte-marriott-city-center/overview/,https://www.marriott.com/en-us/hotels/cltcc-charlotte-marriott-city-center/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome Dogs may not be left alone in room Non-Refundable Pet Fee Per Stay: $50.00 Maximum Pet Weight: 50.0lbs Maximum Number of Pets in Room: 2,,charlotte-nc
Charlotte Marriott Southpark,pet-friendly-hotels,2200 Rexford Road,Charlotte,NC,28211,+17043648220,https://www.marriott.com/en-us/hotels/cltph-charlotte-marriott-southpark/overview/,https://www.marriott.com/en-us/hotels/cltph-charlotte-marriott-southpark/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome $150 maximum per stay. Non-Refundable Pet Fee Per Stay: $75.00 Maximum Number of Pets in Room: 2,,charlotte-nc
Courtyard by Marriott Charlotte Airport North,pet-friendly-hotels,1625 N Josh Birmingham Pkwy,Charlotte,NC,28214,+17043199900,https://www.marriott.com/en-us/hotels/cltca-courtyard-charlotte-airport-north/overview/,https://www.marriott.com/en-us/hotels/cltca-courtyard-charlotte-airport-north/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome Pets cannot be left unattended in the room. Non-Refundable Pet Fee Per Stay: $45.00 Maximum Pet Weight: 60.0lbs Maximum Number of Pets in Room: 2,,charlotte-nc
Courtyard by Marriott Charlotte Arrowood,pet-friendly-hotels,800 West Arrowood Road,Charlotte,NC,28217,+17045275055,https://www.marriott.com/en-us/hotels/cltaw-courtyard-charlotte-arrowood/overview/,https://www.marriott.com/en-us/hotels/cltaw-courtyard-charlotte-arrowood/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals Non-Refundable Pet Fee Per Stay: $100.00 Non-Refundable Pet Fee Per Night: $20.00 Maximum Pet Weight: 40.0lbs,,charlotte-nc
Courtyard by Marriott Charlotte Gastonia,pet-friendly-hotels,1856 Remount Road,Gastonia,NC,28054,+17048524411,https://www.marriott.com/en-us/hotels/cltcg-courtyard-charlotte-gastonia/overview/,https://www.marriott.com/en-us/hotels/cltcg-courtyard-charlotte-gastonia/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome Pet Policy: $75 USD non-refundable fee per stay. Max 2 pets per room. Maximum Pet Weight: 70.0lbs Maximum Number of Pets in Room: 2,,charlotte-nc
Courtyard by Marriott Charlotte Northlake,pet-friendly-hotels,9110 Harris Corners Parkway,Charlotte,NC,28269,+17047199494,https://www.marriott.com/en-us/hotels/cltno-courtyard-charlotte-northlake/overview/,https://www.marriott.com/en-us/hotels/cltno-courtyard-charlotte-northlake/overview/,OFFICIAL_PROPERTY,2026-09-10,,,Pets Welcome Non-Refundable Pet Fee Per Stay: $100.00,,charlotte-nc
