name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel Dayton,pet-friendly-hotels,124 Madison St,Dayton,OH,45402,(937) 965-7500,https://www.marriott.com/en-us/hotels/dayac-ac-hotel-dayton/overview/,https://www.marriott.com/en-us/hotels/dayac-ac-hotel-dayton/overview/,OFFICIAL_PROPERTY,2026-08-10,,,Pets Welcome USD 50 nightly fee per pet- no aggressive breeds Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 25.0lbs Maximum Number of Pets in Room: 1,,dayton-oh
Courtyard by Marriott Dayton North,pet-friendly-hotels,7087 Miller Ln,Dayton,OH,45414,(937) 890-6112,https://www.marriott.com/en-us/hotels/daycn-courtyard-dayton-north/overview/,https://www.marriott.com/en-us/hotels/daycn-courtyard-dayton-north/overview/,OFFICIAL_PROPERTY,2026-08-10,,,Pets Welcome $100 non-refundable pet fee per stay Non-Refundable Pet Fee Per Stay: $100.00,,dayton-oh
Courtyard by Marriott Springfield Downtown,pet-friendly-hotels,100 South Fountain Avenue,Springfield,OH,45502,(937) 322-3600,https://www.marriott.com/en-us/hotels/daycs-courtyard-springfield-downtown/overview/,https://www.marriott.com/en-us/hotels/daycs-courtyard-springfield-downtown/overview/,OFFICIAL_PROPERTY,2026-08-10,,,"Pets Welcome Pets allowed with USD 75 + 17.25% tax, non-refundable fee per stay ($87.94) Non-Refundable Pet Fee Per Stay: $75.00 Maximum Number of Pets in Room: 3",,dayton-oh
Days Inn by Wyndham Sidney,pet-friendly-hotels,400 Folkerth Avenue,Sidney,OH,45365,(937) 492-2884,https://www.wyndhamhotels.com/days-inn/sidney-ohio/days-inn-sidney-oh/overview,https://www.wyndhamhotels.com/days-inn/sidney-ohio/days-inn-sidney-oh/overview,OFFICIAL_PROPERTY,2026-08-10,,,Pets Allowed - 2 pets max. Cats and dogs only. / Fees - Non-refundable 15 USD nightly per pet. / Other Information - Pets cannot be left unattended in room.,,dayton-oh
DoubleTree by Hilton Dayton Fairborn,pet-friendly-hotels,2800 Presidential Dr,Fairborn,OH,45324,(937) 426-7800,https://www.hilton.com/en/hotels/dayesdt-doubletree-dayton-fairborn/,https://www.hilton.com/en/hotels/dayesdt-doubletree-dayton-fairborn/,OFFICIAL_PROPERTY,2026-08-10,,,Pets allowed Yes Deposit Yes. $75.00 Non-refundable Fee Max weight 75 lbs,,dayton-oh
Drury Inn & Suites Dayton North,pet-friendly-hotels,6616 Miller Ln,Dayton,OH,45414,(937) 454-5200,https://www.druryhotels.com/locations/dayton-oh/drury-inn-and-suites-dayton-north,https://www.druryhotels.com/locations/dayton-oh/drury-inn-and-suites-dayton-north,OFFICIAL_PROPERTY,2026-08-10,,,Dogs and cats accepted. Rooms with pets will be charged a daily fee of $50 per room plus tax. Service animals are free of charge. Limit of two pets per room with a combined weight of 80 pounds.,,dayton-oh
Fairfield Inn & Suites Dayton North,pet-friendly-hotels,7072 York Center Dr,Dayton,OH,45414,(937) 576-1500,https://www.marriott.com/en-us/hotels/dayfn-fairfield-inn-and-suites-dayton-north/overview/,https://www.marriott.com/en-us/hotels/dayfn-fairfield-inn-and-suites-dayton-north/overview/,OFFICIAL_PROPERTY,2026-08-10,,,Pets Welcome Pets Allowed $50 non-refundable fee per night Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,dayton-oh
Fairfield Inn & Suites Dayton South,pet-friendly-hotels,8035 Washington Village Dr,Dayton,OH,45458,(937) 428-7736,https://www.marriott.com/en-us/hotels/daysf-fairfield-inn-and-suites-dayton-south/overview/,https://www.marriott.com/en-us/hotels/daysf-fairfield-inn-and-suites-dayton-south/overview/,OFFICIAL_PROPERTY,2026-08-10,,,Pets Welcome $100 USD Non-Refundable Pet Fee Per StayDogs only Maximum Number of Pets in Room: 2,,dayton-oh
Hampton Inn & Suites Dayton-Vandalia,pet-friendly-hotels,7043 Miller Ln,Dayton,OH,45414,(937) 387-0598,https://www.hilton.com/en/hotels/dayvnhx-hampton-suites-dayton-vandalia/,https://www.hilton.com/en/hotels/dayvnhx-hampton-suites-dayton-vandalia/,OFFICIAL_PROPERTY,2026-08-10,,,Pets allowed Yes Deposit Yes. $50.00 Non-refundable Fee Other pet information 1-4 night stay $50; 5+ night stay $75; 2 pets max; dog or cat only,,dayton-oh
Hampton Inn by Hilton Dayton South,pet-friendly-hotels,8960 Mall Ring Rd,Dayton,OH,45459,(937) 439-1800,https://www.hilton.com/en/hotels/dayshhx-hampton-dayton-south/,https://www.hilton.com/en/hotels/dayshhx-hampton-dayton-south/,OFFICIAL_PROPERTY,2026-08-10,,,Pets allowed Yes Deposit Yes. $75.00 Non-refundable Fee Max weight 75 lbs Max size Medium Other pet information 1-4 night stay $75; 5+ night stay $125; 2 pets max; dog or cat only,,dayton-oh
