name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel Ann Arbor Downtown,pet-friendly-hotels,310 East Huron Street,Ann Arbor,MI,48104,7342496200,https://www.marriott.com/en-us/hotels/dtwad-ac-hotel-ann-arbor-downtown/overview/,https://www.marriott.com/en-us/hotels/dtwad-ac-hotel-ann-arbor-downtown/overview/,OFFICIAL_PROPERTY,2026-08-29,,,Pets Welcome […] Non-Refundable Pet Fee Per Stay: $150.00 […] Maximum Pet Weight: 50.0lbs […] Maximum Number of Pets in Room: 1,,detroit-ann-arbor-mi
Baymont by Wyndham Detroit Airport Romulus,pet-friendly-hotels,9000 Wickham Road,Romulus,MI,48174,7343295583,https://www.wyndhamhotels.com/baymont/romulus-michigan/baymont-inn-and-suites-detroit-airport-romulus/overview,https://www.wyndhamhotels.com/baymont/romulus-michigan/baymont-inn-and-suites-detroit-airport-romulus/overview,OFFICIAL_PROPERTY,2026-08-17,,,2 Pets are allowed with a maximum weight of 50 lbs at a non-refundable charge of 25 USD for the first night and 10 USD for each additional night. ADA defined service animals are also welcome at this hotel. […] ADA defined service animals are also welcome at this hotel.,,detroit-ann-arbor-mi
Courtyard by Marriott Detroit Dearborn,pet-friendly-hotels,5200 Mercury Drive,Dearborn,MI,48126,3132711400,https://www.marriott.com/en-us/hotels/dttdb-courtyard-detroit-dearborn/overview/,https://www.marriott.com/en-us/hotels/dttdb-courtyard-detroit-dearborn/overview/,OFFICIAL_PROPERTY,2026-08-29,,,Pets Welcome […] Non-Refundable Pet Fee Per Night: $20.00 […] Pet fee $20/day with $100/stay nonrefundable clean fee […] Maximum Pet Weight: 35.0lbs […] Maximum Number of Pets in Room: 2,,detroit-ann-arbor-mi
Courtyard by Marriott Detroit Troy,pet-friendly-hotels,1525 East Maple Road,Troy,MI,48083,2485282800,https://www.marriott.com/en-us/hotels/dtttr-courtyard-detroit-troy/overview/,https://www.marriott.com/en-us/hotels/dtttr-courtyard-detroit-troy/overview/,OFFICIAL_PROPERTY,2026-08-29,,,Pets Welcome […] Non-Refundable Pet Fee Per Night: $20.00 […] Pet fee $20/day with $100/stay nonrefundable clean fee […] Maximum Pet Weight: 30.0lbs […] Maximum Number of Pets in Room: 2,,detroit-ann-arbor-mi
Days Inn by Wyndham Ann Arbor,pet-friendly-hotels,Carpenter Road,Ann Arbor,MI,48108,,https://www.wyndhamhotels.com/days-inn/ann-arbor-michigan/days-inn-ann-arbor/overview,https://www.wyndhamhotels.com/days-inn/ann-arbor-michigan/days-inn-ann-arbor/overview,OFFICIAL_PROPERTY,2026-08-29,,,pets allowed […] 15.00 USD per pet per night […] maximum of 2 pets […] ADA defined service animals are welcome at this hotel.,,detroit-ann-arbor-mi
Days Inn by Wyndham Livonia - Detroit,pet-friendly-hotels,36655 Plymouth Road,Livonia,MI,48150,7346665930,https://www.wyndhamhotels.com/days-inn/livonia-michigan/days-inn-livonia-canton-detroit/overview,https://www.wyndhamhotels.com/days-inn/livonia-michigan/days-inn-livonia-canton-detroit/overview,OFFICIAL_PROPERTY,2026-08-29,,,Dogs Allowed […] deposit of 150USD […] Dogs only […] Service Animals - ADA-defined service animals welcome.,,detroit-ann-arbor-mi
Delta Hotels by Marriott Detroit Novi,pet-friendly-hotels,37529 Grand River Avenue,Farmington Hill,MI,48335,2486536060,https://www.marriott.com/en-us/hotels/dtwdf-delta-hotels-detroit-novi/overview/,https://www.marriott.com/en-us/hotels/dtwdf-delta-hotels-detroit-novi/overview/,OFFICIAL_PROPERTY,2026-08-29,,,Pets Welcome […] Maximum Pet Weight: 50.0lbs […] Maximum Number of Pets in Room: 2,,detroit-ann-arbor-mi
Detroit Foundation Hotel,pet-friendly-hotels,250 West Larned Street,Detroit,MI,48226,313-800-5500,https://detroitfoundationhotel.com/,https://detroitfoundationhotel.com/,OFFICIAL_PROPERTY,2026-08-29,,,"At Foundation Hotel, we cherish our pups just as much as you do […] Our dog-friendly hotel loves to pamper your pooch!",,detroit-ann-arbor-mi
Detroit Marriott Livonia,pet-friendly-hotels,17100 Laurel Park Drive North,Livonia,MI,48152,7344623100,https://www.marriott.com/en-us/hotels/dtwli-detroit-marriott-livonia/overview/,https://www.marriott.com/en-us/hotels/dtwli-detroit-marriott-livonia/overview/,OFFICIAL_PROPERTY,2026-08-29,,,Pets Welcome […] Dogs Only. Cats are not permitted […] Non-Refundable Pet Fee Per Stay: $150.00 […] Maximum Pet Weight: 50.0lbs […] Maximum Number of Pets in Room: 2,,detroit-ann-arbor-mi
Detroit Metro Airport Marriott,pet-friendly-hotels,30559 Flynn Dr,Romulus,MI,48174,7347297555,https://www.marriott.com/en-us/hotels/dtwrm-detroit-metro-airport-marriott/overview/,https://www.marriott.com/en-us/hotels/dtwrm-detroit-metro-airport-marriott/overview/,OFFICIAL_PROPERTY,2026-08-29,,,Pets Welcome […] Non-Refundable Pet Fee Per Stay: $50.00 […] Maximum Pet Weight: 45.0lbs […] Maximum Number of Pets in Room: 2,,detroit-ann-arbor-mi
Element Detroit at the Metropolitan,pet-friendly-hotels,33 John R Street,Detroit,MI,48226,3133062400,https://www.marriott.com/en-us/hotels/dtwel-element-detroit-at-the-metropolitan/overview/,https://www.marriott.com/en-us/hotels/dtwel-element-detroit-at-the-metropolitan/overview/,OFFICIAL_PROPERTY,2026-08-29,,,Pets Welcome […] Maximum Pet Weight: 40.0lbs […] Maximum Number of Pets in Room: 1,,detroit-ann-arbor-mi
Embassy Suites by Hilton Detroit Metro Airport,pet-friendly-hotels,8600 Wickham Road,Romulus,MI,48174,7347289200,https://www.hilton.com/en/hotels/dethses-embassy-suites-detroit-metro-airport/,https://www.hilton.com/en/hotels/dethses-embassy-suites-detroit-metro-airport/,OFFICIAL_PROPERTY,2026-08-17,,,Pets allowed: Yes […] 1-4 night stay $75; 5+ night stay $125; 2 pets max; dog or cat only […] Max weight: 75 lbs,,detroit-ann-arbor-mi
EVEN Hotel Ann Arbor,pet-friendly-hotels,600 Briarwood Circle,Ann Arbor,MI,48108,7347612929,https://www.ihg.com/evenhotels/hotels/us/en/ann-arbor/arbmi/hoteldetail,https://www.ihg.com/evenhotels/hotels/us/en/ann-arbor/arbmi/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,pets allowed […] Pet fee per night: 75 USD […] up to 35 lbs […] 2 pets allowed,,detroit-ann-arbor-mi
EVEN Hotel Detroit North Troy,pet-friendly-hotels,575 W. Big Beaver,Troy,MI,48084,2487206400,https://www.ihg.com/evenhotels/hotels/us/en/troy/dttry/hoteldetail,https://www.ihg.com/evenhotels/hotels/us/en/troy/dttry/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,Pets are welcome […] Pet fee per night: 100 USD […] 70lbs or less […] 2 pets allowed,,detroit-ann-arbor-mi
Extended Stay America Detroit Ann Arbor University South,pet-friendly-hotels,3265 Boardwalk Drive,Ann Arbor,MI,48108,734-997-7623,https://www.extendedstayamerica.com/hotels/mi/detroit/ann-arbor-university-south,https://www.extendedstayamerica.com/hotels/mi/detroit/ann-arbor-university-south,OFFICIAL_PROPERTY,2026-08-29,,,"Yes. Extended Stay America Detroit - Ann Arbor - University South offers pet-friendly rooms, so you can bring your furry companion along for your stay.",,detroit-ann-arbor-mi
Fairfield Inn & Suites Detroit Farmington Hills,pet-friendly-hotels,27777 Stansbury Boulevard,Farmington Hills,MI,48334,248-442-9800,https://www.marriott.com/en-us/hotels/dtwfh-fairfield-inn-and-suites-detroit-farmington-hills/overview/,https://www.marriott.com/en-us/hotels/dtwfh-fairfield-inn-and-suites-detroit-farmington-hills/overview/,OFFICIAL_PROPERTY,2026-08-29,,,Pets Welcome […] Pet friendly hotel. $150 flat fee. Nonrefundable. […] Maximum Pet Weight: 50.0lbs […] Maximum Number of Pets in Room: 2,,detroit-ann-arbor-mi
Hampton Inn & Suites Detroit Airport Romulus,pet-friendly-hotels,31700 Smith Road,Romulus,MI,48174,7345950033,https://www.hilton.com/en/hotels/dttrmhx-hampton-suites-detroit-airport-romulus/,https://www.hilton.com/en/hotels/dttrmhx-hampton-suites-detroit-airport-romulus/,OFFICIAL_PROPERTY,2026-08-17,,,Pets allowed: Yes […] 1-4 night stay $75; 5+ night stay $125; 2 pets max; dog or cat only […] Max weight: 75 lbs,,detroit-ann-arbor-mi
Hilton Garden Inn Detroit Metro Airport,pet-friendly-hotels,31800 Smith Road,Romulus,MI,48174,7347276000,https://www.hilton.com/en/hotels/detmagi-hilton-garden-inn-detroit-metro-airport/,https://www.hilton.com/en/hotels/detmagi-hilton-garden-inn-detroit-metro-airport/,OFFICIAL_PROPERTY,2026-08-17,,,Pets allowed: Yes […] 1-4 night stay $75; 5+ night stay $125; 2 pets max; dog or cat only […] Max weight: 75 lbs,,detroit-ann-arbor-mi
Holiday Inn & Suites Farmington Hills Detroit NW,pet-friendly-hotels,33103 Hamilton Ct,Farmington Hills,MI,48334,2485161280,https://www.ihg.com/holidayinn/hotels/us/en/farmington-hills/dttfa/hoteldetail,https://www.ihg.com/holidayinn/hotels/us/en/farmington-hills/dttfa/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,pets allowed […] under 90 pounds […] 2 pets allowed […] Pets and service animals are allowed.,,detroit-ann-arbor-mi
Holiday Inn Detroit Northwest - Livonia,pet-friendly-hotels,17123 N. Laurel Park Dr. N,Livonia,MI,48152,7342454700,https://www.ihg.com/holidayinn/hotels/us/en/livonia/dttlv/hoteldetail,https://www.ihg.com/holidayinn/hotels/us/en/livonia/dttlv/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,pets allowed […] 75 USD Pet damage deposit […] Pet fee per night: 75 USD […] 2 pets allowed,,detroit-ann-arbor-mi
Hotel Indigo Detroit Downtown,pet-friendly-hotels,1020 Washington Boulevard,Detroit,MI,48226,3138877000,https://www.ihg.com/hotelindigo/hotels/us/en/detroit/dttwb/hoteldetail,https://www.ihg.com/hotelindigo/hotels/us/en/detroit/dttwb/hoteldetail,OFFICIAL_PROPERTY,2026-08-17,,,Pets are welcome at Hotel Indigo Detroit Downtown. […] Pets allowed: Only dogs and cats allowed […] 2 pets allowed […] There is a one time 100.00 dollar non refundable fee per pet per stay with a maximum of two pets per room. […] Service animals welcome at no additional fee. […] Pet fee per night: 100 USD […] Pet weight limit: 50,,detroit-ann-arbor-mi
Hotel Indigo Detroit North Troy,pet-friendly-hotels,575 W. Big Beaver,Troy,MI,48084,2487206400,https://www.ihg.com/hotelindigo/hotels/us/en/troy/dttoy/hoteldetail,https://www.ihg.com/hotelindigo/hotels/us/en/troy/dttoy/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,Pets are welcome […] Pet fee per night: 100 USD […] 50lbs or less […] 2 pets allowed,,detroit-ann-arbor-mi
La Quinta Inn & Suites,pet-friendly-hotels,30847 Flynn Drive,Romulus,MI,48174,7347211100,https://www.wyndhamhotels.com/laquinta/romulus-michigan/la-quinta-detroit-metro-airport/overview,https://www.wyndhamhotels.com/laquinta/romulus-michigan/la-quinta-detroit-metro-airport/overview,OFFICIAL_PROPERTY,2026-08-29,,,Pets Allowed […] 25 USD nightly  […] Max 75 USD per stay […] 75lbs or less […] up to 2 pets […] Cats and dogs only […] Service Animals - ADA-defined service animals are welcome free of charge.,,detroit-ann-arbor-mi
Quality Inn & Suites Ann Arbor,pet-friendly-hotels,2376 Carpenter Road,Ann Arbor,MI,48108,7344779977,https://www.choicehotels.com/michigan/ann-arbor/comfort-inn-hotels/mi356,https://www.choicehotels.com/michigan/ann-arbor/comfort-inn-hotels/mi356,OFFICIAL_PROPERTY,2026-08-29,,,"Pets Allowed […] 15.00 USD per night, per pet […] maximum of 3 pets […] Service animals are permitted, without charge.",,detroit-ann-arbor-mi
Rodeway Inn Auburn Hills - Detroit,pet-friendly-hotels,1471 North Opdyke Road,Auburn Hills,MI,48326,2483708100,https://www.choicehotels.com/michigan/auburn-hills/rodeway-inn-hotels/mi399,https://www.choicehotels.com/michigan/auburn-hills/rodeway-inn-hotels/mi399,OFFICIAL_PROPERTY,2026-08-29,,,"Pet allowed […] 10 USD per night per pet […] Maximum of 2 dogs per room […] Dogs only […] No cats […] Service animals are permitted, without charge.",,detroit-ann-arbor-mi
Staybridge Suites Ann Arbor University of Michigan,pet-friendly-hotels,3850 Research Park Drive,Ann Arbor,MI,48108,,https://www.ihg.com/staybridge/hotels/us/en/ann-arbor/arbsb/hoteldetail,https://www.ihg.com/staybridge/hotels/us/en/ann-arbor/arbsb/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,Pets are welcome […] 75.00 USD for 1 to 6 nights […] 125.00 USD 7 or more nights […] 2 pets maximum per room […] Cats and dogs allowed […] Emotional Support Animals are not exempt from pet fee as they are not recognized by ADA as a service animal.,,detroit-ann-arbor-mi
Staybridge Suites Auburn Hills,pet-friendly-hotels,917 N. Opdyke Road,Auburn Hills,MI,48326,1-248-2367006,https://www.ihg.com/staybridge/hotels/us/en/auburn-hills/dttyz/hoteldetail,https://www.ihg.com/staybridge/hotels/us/en/auburn-hills/dttyz/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,Pets are welcome,,detroit-ann-arbor-mi
Staybridge Suites Dearborn,pet-friendly-hotels,24105 Michigan Avenue,Dearborn,MI,48124,3135651500,https://www.ihg.com/staybridge/hotels/us/en/dearborn/dttjj/hoteldetail,https://www.ihg.com/staybridge/hotels/us/en/dearborn/dttjj/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,Pets are welcome,,detroit-ann-arbor-mi
Staybridge Suites Detroit North - Royal Oak,pet-friendly-hotels,5125 Meijer Drive,Royal Oak,MI,48073,2486546555,https://www.ihg.com/staybridge/hotels/us/en/royal-oak/dtwro/hoteldetail,https://www.ihg.com/staybridge/hotels/us/en/royal-oak/dtwro/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,Pets are welcome […] 75 USD for stays up to 6 nights […] 150 USD for stays up to 7 or more nights […] nonrefundable,,detroit-ann-arbor-mi
Staybridge Suites Detroit Novi,pet-friendly-hotels,27000 Providence Parkway,Novi,MI,48374,2483494600,https://www.ihg.com/staybridge/hotels/us/en/novi/dttgw/hoteldetail,https://www.ihg.com/staybridge/hotels/us/en/novi/dttgw/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,Pets are welcome […] One pet per room,,detroit-ann-arbor-mi
Staybridge Suites Detroit Southfield,pet-friendly-hotels,26060 Northwestern Hwy,Southfield,MI,48076,9474794747,https://www.ihg.com/staybridge/hotels/us/en/southfield/dttbs/hoteldetail,https://www.ihg.com/staybridge/hotels/us/en/southfield/dttbs/hoteldetail,OFFICIAL_PROPERTY,2026-08-29,,,Pets are welcome,,detroit-ann-arbor-mi
Suburban Studios Auburn Hills - Detroit,pet-friendly-hotels,1180 Doris Road,Auburn Hills,MI,48326,,https://www.choicehotels.com/michigan/auburn-hills/suburban-hotels/mi631,https://www.choicehotels.com/michigan/auburn-hills/suburban-hotels/mi631,OFFICIAL_PROPERTY,2026-08-29,,,"Pets are Allowed […] 10 USD Per Pet, Per Night […] Max 40 Pounds […] 2 Pets Per Room […] Service Animals Allowed.",,detroit-ann-arbor-mi
The Westin Detroit Metropolitan Airport,pet-friendly-hotels,2501 Worldgateway Place,Detroit,MI,48242,7349426500,https://www.marriott.com/en-us/hotels/dtwma-the-westin-detroit-metropolitan-airport/overview/,https://www.marriott.com/en-us/hotels/dtwma-the-westin-detroit-metropolitan-airport/overview/,OFFICIAL_PROPERTY,2026-08-17,,,Pets Welcome […] Maximum Number of Pets in Room: 2 […] Maximum Pet Weight: 40.0lbs […] Non-Refundable Pet Fee Per Stay: $150.00 […] Pet waiver must be signed at check-in.,,detroit-ann-arbor-mi
TownePlace Suites by Marriott Detroit Belleville,pet-friendly-hotels,46418 N I-94 Service Dr,Belleville,MI,48111,7346992100,https://www.marriott.com/en-us/hotels/dtwbl-towneplace-suites-detroit-belleville/overview/,https://www.marriott.com/en-us/hotels/dtwbl-towneplace-suites-detroit-belleville/overview/,OFFICIAL_PROPERTY,2026-08-17,,,"Dogs allowed only, up to 2 dogs, must register at check-in, $100 fee per pet […] Maximum Number of Pets in Room: 2 […] Maximum Pet Weight: 100.0lbs […] Non-Refundable Pet Fee Per Stay: $100.00",,detroit-ann-arbor-mi
Wyndham Garden Ann Arbor,pet-friendly-hotels,2900 Jackson Avenue,Ann Arbor,MI,48103,7342496157,https://www.wyndhamhotels.com/wyndham-garden/ann-arbor-michigan/wyndham-garden-ann-arbor/overview,https://www.wyndhamhotels.com/wyndham-garden/ann-arbor-michigan/wyndham-garden-ann-arbor/overview,OFFICIAL_PROPERTY,2026-08-29,,,Pets Allowed […] 75USD per room per stay […] 2 pets maximum […] Dogs and cats only […] Service Animals - ADA-defined service animals welcome free of charge.,,detroit-ann-arbor-mi
