name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Baymont by Wyndham Fayetteville NC,pet-friendly-hotels,1922 Cedar Creek Rd,Fayetteville,NC,28312,(910) 210-0100,https://www.wyndhamhotels.com/baymont/fayetteville-north-carolina/baymont-fayetteville-nc/overview,https://www.wyndhamhotels.com/baymont/fayetteville-north-carolina/baymont-fayetteville-nc/overview,OFFICIAL_PROPERTY,2026-09-13,,,Service Animals - ADA-defined service animals are welcome free of charge. / Pets Allowed - 2 pets max. / Fees - Non-refundable 15 USD nightly per pet. / Other Information - Pets cannot be left unattended in room.,,fayetteville-nc
Candlewood Suites Fayetteville Fort Bragg,pet-friendly-hotels,4108 Legend Avenue,Fayetteville,NC,28303,1-910-8680873,https://www.ihg.com/candlewood/hotels/us/en/fayetteville/faysq/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/fayetteville/faysq/hoteldetail,OFFICIAL_PROPERTY,2026-09-13,,,Pets are welcome at Candlewood Suites Fayetteville Fort Bragg. Pet policy description. 25 non refundable pet fee per night with a max of 150 per stay. Pet must weigh less than 80lbs. Max 2 pets per room. Call hotel for details. Complete up to date vaccinations required. Additional charges may be charged for damages or excessive cleaning. Pet fee per night: 25 USD Pet weight limit: 75 2 pets allowed Pets allowed: All pets allowed,,fayetteville-nc
Days Inn by Wyndham Fayetteville-South/I-95 Exit 49,pet-friendly-hotels,2111 Cedar Creek Rd,Fayetteville,NC,28312,+1 910-849-2448,https://www.wyndhamhotels.com/days-inn/fayetteville-north-carolina/days-inn-fayetteville-south-i-95-exit-49/overview,https://www.wyndhamhotels.com/days-inn/fayetteville-north-carolina/days-inn-fayetteville-south-i-95-exit-49/overview,OFFICIAL_PROPERTY,2026-09-13,,,Service Animals - ADA-defined service animals are welcome free of charge. / Pets Allowed - 2 pets max. Dogs only. 50lbs or less per pet. / Fees - Non-refundable 25 USD nightly per pet. / Other Information - Pets cannot be left unattended in room.,,fayetteville-nc
Embassy Suites by Hilton Fayetteville Fort Bragg,pet-friendly-hotels,4760 Lake Valley Drive,Fayetteville,NC,28303,+1 910-826-3600,https://www.hilton.com/en/hotels/fayfbes-embassy-suites-fayetteville-fort-bragg/,https://www.hilton.com/en/hotels/fayfbes-embassy-suites-fayetteville-fort-bragg/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,fayetteville-nc
Extended Stay America - Fayetteville,pet-friendly-hotels,770 W Rowan St,Fayetteville,NC,28301,+19104883000,https://www.extendedstayamerica.com/hotels/nc/fayetteville/fayetteville,https://www.extendedstayamerica.com/hotels/nc/fayetteville/fayetteville,OFFICIAL_PROPERTY,2026-09-13,,,Pet Policy A maximum of two pets are allowed in each suite.,,fayetteville-nc
Extended Stay America - Fayetteville - Cliffdale,pet-friendly-hotels,6820 Cliffdale Rd,Fayetteville,NC,28314,+19108648360,https://www.extendedstayamerica.com/hotels/nc/fayetteville/fort-bragg,https://www.extendedstayamerica.com/hotels/nc/fayetteville/fort-bragg,OFFICIAL_PROPERTY,2026-09-13,,,Pet Policy A maximum of two pets are allowed in each suite.,,fayetteville-nc
Extended Stay America - Fayetteville - Fort Bragg,pet-friendly-hotels,4105 Sycamore Dairy Rd.,Fayetteville,NC,28303,+19108685662,https://www.extendedstayamerica.com/hotels/nc/fayetteville/cross-creek-mall,https://www.extendedstayamerica.com/hotels/nc/fayetteville/cross-creek-mall,OFFICIAL_PROPERTY,2026-09-13,,,Pet Policy A maximum of two pets are allowed in each suite.,,fayetteville-nc
Extended Stay America - Fayetteville - Owen Dr.,pet-friendly-hotels,408 Owen Dr.,Fayetteville,NC,28304,+19104852747,https://www.extendedstayamerica.com/hotels/nc/fayetteville/owen-dr,https://www.extendedstayamerica.com/hotels/nc/fayetteville/owen-dr,OFFICIAL_PROPERTY,2026-09-13,,,Pet Policy A maximum of two pets are allowed in each suite.,,fayetteville-nc
Extended Stay America - Fayetteville - West,pet-friendly-hotels,1381 Walter Reed Rd,Fayetteville,NC,28304,+19104332672,https://www.extendedstayamerica.com/hotels/nc/fayetteville/west,https://www.extendedstayamerica.com/hotels/nc/fayetteville/west,OFFICIAL_PROPERTY,2026-09-13,,,Pet Policy A maximum of two pets are allowed in each suite.,,fayetteville-nc
Hampton Inn & Suites Fayetteville,pet-friendly-hotels,2065 Cedar Creek Road,Fayetteville,NC,28312,+1 910-635-3200,https://www.hilton.com/en/hotels/faycehx-hampton-suites-fayetteville/,https://www.hilton.com/en/hotels/faycehx-hampton-suites-fayetteville/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,fayetteville-nc
