name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel Grand Rapids Downtown,pet-friendly-hotels,50 Monroe Ave NW,Grand Rapids,MI,49503,(616) 776-3200,https://www.marriott.com/en-us/hotels/grrar-ac-hotel-grand-rapids-downtown/overview/,https://www.marriott.com/en-us/hotels/grrar-ac-hotel-grand-rapids-downtown/overview/,OFFICIAL_PROPERTY,2026-08-23,,,pets are welcome,,grand-rapids-holland-mi
Baymont by Wyndham Grand Rapids Near Downtown,pet-friendly-hotels,255 28th Street Southwest,Grand Rapids,MI,49548,(616) 226-8360,https://www.wyndhamhotels.com/baymont/grand-rapids-michigan/baymont-inn-and-suites-grand-rapids-near-downtown/overview,https://www.wyndhamhotels.com/baymont/grand-rapids-michigan/baymont-inn-and-suites-grand-rapids-near-downtown/overview,OFFICIAL_PROPERTY,2026-08-23,,,25.00 USD per pet per night,,grand-rapids-holland-mi
Baymont by Wyndham Holland,pet-friendly-hotels,680 East 24th Street,Holland,MI,49423,(616) 396-8822,https://www.wyndhamhotels.com/baymont/holland-michigan/baymont-inn-and-suites-holland/overview,https://www.wyndhamhotels.com/baymont/holland-michigan/baymont-inn-and-suites-holland/overview,OFFICIAL_PROPERTY,2026-08-23,,,dogs allowed,,grand-rapids-holland-mi
Canopy by Hilton Grand Rapids Downtown,pet-friendly-hotels,131 Ionia Ave SW,Grand Rapids,MI,49503,(616) 456-6200,https://www.hilton.com/en/hotels/grrgrpy-canopy-grand-rapids-downtown/,https://www.hilton.com/en/hotels/grrgrpy-canopy-grand-rapids-downtown/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,grand-rapids-holland-mi
Days Inn & Suites by Wyndham Grand Rapids Near Downtown,pet-friendly-hotels,255A 28th St SW,Grand Rapids,MI,49548,(616) 426-9721,https://www.wyndhamhotels.com/days-inn/grand-rapids-michigan/days-inn-and-suites-grand-rapids-near-downtown/overview,https://www.wyndhamhotels.com/days-inn/grand-rapids-michigan/days-inn-and-suites-grand-rapids-near-downtown/overview,OFFICIAL_PROPERTY,2026-08-23,,,pets are allowed,,grand-rapids-holland-mi
Days Inn by Wyndham Holland,pet-friendly-hotels,717 Hastings Avenue,Holland,MI,49423,(616) 392-7001,https://www.wyndhamhotels.com/days-inn/holland-michigan/days-inn-holland/overview,https://www.wyndhamhotels.com/days-inn/holland-michigan/days-inn-holland/overview,OFFICIAL_PROPERTY,2026-08-23,,,pets under 75 Lbs are allowed,,grand-rapids-holland-mi
Embassy Suites by Hilton Grand Rapids Downtown,pet-friendly-hotels,710 Monroe Ave NW,Grand Rapids,MI,49503,(616) 512-5700,https://www.hilton.com/en/hotels/grrmaes-embassy-suites-grand-rapids-downtown/,https://www.hilton.com/en/hotels/grrmaes-embassy-suites-grand-rapids-downtown/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,grand-rapids-holland-mi
Hampton Inn & Suites Grand Rapids-Airport 28th St,pet-friendly-hotels,5200 28th St SE,Grand Rapids,MI,49512,(616) 575-9144,https://www.hilton.com/en/hotels/grrhshx-hampton-suites-grand-rapids-airport-28th-st/,https://www.hilton.com/en/hotels/grrhshx-hampton-suites-grand-rapids-airport-28th-st/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,grand-rapids-holland-mi
Hampton Inn & Suites Grand Rapids Downtown,pet-friendly-hotels,433 Dudley Place NE,Grand Rapids,MI,49503,,https://www.hilton.com/en/hotels/grrdthx-hampton-suites-grand-rapids-downtown/,https://www.hilton.com/en/hotels/grrdthx-hampton-suites-grand-rapids-downtown/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,grand-rapids-holland-mi
Hampton Inn & Suites Grandville Grand Rapids South,pet-friendly-hotels,4755 Wilson Ave SW,Grandville,MI,49418,(616) 752-7755,https://www.hilton.com/en/hotels/grradhx-hampton-suites-grandville-grand-rapids-south/,https://www.hilton.com/en/hotels/grradhx-hampton-suites-grandville-grand-rapids-south/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,grand-rapids-holland-mi
