name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Baymont Indianapolis South,pet-friendly-hotels,4402 Creek View Drive,Indianapolis,IN,46237,(317) 762-3788,https://www.wyndhamhotels.com/baymont/indianapolis-indiana/baymont-inn-indianapolis-south/overview,https://www.wyndhamhotels.com/baymont/indianapolis-indiana/baymont-inn-indianapolis-south/overview,OFFICIAL_PROPERTY,2026-08-25,,,pets allowed,,indianapolis-in
Baymont Noblesville,pet-friendly-hotels,16025 Prosperity Drive,Noblesville,IN,46060,(317) 770-6772,https://www.wyndhamhotels.com/baymont/noblesville-indiana/baymont-inn-and-suites-noblesville/overview,https://www.wyndhamhotels.com/baymont/noblesville-indiana/baymont-inn-and-suites-noblesville/overview,OFFICIAL_PROPERTY,2026-08-25,,,pets are welcome,,indianapolis-in
Candlewood Suites Indianapolis Medical District,pet-friendly-hotels,1152 North White River Parkway West Drive,Indianapolis,IN,46222,,https://www.ihg.com/candlewood/hotels/us/en/indianapolis/indwp/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/indianapolis/indwp/hoteldetail,OFFICIAL_PROPERTY,2026-08-25,,,pets allowed,,indianapolis-in
Days Inn & Suites by Wyndham Indianapolis Airport East,pet-friendly-hotels,5241 West Bradbury Avenue,Indianapolis,IN,46241,(463) 276-7737,https://www.wyndhamhotels.com/days-inn/indianapolis-indiana/days-inn-and-suites-indianapolis-airport-east/overview,https://www.wyndhamhotels.com/days-inn/indianapolis-indiana/days-inn-and-suites-indianapolis-airport-east/overview,OFFICIAL_PROPERTY,2026-08-25,,,Pets Allowed,,indianapolis-in
Embassy Suites by Hilton Indianapolis - Downtown,pet-friendly-hotels,110 West Washington Street,Indianapolis,IN,46204,,https://www.hilton.com/en/hotels/indwwes-embassy-suites-indianapolis-downtown/,https://www.hilton.com/en/hotels/indwwes-embassy-suites-indianapolis-downtown/,OFFICIAL_PROPERTY,2026-08-25,,,Pets allowed,,indianapolis-in
Embassy Suites by Hilton Indianapolis North,pet-friendly-hotels,3912 Vincennes Road,Indianapolis,IN,46268,(317) 872-7700,https://www.hilton.com/en/hotels/indnhes-embassy-suites-indianapolis-north/,https://www.hilton.com/en/hotels/indnhes-embassy-suites-indianapolis-north/,OFFICIAL_PROPERTY,2026-08-25,,,Pets allowed,,indianapolis-in
Fairfield Inn & Suites Indianapolis Northwest,pet-friendly-hotels,5905 West 86th Street,Indianapolis,IN,46278,,https://www.marriott.com/en-us/hotels/indfn-fairfield-inn-and-suites-indianapolis-northwest/overview/,https://www.marriott.com/en-us/hotels/indfn-fairfield-inn-and-suites-indianapolis-northwest/overview/,OFFICIAL_PROPERTY,2026-08-25,,,pets are welcome,,indianapolis-in
Hampton Inn & Suites Indianapolis-Airport,pet-friendly-hotels,9020 Hatfield Drive,Indianapolis,IN,46241,(317) 856-1000,https://www.hilton.com/en/hotels/indarhx-hampton-suites-indianapolis-airport/,https://www.hilton.com/en/hotels/indarhx-hampton-suites-indianapolis-airport/,OFFICIAL_PROPERTY,2026-08-25,,,Pets allowed,,indianapolis-in
Hampton Inn & Suites Indianapolis Keystone,pet-friendly-hotels,8980 River Crossing Boulevard,Indianapolis,IN,46240,(317) 706-7500,https://www.hilton.com/en/hotels/indkehx-hampton-suites-indianapolis-keystone/,https://www.hilton.com/en/hotels/indkehx-hampton-suites-indianapolis-keystone/,OFFICIAL_PROPERTY,2026-08-25,,,Pets allowed,,indianapolis-in
Hampton Inn & Suites Indianapolis West Speedway,pet-friendly-hotels,2608 Founders Square Drive,Indianapolis,IN,46224,,https://www.hilton.com/en/hotels/indswhx-hampton-suites-indianapolis-west-speedway/,https://www.hilton.com/en/hotels/indswhx-hampton-suites-indianapolis-west-speedway/,OFFICIAL_PROPERTY,2026-08-25,,,Pets allowed,,indianapolis-in
Hampton Inn Indianapolis Downtown Across from Circle Centre,pet-friendly-hotels,105 South Meridian Street,Indianapolis,IN,46225,(317) 261-1200,https://www.hilton.com/en/hotels/inddthx-hampton-indianapolis-downtown-across-from-circle-centre/,https://www.hilton.com/en/hotels/inddthx-hampton-indianapolis-downtown-across-from-circle-centre/,OFFICIAL_PROPERTY,2026-08-25,,,Pets allowed,,indianapolis-in
Hampton Inn Indianapolis Northeast Castleton,pet-friendly-hotels,6817 East 82nd Street,Indianapolis,IN,46250,(317) 576-0220,https://www.hilton.com/en/hotels/indnehx-hampton-indianapolis-ne-castleton/,https://www.hilton.com/en/hotels/indnehx-hampton-indianapolis-ne-castleton/,OFFICIAL_PROPERTY,2026-08-25,,,Pets allowed,,indianapolis-in
Hampton Inn Indianapolis Northwest - Park 100,pet-friendly-hotels,5860 West 73rd Street,Indianapolis,IN,46278,(317) 290-6000,https://www.hilton.com/en/hotels/indwdhx-hampton-indianapolis-northwest-park-100/,https://www.hilton.com/en/hotels/indwdhx-hampton-indianapolis-northwest-park-100/,OFFICIAL_PROPERTY,2026-08-25,,,Pets allowed,,indianapolis-in
