name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel Jacksonville St Johns Town Center,pet-friendly-hotels,5323 Big Island Drive,Jacksonville,FL,32246,(904) 902-7456,https://www.marriott.com/en-us/hotels/jaxae-ac-hotel-jacksonville-st-johns-town-center/overview/,https://www.marriott.com/en-us/hotels/jaxae-ac-hotel-jacksonville-st-johns-town-center/overview/,OFFICIAL_PROPERTY,2026-09-25,,,Pet Policy | Pets Welcome | 2 pets max per room w/ $50 USD Non Refundable fee per room per night (max $150). | Maximum Pet Weight: 75.0lbs,,jacksonville-fl
Aloft Jacksonville Airport,pet-friendly-hotels,751 Skymarks Dr,Jacksonville,FL,32218,(904) 714-3800,https://www.marriott.com/hotels/travel/jaxal-aloft-jacksonville-airport,https://www.marriott.com/en-us/hotels/jaxal-aloft-jacksonville-airport/overview/,OFFICIAL_PROPERTY,2026-09-25,,,"Pet Policy | Pets Welcome | Yes, pets are welcome at Aloft by Marriott Jacksonville Airport. Up to 2 pets are allowed per room. | Free of charge | Maximum Pet Weight: 40.0lbs | Maximum Number of Pets in Room: 2",,jacksonville-fl
Amelia by the Sea,pet-friendly-hotels,3250 S Fletcher Avenue,Fernandina Beach,FL,32034,(904) 261-4011,https://www.ameliavacations.com/condos/amelia-by-the-sea/,https://www.ameliavacations.com/condos/amelia-by-the-sea/,OFFICIAL_PROPERTY,2026-09-25,,,"Amelia Island Pet Friendly Rentals | Amelia Island Vacation Rentals Skip to main content My Rentals Recently Viewed (0) 904-261-4011 {{ item. ayKLife Gear Rentals More… Golf Fishing Amelia Island Parks, Trails, and Nature Preserves History & Museums Tours Shopping Spa Real Estate Property Management Refer A Property About Us Contact Terms & Conditions Our Locations Amelia Island Pet Friendly Rentals Dog Friendly Rentals You won’t have to leave your dog at home or worry about finding a qualified",,jacksonville-fl
Amelia Island Getaways,pet-friendly-hotels,2424 A Lynndale Road,Amelia Island,FL,32034,(904) 310-6731,https://aigetaways.com,https://aigetaways.com,OFFICIAL_PROPERTY,2026-09-25,,,"total_count+"")""'> Pet Friendly 0"" ng-bind='"" (""+searchAmenitiesObj[59539]. Pet Friendly Rentals - Amelia Island Getaways --> Vacation Rentals Rental Info Rental Policies Travel Insurance FAQs Beach Rules and Information Property Management About Us Our Story Meet The Team About Us Our Story Meet The Team Contact 904. total_count+"")""'> Pet Friendly 0"" ng-bind='"" (""+searchAmenitiesObj[59539]. total_count+"")""'> Advanced Search Filters --> Sort by --> Select Occupants (high to low) Occupants (low to",,jacksonville-fl
Amelia Surf & Racquet Club,pet-friendly-hotels,4800 Amelia Island Parkway,Amelia Island,FL,32034,(904) 261-0511,https://ameliasurfandracquetclub.com/,https://ameliasurfandracquetclub.com/,OFFICIAL_PROPERTY,2026-09-25,,,"Now, we’re lucky to raise our two kids, Miles and Madelyn, here, along with our beach-loving dog, Duke. Are pets allowed? The entire Surf & Racquet Club complex is a pet‑free community and does not allow pets of any kind. However, many of our other Amelia Island properties outside of Surf & Racquet are dog friendly. To explore pet‑friendly options, please click here.",,jacksonville-fl
Amelia Vacations by ERA,pet-friendly-hotels,2057 S Fletcher Avenue,Fernandina Beach,FL,32034,(904) 261-4011,https://www.ameliavacations.com/vacation-rentals/results/,https://www.ameliavacations.com/vacation-rentals/results/?,OFFICIAL_PROPERTY,2026-09-25,,,"Amelia Island Pet Friendly Rentals | Amelia Island Vacation Rentals Skip to main content My Rentals Recently Viewed (0) 904-261-4011 {{ item. ayKLife Gear Rentals More… Golf Fishing Amelia Island Parks, Trails, and Nature Preserves History & Museums Tours Shopping Spa Real Estate Property Management Refer A Property About Us Contact Terms & Conditions Our Locations Amelia Island Pet Friendly Rentals Dog Friendly Rentals You won’t have to leave your dog at home or worry about finding a qualified",,jacksonville-fl
APM Inn & Suites,pet-friendly-hotels,510 Ln Ave S,Jacksonville,FL,32254,(904) 786-0500,https://apminn.com/locations/jacksonville-fl/,https://apminn.com/locations/jacksonville-fl/,OFFICIAL_PROPERTY,2026-09-25,,,"Make yourself comfortable in one of our guest rooms, which are filled with thoughtful amenities, welcoming service, pet friendly environment, and cozy touches.",,jacksonville-fl
Best Western Mayport Inn & Suites,pet-friendly-hotels,2389 Mayport Rd,Atlantic Beach,FL,32233,(904) 435-3500,https://www.bestwestern.com/en_US/book/hotel-rooms.10314.html,https://www.bestwestern.com/en_US/book/hotels-in-atlantic-beach/best-western-mayport-inn-and-suites/propertyCode.10314.html,OFFICIAL_PROPERTY,2026-09-25,,,"PET POLICY | We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel's approval prior to arrival. The Pet Friendly rate is 30.00 USD per day.",,jacksonville-fl
Best Western Plus Cecil Field Inn and Suites,pet-friendly-hotels,525 Chaffee Point Blvd,Jacksonville,FL,32221,(904) 265-7759,https://www.bestwestern.com/en_US/book/hotel-rooms.10372.html,https://www.bestwestern.com/en_US/book/hotels-in-jacksonville/best-western-plus-cecil-field-inn-and-suites/propertyCode.10372.html,OFFICIAL_PROPERTY,2026-09-25,,,"PET POLICY | We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel's approval prior to arrival. The Pet Friendly rate is 40.00 USD per day.",,jacksonville-fl
Candlewood Suites Jacksonville East Merril Road,pet-friendly-hotels,2700 Jane Street,Jacksonville,FL,32225,(904) 744-1244,https://www.ihg.com/candlewood/hotels/us/en/jacksonville/jaxqt/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/jacksonville/jaxqt/hoteldetail,OFFICIAL_PROPERTY,2026-09-25,,,"Situated within minutes of the sparkling Florida coast, JAXPORT Cruise Terminal and NAS Mayport, this pet friendly hotel's accommodat . Situated within minutes of the sparkling Florida coast, JAXPORT Cruise Terminal and NAS Mayport, this pet friendly hotel's accommodations in Jacksonville offer spacious suites suited for vacation, business, relocation and an extended stay. Boasting convenience of free Wi-Fi access, 24-hour Fitness and Business Centers and self-service laundry, as well as fun fam",,jacksonville-fl
