name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Blue Water Inn - Best Western Signature Collection,pet-friendly-hotels,1565 NC Hwy 210,Sneads Ferry,NC,28460,(910) 327-8282,https://www.bwtopsailbeach.com/overview,https://www.bwtopsailbeach.com/overview,OFFICIAL_PROPERTY,2026-09-13,,,"Our hotel is also pet-friendly and pets are accepted upon request and the availability of pet-friendly rooms--quantities limited. Pets are USD 35 per night, per pet. Only 2 pets per room allowed. We have a 50-pound maximum weight for each pet restriction.",,jacksonville-nc
Candlewood Suites Jacksonville,pet-friendly-hotels,119 Penny Lane,Jacksonville,NC,28546,1-910-3330494,https://www.ihg.com/candlewood/hotels/us/en/jacksonville/jkvnc/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/jacksonville/jkvnc/hoteldetail,OFFICIAL_PROPERTY,2026-09-13,,,Pets are welcome at Candlewood Suites Jacksonville. Pet policy description. Pets allowed with nonrefundable fee. Fifty dollars for one to seven nights. Each pet must weigh less than 80lbs. Animal must be crated when guest is not in room. A pet contract is required to be signed. Service Dogs are free of charge. Pet weight limit: 80 2 pets allowed Pets allowed: Only dogs and cats allowed,,jacksonville-nc
Days Inn by Wyndham Jacksonville NC,pet-friendly-hotels,505 North Marine Blvd,Jacksonville,NC,28540,(910) 347-5131,https://www.wyndhamhotels.com/days-inn/jacksonville-north-carolina/days-inn-jacksonville-nc/overview,https://www.wyndhamhotels.com/days-inn/jacksonville-north-carolina/days-inn-jacksonville-nc/overview,OFFICIAL_PROPERTY,2026-09-13,,,Service Animals - ADA-defined service animals welcome. / Pets Allowed. 30lbs or less per pet. / Fees - 25USD per night. / Other Information - Contact hotel for additional details and availability.,,jacksonville-nc
Extended Stay America - Jacksonville - Camp Lejeune,pet-friendly-hotels,20 McDaniel Dr.,Jacksonville,NC,28546,+19103477684,https://www.extendedstayamerica.com/hotels/nc/jacksonville/camp-lejeune,https://www.extendedstayamerica.com/hotels/nc/jacksonville/camp-lejeune,OFFICIAL_PROPERTY,2026-09-13,,,Pet Policy A maximum of two pets are allowed in each suite.,,jacksonville-nc
Hampton Inn & Suites Jacksonville,pet-friendly-hotels,1032 Hampton Inn Way,Jacksonville,NC,28546,+1 910-347-3400,https://www.hilton.com/en/hotels/oajnchx-hampton-suites-jacksonville/,https://www.hilton.com/en/hotels/oajnchx-hampton-suites-jacksonville/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n)2petsMax,dog/cat only, 75 pound max weight combined",,jacksonville-nc
Hampton Inn & Suites Swansboro Near Camp Lejeune,pet-friendly-hotels,215 Old Hammock Road,Swansboro,NC,28584,+1 910-325-9000,https://www.hilton.com/en/hotels/oajswhx-hampton-suites-swansboro-near-camp-lejeune/,https://www.hilton.com/en/hotels/oajswhx-hampton-suites-swansboro-near-camp-lejeune/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n) 2petsMax,dog/cat only",,jacksonville-nc
Hampton Inn Sneads Ferry North Topsail Beach,pet-friendly-hotels,1248 NC Highway 210,Sneads Ferry,NC,28460,+1 910-327-5555,https://www.hilton.com/en/hotels/oajsfhx-hampton-sneads-ferry-north-topsail-beach/,https://www.hilton.com/en/hotels/oajsfhx-hampton-sneads-ferry-north-topsail-beach/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n) 2petsMax,dog/cat only",,jacksonville-nc
Hilton Garden Inn Jacksonville,pet-friendly-hotels,1016 Jacksonville Parkway,Jacksonville,NC,28546,+1 910-346-2400,https://www.hilton.com/en/hotels/oajwbgi-hilton-garden-inn-jacksonville/,https://www.hilton.com/en/hotels/oajwbgi-hilton-garden-inn-jacksonville/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n) 2petsMax,dog/cat onl",,jacksonville-nc
Holiday Inn Express & Suites Jacksonville-Camp LeJeune Area,pet-friendly-hotels,139 Moosehaven Road,Jacksonville,NC,28546,1-910-2191099,https://www.ihg.com/holidayinnexpress/hotels/us/en/jacksonville/oajhi/hoteldetail,https://www.ihg.com/holidayinnexpress/hotels/us/en/jacksonville/oajhi/hoteldetail,OFFICIAL_PROPERTY,2026-09-13,,,Pets are welcome at Holiday Inn Express & Suites Jacksonville-Camp LeJeune Area. Pet policy description. Pet fee is dependent upon the number of pets and the number of nights staying. 1 pet for up to 4 nights is 50.00 and after 4 nights it becomes 100.00. 2 pets for up to 4 nights is 75.00 and after 4 nights it becomes 150.00. Pet fee per stay: 50 USD Pet weight limit: 75 2 pets allowed Pets allowed: Only dogs and cats allowed,,jacksonville-nc
"Home2 Suites by Hilton Jacksonville, NC",pet-friendly-hotels,139 Circuit Lane,Jacksonville,NC,28546,+1 910-355-3500,https://www.hilton.com/en/hotels/jkvncht-home2-suites-jacksonville-nc/,https://www.hilton.com/en/hotels/jkvncht-home2-suites-jacksonville-nc/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, $75 1-4 nights/$125 5+nights, 2 pets max",,jacksonville-nc
