name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Double Tree Hilton,pet-friendly-hotels,2601 Richmond Road,Lexington,KY,40509,,https://www.hilton.com/en/hotels/lexrrdt/hotel-info/,https://www.hilton.com/en/hotels/lexrrdt/hotel-info/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, Non refundable $75 fee per dog",,lexington-ky
Embassy Suites,pet-friendly-hotels,1801 Newtown Pike,Lexington,KY,40511,,https://www.hilton.com/en/hotels/lexeses/hotel-info/,https://www.hilton.com/en/hotels/lexeses/hotel-info/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,lexington-ky
Extended Stay America - Lexington - Nicholasville Road,pet-friendly-hotels,2650 Wilhite Court,Lexington,KY,40503,,https://www.extendedstayamerica.com/hotels/ky/lexington/nicholasville-road,https://www.extendedstayamerica.com/hotels/ky/lexington/nicholasville-road,OFFICIAL_PROPERTY,2026-09-06,,,"Is Extended Stay America Lexington - Nicholasville Road pet friendly? Yes. Extended Stay America Lexington - Nicholasville Road offers pet-friendly rooms, so you can bring your furry companion along for your stay.",,lexington-ky
Fairfield Inn & Suites Lexington North,pet-friendly-hotels,2100 Hackney Place,Lexington,KY,40511,,https://www.marriott.com/lexnw,https://www.marriott.com/lexnw,OFFICIAL_PROPERTY,2026-09-06,,,Pet Policy Pets Welcome Pets restricted to specific floor and specific room types. Non-Refundable Pet Fee : $0.00 Non-Refundable Pet Fee Per Night: $30.00 Maximum Pet Weight: 50.0lbs,,lexington-ky
Griffin Gate Marriott Resort & Spa,pet-friendly-hotels,1800 Newtown Pike,Lexington,KY,40511,,https://www.marriott.com/lexky,https://www.marriott.com/lexky,OFFICIAL_PROPERTY,2026-09-06,,,Pet Policy Pets Welcome. 2 pets 100 lbs max per room-USD 100 per room fee / Undeclared pets USD 250. Non-Refundable Pet Fee Per Stay: $100.00 Maximum Pet Weight: 100.0lbs,,lexington-ky
Hampton Inn,pet-friendly-hotels,2251 Elkhorn Road,Lexington,KY,40505,,https://www.hilton.com/en/hotels/lexehhx/hotel-info/,https://www.hilton.com/en/hotels/lexehhx/hotel-info/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,lexington-ky
Hampton Inn Lexington Medical Center,pet-friendly-hotels,1953 Nicholasville Road,Lexington,KY,40503,,https://www.hilton.com/en/hotels/lexmchx/hotel-info/,https://www.hilton.com/en/hotels/lexmchx/hotel-info/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum",,lexington-ky
Hampton Inn Lexington South-Keeneland/Airport,pet-friendly-hotels,3060 Lakecrest Circle,Lexington,KY,40513,,https://www.hilton.com/en/hotels/lexaphx/hotel-info/,https://www.hilton.com/en/hotels/lexaphx/hotel-info/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $50.00 non-refundable fee, $50(1-4 nights), $75(5+ nights) 2 pets Max, dog/cat only",,lexington-ky
Hilton Garden Inn,pet-friendly-hotels,1973 Plaudit Place,Lexington,KY,40509,,https://www.hilton.com/en/hotels/lexlhgi/hotel-info/,https://www.hilton.com/en/hotels/lexlhgi/hotel-info/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75 (1-4nt), $125(5+nts) 2 pets Max, dog/cat only",,lexington-ky
Home2 Suites,pet-friendly-hotels,960 Midnight Pass,Lexington,KY,40513,,https://www.hilton.com/en/hotels/lexkeht/hotel-info/,https://www.hilton.com/en/hotels/lexkeht/hotel-info/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, 100 lbs maximum",,lexington-ky
Homewood Suites by Hilton Lexington-Hamburg,pet-friendly-hotels,2033 Bryant Road,Lexington,KY,40509,,https://www.hilton.com/en/hotels/lexhbhw/hotel-info/,https://www.hilton.com/en/hotels/lexhbhw/hotel-info/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $50.00 non-refundable fee, $50(1-4n),$75(5+n) 2petsMax,dog/cat only",,lexington-ky
Hyatt Place Lexington,pet-friendly-hotels,2001 Bryant Road,Lexington,KY,40509,,https://www.hyatt.com/en-us/hotel/kentucky/hyatt-place-lexington/lexzl,https://www.hyatt.com/en-us/hotel/kentucky/hyatt-place-lexington/lexzl,OFFICIAL_PROPERTY,2026-09-06,,,"Pets Are Welcome. Hyatt Place Lexington is a pet-friendly hotel. We welcome dogs up to 50 pounds, or two dogs with a combined weight of 75 pounds or less per room. All dogs must be housebroken, always be on a leash and are not allowed in food service areas or the pool.",,lexington-ky
Hyatt Regency Lexington,pet-friendly-hotels,401 West High Street,Lexington,KY,40507,,https://www.hyatt.com/hyatt-regency/en-US/lexrl-hyatt-regency-lexington,https://www.hyatt.com/hyatt-regency/en-US/lexrl-hyatt-regency-lexington,OFFICIAL_PROPERTY,2026-09-06,,,"We Are Pet Friendly. Pets are not allowed in the public areas, food service areas and pool. Dogs must be on leashes when in public areas. Pet Fees 1 - 6 nights: $100; 7 nights or more: $200. Individual pet weight limit: 50 Pounds.",,lexington-ky
Residence Inn,pet-friendly-hotels,3110 Wall Street,Lexington,KY,40513,,https://www.marriott.com/lexke,https://www.marriott.com/lexke,OFFICIAL_PROPERTY,2026-09-06,,,Pet Policy Pets Welcome Pets allowed with USD 100 non-refundable fee per stay Non-Refundable Pet Fee Per Stay: $100.00 Maximum Pet Weight: 60.0lbs Maximum Number of Pets in Room: 2,,lexington-ky
Residence Inn Lexington City Center,pet-friendly-hotels,150 West Main Street,Lexington,KY,40507,,https://www.marriott.com/lexrd,https://www.marriott.com/lexrd,OFFICIAL_PROPERTY,2026-09-06,,,Pet Policy Pets Welcome 2 pets 75lbs maximum per room with 100 USD non Refundable fee per room per stay Non-Refundable Pet Fee Per Stay: $100.00 Maximum Pet Weight: 75.0lbs,,lexington-ky
SpringHill Suites,pet-friendly-hotels,863 South Broadway,Lexington,KY,40504,,https://www.marriott.com/lexsh,https://www.marriott.com/lexsh,OFFICIAL_PROPERTY,2026-09-06,,,Pet Policy Pets Welcome 2 pets/100 lbs max per room/USD 100 non-refundable cleaning fee per room/stay. Non-Refundable Pet Fee Per Stay: $100.00 Maximum Pet Weight: 100.0lbs,,lexington-ky
The Campbell House,pet-friendly-hotels,1375 South Broadway Road,Lexington,KY,40504,,https://www.hilton.com/en/hotels/lexqqqq/hotel-info/,https://www.hilton.com/en/hotels/lexqqqq/hotel-info/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, 50 lbs maximum",,lexington-ky
TownePlace Suites,pet-friendly-hotels,1790 Vendor Way,Lexington,KY,40509,,https://www.marriott.com/lexts,https://www.marriott.com/lexts,OFFICIAL_PROPERTY,2026-09-06,,,Pet Policy Pets Welcome $75 non-refundable pet deposit. We welcome your furry friends! Non-Refundable Pet Fee Per Stay: $75.00 Maximum Number of Pets in Room: 2,,lexington-ky
TownePlace Suites Lexington Keeneland/Airport,pet-friendly-hotels,980 Midnight Pass,Lexington,KY,40513,,https://www.marriott.com/lextw,https://www.marriott.com/lextw,OFFICIAL_PROPERTY,2026-09-06,,,Pet Policy Pets Welcome 2 pets per room with USD 100 non-refundable fee per room per stay Non-Refundable Pet Fee Per Stay: $100.00 Maximum Number of Pets in Room: 2,,lexington-ky
Tru,pet-friendly-hotels,535 Waller Avenue,Lexington,KY,40504,,https://www.hilton.com/en/hotels/lexumru/hotel-info/,https://www.hilton.com/en/hotels/lexumru/hotel-info/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $50(1-4n),$75(5+n) 2petsMax,dog/cat only",,lexington-ky
