name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel by Marriott Louisville Downtown,pet-friendly-hotels,727 East Market Street,Louisville,KY,40202,(502) 568-6880,https://www.marriott.com/en-us/hotels/sdfac-ac-hotel-louisville-downtown/overview/,https://www.marriott.com/en-us/hotels/sdfac-ac-hotel-louisville-downtown/overview/,OFFICIAL_PROPERTY,2026-08-23,,,pets are welcome,,louisville-ky
Aloft Louisville Downtown,pet-friendly-hotels,102 West Main Street,Louisville,KY,40202,,https://www.marriott.com/en-us/hotels/sdfld-aloft-louisville-downtown/overview/,https://www.marriott.com/en-us/hotels/sdfld-aloft-louisville-downtown/overview/,OFFICIAL_PROPERTY,2026-08-23,,,Pets Welcome,,louisville-ky
Cambria Hotel Louisville Downtown-Whiskey Row,pet-friendly-hotels,120 South Floyd Street,Louisville,KY,40202,,https://www.choicehotels.com/kentucky/louisville/cambria-hotels/ky322,https://www.choicehotels.com/kentucky/louisville/cambria-hotels/ky322,OFFICIAL_PROPERTY,2026-08-23,,,Pets Are Allowed,,louisville-ky
Candlewood Suites Louisville - NE Downtown Area,pet-friendly-hotels,1039 Zorn Avenue,Louisville,KY,40207,(502) 953-6153,https://www.ihg.com/candlewood/hotels/us/en/louisville/sdfza/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/louisville/sdfza/hoteldetail,OFFICIAL_PROPERTY,2026-08-23,,,pets allowed,,louisville-ky
Candlewood Suites Louisville - Fair/Expo Center,pet-friendly-hotels,6540 Paramount Park Dr,Louisville,KY,40213,,https://www.ihg.com/candlewood/hotels/us/en/louisville/sdfpp/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/louisville/sdfpp/hoteldetail,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
Days Inn & Suites by Wyndham Sellersburg,pet-friendly-hotels,363 Triangle Drive,Sellersburg,IN,47172,(812) 748-8295,https://www.wyndhamhotels.com/days-inn/sellersburg-indiana/days-inn-and-suites-sellersburg/overview,https://www.wyndhamhotels.com/days-inn/sellersburg-indiana/days-inn-and-suites-sellersburg/overview,OFFICIAL_PROPERTY,2026-08-23,,,dogs up to 15 lbs each are allowed,,louisville-ky
Embassy Suites by Hilton Louisville,pet-friendly-hotels,9940 Corporate Campus Drive,Lyndon,KY,40223,,https://www.hilton.com/en/hotels/sdfemes-embassy-suites-louisville-east/,https://www.hilton.com/en/hotels/sdfemes-embassy-suites-louisville-east/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
Hampton Inn New Albany Louisville West,pet-friendly-hotels,411 West Spring Street,New Albany,IN,47150,(812) 945-2771,https://www.hilton.com/en/hotels/sdfkdhx-hampton-new-albany-louisville-west/,https://www.hilton.com/en/hotels/sdfkdhx-hampton-new-albany-louisville-west/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
Hampton Inn & Suites Louisville East,pet-friendly-hotels,1451 Alliant Avenue,Jeffersontown,KY,40299,(502) 809-9901,https://www.hilton.com/en/hotels/sdfhshx-hampton-suites-louisville-east/,https://www.hilton.com/en/hotels/sdfhshx-hampton-suites-louisville-east/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
Hampton Inn Louisville Airport,pet-friendly-hotels,800 Phillips Ln,Louisville,KY,40209,(502) 366-8100,https://www.hilton.com/en/hotels/sdfaphx-hampton-louisville-airport/,https://www.hilton.com/en/hotels/sdfaphx-hampton-louisville-airport/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
Hampton Inn Louisville Downtown,pet-friendly-hotels,101 East Jefferson Street,Louisville,KY,40202,(502) 585-2200,https://www.hilton.com/en/hotels/sdfdthx-hampton-louisville-downtown/,https://www.hilton.com/en/hotels/sdfdthx-hampton-louisville-downtown/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
Hampton Inn Louisville East/Hurstbourne,pet-friendly-hotels,1150 Forest Bridge Road,Lyndon,KY,40223,(502) 426-1822,https://www.hilton.com/en/hotels/sdfhuhx-hampton-louisville-east-hurstbourne/,https://www.hilton.com/en/hotels/sdfhuhx-hampton-louisville-east-hurstbourne/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
Hampton Inn Louisville-North/Clarksville,pet-friendly-hotels,1501 Broadway,Clarksville,IN,47129,(812) 280-1501,https://www.hilton.com/en/hotels/sdfcvhx-hampton-louisville-north-clarksville/,https://www.hilton.com/en/hotels/sdfcvhx-hampton-louisville-north-clarksville/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
Hampton Inn Louisville Northeast,pet-friendly-hotels,4100 Hampton Lake Way,Louisville,KY,40241,(502) 327-8880,https://www.hilton.com/en/hotels/sdfkyhx-hampton-louisville-northeast/,https://www.hilton.com/en/hotels/sdfkyhx-hampton-louisville-northeast/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
Hilton Garden Inn Jeffersonville,pet-friendly-hotels,4900 Water Tower Rd,Jeffersonville,IN,47130,(812) 670-5065,https://www.hilton.com/en/hotels/sdfjfgi-hilton-garden-inn-jeffersonville-louisville-north/,https://www.hilton.com/en/hotels/sdfjfgi-hilton-garden-inn-jeffersonville-louisville-north/,OFFICIAL_PROPERTY,2026-08-23,,,pets allowed,,louisville-ky
Hilton Garden Inn Louisville Airport,pet-friendly-hotels,2735 Crittenden Drive,Louisville,KY,40209,,https://www.hilton.com/en/hotels/sdfahgi-hilton-garden-inn-louisville-airport/,https://www.hilton.com/en/hotels/sdfahgi-hilton-garden-inn-louisville-airport/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
Hilton Garden Inn - Louisville Downtown,pet-friendly-hotels,350 West Chestnut Street,Louisville,KY,40202,,https://www.hilton.com/en/hotels/sdfldgi-hilton-garden-inn-louisville-downtown/,https://www.hilton.com/en/hotels/sdfldgi-hilton-garden-inn-louisville-downtown/,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,louisville-ky
