name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Ac Hotel Nashville Brentwood,pet-friendly-hotels,5007 Maryland Way,Brentwood,TN,37027,+16153709865,https://www.marriott.com/en-us/hotels/bnaab-ac-hotel-nashville-brentwood/overview/,https://www.marriott.com/en-us/hotels/bnaab-ac-hotel-nashville-brentwood/overview/,OFFICIAL_PROPERTY,2026-09-09,,,Pets Welcome 00 Maximum Pet Weight: 100.0lbs Maximum Number of Pets in Room: 2 Pet Policy Pets Welcome 50USD non-refundable per room per night Non-Refundable Pet Fee Per Night: $50 0lbs Maximum Number of Pets in Room: 2,,nashville-tn
Aloft by Marriott Nashville Airport,pet-friendly-hotels,608 McGavock Pike,Nashville,TN,37214,+16292536060,https://www.marriott.com/en-us/hotels/bnaaa-aloft-nashville-airport/overview/,https://www.marriott.com/en-us/hotels/bnaaa-aloft-nashville-airport/overview/,OFFICIAL_PROPERTY,2026-09-09,,,Pets Welcome 00 per Night (Maximum of $150 per stay) Maximum Pet Weight: 25.0lbs Maximum Number of Pets in Room: 2 0lbs Maximum Number of Pets in Room: 2,,nashville-tn
Aloft by Marriott Nashville West End,pet-friendly-hotels,1719 West End Avenue,Nashville,TN,37203,+16153294200,https://www.marriott.com/en-us/hotels/bnawl-aloft-nashville-west-end/overview/,https://www.marriott.com/en-us/hotels/bnawl-aloft-nashville-west-end/overview/,OFFICIAL_PROPERTY,2026-09-09,,,Pets Welcome Pet Policy Pets Welcome Pet Friendly Maximum Number of Pets in Room: 2 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2 Pet Policy Pets Welcome Pet Friendly Maximum Number of Pets in Room: 2 Maximum Pet Weight: 40,,nashville-tn
avid hotels Nashville Airport,pet-friendly-hotels,40 Rachel Drive,Nashville,TN,37214,1-615-7308496,https://www.ihg.com/avidhotels/hotels/us/en/nashville/bnaav/hoteldetail,https://www.ihg.com/avidhotels/hotels/us/en/nashville/bnaav/hoteldetail,OFFICIAL_PROPERTY,2026-09-07,,,Pets allowed 45 USD per night per pet weight limit is 40 pounds up to 2 pets,,nashville-tn
Baymont by Wyndham Nashville,pet-friendly-hotels,2350 Elm Hill Pike,Nashville,TN,37214,615-647-5597,https://www.wyndhamhotels.com/baymont/nashville-tennessee/baymont-nashville/overview,https://www.wyndhamhotels.com/baymont/nashville-tennessee/baymont-nashville/overview,OFFICIAL_PROPERTY,2026-09-07,,,Pets Allowed 25 USD nightly per pet,,nashville-tn
Canopy by Hilton Nashville Downtown The Gulch,pet-friendly-hotels,920 Division Street,Nashville,TN,37203,+16156212598,https://www.hilton.com/en/hotels/bnaglpy-canopy-nashville-downtown-the-gulch/,https://www.hilton.com/en/hotels/bnaglpy-canopy-nashville-downtown-the-gulch/,OFFICIAL_PROPERTY,2026-09-09,,,"Pets allowed, $50 00 non-refundable fee, 75 lbs maximum, 50 Pets allowed, $50.00 non-refundable fee, 75 lbs maximum, 50",,nashville-tn
Comfort Inn & Suites Nashville - Bellevue Area,pet-friendly-hotels,627 Old Hickory Boulevard,Nashville,TN,37209,615-461-5450,https://www.choicehotels.com/tennessee/nashville/comfort-inn-hotels/tn790,https://www.choicehotels.com/tennessee/nashville/comfort-inn-hotels/tn790,OFFICIAL_PROPERTY,2026-09-07,,,Pets Allowed Pet Fee of 50.00 USD Maximum of 2 Pets Dogs only,,nashville-tn
Courtyard by Marriott Nashville Airport,pet-friendly-hotels,2508 Elm Hill Pike,Nashville,TN,37214,615-883-9500,https://www.marriott.com/en-us/hotels/bnaca-courtyard-nashville-airport/overview/,https://www.marriott.com/en-us/hotels/bnaca-courtyard-nashville-airport/overview/,OFFICIAL_PROPERTY,2026-09-09,,,Pets Welcome 00 Maximum Pet Weight: 80.0lbs Maximum Number of Pets in Room: 1 Pet Policy Pets Welcome Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals Non-Refundable Pet Fee Per Stay: $100.00 Non-Refundable Pet Fee Per Night: $20 0lbs Maximum Number of Pets in Room: 1,,nashville-tn
Courtyard by Marriott Nashville Brentwood,pet-friendly-hotels,103 Eastpark Drive,Brentwood,TN,37027,615-371-9200,https://www.marriott.com/en-us/hotels/bnabr-courtyard-nashville-brentwood/overview/,https://www.marriott.com/en-us/hotels/bnabr-courtyard-nashville-brentwood/overview/,OFFICIAL_PROPERTY,2026-09-09,,,Pets Welcome 00 Maximum Pet Weight: 35.0lbs Maximum Number of Pets in Room: 2 Pet Policy Pets Welcome Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals Non-Refundable Pet Fee Per Stay: $100.00 Non-Refundable Pet Fee Per Night: $20 0lbs Maximum Number of Pets in Room: 2,,nashville-tn
Courtyard by Marriott Nashville Goodlettsville,pet-friendly-hotels,865 Conference Drive,Goodlettsville,TN,37072,615-851-3000,https://www.marriott.com/en-us/hotels/bnagv-courtyard-nashville-goodlettsville/overview/,https://www.marriott.com/en-us/hotels/bnagv-courtyard-nashville-goodlettsville/overview/,OFFICIAL_PROPERTY,2026-09-09,,,Pets Welcome Pets Welcome Pet Policy Pets Welcome 1 pet (dog or cat) welcome with 75 USD non-refundable Maximum Pet Weight: 75.0lbs Maximum Number of Pets in Room: 1 0lbs Maximum Number of Pets in Room: 1,,nashville-tn
