name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Blue Heron Motel,pet-friendly-hotels,6811 Virginia Dare Trail,Nags Head,NC,27959,(252) 441-7447,https://www.blueheronnc.com/pet-policy,https://www.blueheronnc.com/pet-policy,OFFICIAL_PROPERTY,2026-09-13,,,"At the Blue Heron, we understand that pets are family — and we’re happy to welcome yours! Our Pet Policy is simple: Dogs and cats are allowed based on room availability. A daily fee is charged per pet (a maximum of 2 pets are allowed in a room).",,outer-banks-nc
Colonial Inn,pet-friendly-hotels,3329 South Virginia Dare Trail,Nags Head,NC,27959,,https://www.colonialinnmotel.com/pet-policy.html,https://www.colonialinnmotel.com/pet-policy.html,OFFICIAL_PROPERTY,2026-09-13,,,We are pleased to welcome your pets! Dogs and cats are allowed based on room availability. A daily fee is charged per pet (a maximum of 2 pets are allowed in a room).,,outer-banks-nc
Dolphin Oceanfront Motel,pet-friendly-hotels,8017 S. Old Oregon Inlet Road,Nags Head,NC,27959,+1-252-441-7488,https://www.dolphinmotel.net/area-information-2-2-2-2/,https://www.dolphinmotel.net/area-information-2-2-2-2/,OFFICIAL_PROPERTY,2026-09-13,,,Dolphin Oceanfront Motel is proud to offer Pet Friendly rooms. We accept dogs for a nightly fee of $10 per night. 2 pets maximum per room.,,outer-banks-nc
Hampton Inn & Suites Outer Banks/ Corolla,pet-friendly-hotels,333 Audubon Drive,Corolla,NC,27927,+1 252-453-6565,https://www.hilton.com/en/hotels/obxnchx-hampton-suites-outer-banks-corolla/,https://www.hilton.com/en/hotels/obxnchx-hampton-suites-outer-banks-corolla/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n) $125(5+n) 2petsMax,dog/cat, combined weight cannot exceed 75 pounds",,outer-banks-nc
Heart of Manteo Motor Lodge,pet-friendly-hotels,100 US-64,Manteo,NC,27954,,https://www.heartofmanteo.com/pet-policy,https://www.heartofmanteo.com/pet-policy,OFFICIAL_PROPERTY,2026-09-13,,,Dogs and cats are allowed based on room availability. A daily fee is charged per pet (a maximum of 2 pets are allowed in a room).,,outer-banks-nc
Hilton Garden Inn Outer Banks/Kitty Hawk,pet-friendly-hotels,5353 N. Virginia DareTrail,Kitty Hawk,NC,27949,+1 252-261-1290,https://www.hilton.com/en/hotels/orfkhgi-hilton-garden-inn-outer-banks-kitty-hawk/,https://www.hilton.com/en/hotels/orfkhgi-hilton-garden-inn-outer-banks-kitty-hawk/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n) 2petsMax,dog/cat onl",,outer-banks-nc
Holiday Inn Express Nags Head Oceanfront,pet-friendly-hotels,4701 South Virginia Dare Trail,Nags Head,NC,27959,1-252-4410454,https://www.ihg.com/holidayinnexpress/hotels/us/en/nags-head/nghob/hoteldetail,https://www.ihg.com/holidayinnexpress/hotels/us/en/nags-head/nghob/hoteldetail,OFFICIAL_PROPERTY,2026-09-13,,,"Pets are welcome at Holiday Inn Express Nags Head Oceanfront. Pet policy description. We welcome one pet 75 lbs. max for a 75 USD fee per stay. Pets must be leashed, may not be left unattended, and are prohibited in the pool, fitness center, and breakfast area. Guests are responsible for all pet related damages. Pet fee per stay: 75 USD Pet weight limit: 75 1 pets allowed Pets allowed: Only dogs allowed",,outer-banks-nc
Home2 Suites by Hilton Outer Banks Kill Devil Hills,pet-friendly-hotels,107 S Virginia Dare Trail,Kill Devil Hills,NC,27948,+1 252-441-1611,https://www.hilton.com/en/hotels/ffallht-home2-suites-outer-banks-kill-devil-hills/,https://www.hilton.com/en/hotels/ffallht-home2-suites-outer-banks-kill-devil-hills/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, $75(1-4n), $125(5+n) per pet. 2 pets max, cat/dog only. Additional details are available at the front desk.",,outer-banks-nc
"Hotel Manteo, Trademark Collection by Wyndham",pet-friendly-hotels,814 US-64,Manteo,NC,27954,(252) 573-3737,https://www.wyndhamhotels.com/trademark/manteo-north-carolina/hotel-manteo-trademark-collection/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=58992&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-13,,,Service Animals - ADA-defined service animals welcome. / Pets Allowed - 2 pets max. Dogs and cats only. / Fees - 50USD per pet per stay. / Other Information - Pets cannot be left unattended in room.,,outer-banks-nc
John Yancey Oceanfront Inn,pet-friendly-hotels,2009 S. Virginia Dare Trail,Kill Devil Hills,NC,27948,,https://www.johnyanceyinn.com/faq,https://www.johnyanceyinn.com/faq,OFFICIAL_PROPERTY,2026-09-13,,,"Yes, we are dog friendly! Dogs are allowed in designated pet friendly rooms. We do require a pet liability waiver to be signed at check in. Please inquire with the reservations team when making your reservation. The pet fee is $40 plus taxes per pet, max of 2 dogs per hotel room not to exceed 80lbs total.",,outer-banks-nc
