name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Courtyard by Marriott Greensboro,pet-friendly-hotels,4400 West Wendover Avenue,Greensboro,NC,27407,+1 336-294-3800,https://www.marriott.com/en-us/hotels/gsown-courtyard-greensboro/overview/,https://www.marriott.com/en-us/hotels/gsown-courtyard-greensboro/overview/,OFFICIAL_PROPERTY,2026-09-12,,,Pet Policy | Pets Welcome | Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals | Non-Refundable Pet Fee Per Stay: $100.00 | Non-Refundable Pet Fee Per Night: $20.00 | Maximum Pet Weight: 80.0lbs | Maximum Number of Pets in Room: 2,,piedmont-triad-nc
Courtyard by Marriott Winston-Salem University,pet-friendly-hotels,3111 University Parkway,Winston-Salem,NC,27105,+1 336-727-1277,https://www.marriott.com/en-us/hotels/intcy-courtyard-winston-salem-university/overview/,https://www.marriott.com/en-us/hotels/intcy-courtyard-winston-salem-university/overview/,OFFICIAL_PROPERTY,2026-09-12,,,Pet Policy | Pets Welcome | 1-2 Days $50/3-4 Days $75/5+ Days $100 | Maximum Pet Weight: 65.0lbs | Maximum Number of Pets in Room: 1,,piedmont-triad-nc
Days Inn by Wyndham Greensboro Airport,pet-friendly-hotels,501 South Regional Road,Greensboro,NC,27409,1-336-6680476,https://www.wyndhamhotels.com/days-inn/greensboro-north-carolina/days-inn-greensboro-airport/overview,https://www.wyndhamhotels.com/days-inn/greensboro-north-carolina/days-inn-greensboro-airport/overview,OFFICIAL_PROPERTY,2026-09-12,,,Maximum 1 pet is allowed for a non-refundable charge of 20.00 USD per night. Pet Sanitation Fee is 50.00 USD if applicable. ADA defined service animals are welcome at this hotel,,piedmont-triad-nc
DoubleTree by Hilton Greensboro Airport,pet-friendly-hotels,6426 Burnt Poplar Road,Greensboro,NC,27409,+1 336-668-0421,https://www.hilton.com/en/hotels/gsobpdt-doubletree-greensboro-airport/,https://www.hilton.com/en/hotels/gsobpdt-doubletree-greensboro-airport/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, $75 for stays of 1-6 nights $100 for stays of 7+ nights.",,piedmont-triad-nc
DoubleTree by Hilton Hotel Winston Salem - University,pet-friendly-hotels,5790 University Parkway,Winston-Salem,NC,27105,+1 336-767-9595,https://www.hilton.com/en/hotels/intwudt-doubletree-winston-salem-university/,https://www.hilton.com/en/hotels/intwudt-doubletree-winston-salem-university/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $100.00 non-refundable fee, 50 lbs maximum",,piedmont-triad-nc
Drury Inn & Suites Greensboro,pet-friendly-hotels,3220 W Gate City Blvd,Greensboro,NC,27407,,https://www.druryhotels.com/locations/greensboro-nc/drury-inn-and-suites-greensboro,https://www.druryhotels.com/locations/greensboro-nc/drury-inn-and-suites-greensboro,OFFICIAL_PROPERTY,2026-09-12,,,Dogs and cats accepted. Rooms with pets will be charged a daily fee of $50 per room plus tax. Service animals are free of charge. Limit of two pets per room with a combined weight of 80 pounds.,,piedmont-triad-nc
Embassy Suites by Hilton Greensboro Airport,pet-friendly-hotels,204 Centreport Drive,Greensboro,NC,27409,+1 336-668-4535,https://www.hilton.com/en/hotels/gsogbes-embassy-suites-greensboro-airport/,https://www.hilton.com/en/hotels/gsogbes-embassy-suites-greensboro-airport/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,piedmont-triad-nc
Embassy Suites by Hilton Winston Salem,pet-friendly-hotels,460 North Cherry Street,Winston-Salem,NC,27101,+1 336-724-2300,https://www.hilton.com/en/hotels/inteses-embassy-suites-winston-salem/,https://www.hilton.com/en/hotels/inteses-embassy-suites-winston-salem/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,piedmont-triad-nc
Fairfield by Marriott Inn & Suites Winston-Salem Hanes Mall,pet-friendly-hotels,1680 Westbrook Plaza Drive,Winston-Salem,NC,27103,+13367143000,https://www.marriott.com/en-us/hotels/intfi-fairfield-inn-and-suites-winston-salem-hanes-mall/overview/,https://www.marriott.com/en-us/hotels/intfi-fairfield-inn-and-suites-winston-salem-hanes-mall/overview/,OFFICIAL_PROPERTY,2026-09-12,,,Pet Policy | Pets Welcome | 1st Floor Pet Rooms. Non-refundable fee of $75 (1-4 nights) or $125 (5+ nights). | Non-Refundable Pet Fee Per Stay: $75.00 | Maximum Pet Weight: 75.0lbs | Maximum Number of Pets in Room: 2,,piedmont-triad-nc
Fairfield Inn Greensboro Airport,pet-friendly-hotels,7615 Thorndike Rd,Greensboro,NC,27409,+13368410140,https://www.marriott.com/en-us/hotels/gsoap-fairfield-inn-greensboro-airport/overview/,https://www.marriott.com/en-us/hotels/gsoap-fairfield-inn-greensboro-airport/overview/,OFFICIAL_PROPERTY,2026-09-12,,,Pet Policy | Pets Welcome | Fee for stays of 5 or more nights at our pet friendly Greensboro hotel: $125. | Non-Refundable Pet Fee Per Stay: $75.00 | Maximum Pet Weight: 75.0lbs | Maximum Number of Pets in Room: 2,,piedmont-triad-nc
Four Points by Sheraton Greensboro Airport,pet-friendly-hotels,7619 Thorndike Road,Greensboro,NC,27409,+1-336-882-6666,https://www.marriott.com/en-us/hotels/gsofp-four-points-greensboro-airport/overview/,https://www.marriott.com/en-us/hotels/gsofp-four-points-greensboro-airport/overview/,OFFICIAL_PROPERTY,2026-09-12,,,"Pet Policy | Pets Welcome | Up to 2 Pets allowed in a single room. $100 for 1-3 nights, $150 for 4+ nights. | Maximum Pet Weight: 75.0lbs | Maximum Number of Pets in Room: 2",,piedmont-triad-nc
Hampton Inn & Suites Greensboro/Coliseum Area,pet-friendly-hotels,3033 W. Gate City Blvd.,Greensboro,NC,27403,+1 336-553-1818,https://www.hilton.com/en/hotels/gsofshx-hampton-suites-greensboro-coliseum-area/,https://www.hilton.com/en/hotels/gsofshx-hampton-suites-greensboro-coliseum-area/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$75(5+n) 2petsMax,dog/cat only",,piedmont-triad-nc
Hampton Inn & Suites Greensboro Downtown,pet-friendly-hotels,222 W. McGee Street,Greensboro,NC,27401,+1 336-553-1280,https://www.hilton.com/en/hotels/gsodohx-hampton-suites-greensboro-downtown/,https://www.hilton.com/en/hotels/gsodohx-hampton-suites-greensboro-downtown/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, 85 lbs maximum, Pet Fee $75 for 1-5 nights and $125 for 5 nights or more. No more than 2 pets per room.",,piedmont-triad-nc
Hampton Inn & Suites Winston-Salem Downtown,pet-friendly-hotels,235 North Cherry Street,Winston-Salem,NC,27101,+1 336-276-1010,https://www.hilton.com/en/hotels/inthxhx-hampton-suites-winston-salem-downtown/,https://www.hilton.com/en/hotels/inthxhx-hampton-suites-winston-salem-downtown/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n) 2max at 75lbs",,piedmont-triad-nc
Hampton Inn and Suites-Winston-Salem/University Area NC,pet-friendly-hotels,309 Summit Square Ct,Winston-Salem,NC,27105,+1 336-377-3000,https://www.hilton.com/en/hotels/intuvhx-hampton-suites-winston-salem-university-area-nc/,https://www.hilton.com/en/hotels/intuvhx-hampton-suites-winston-salem-university-area-nc/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75 1-4 nights/$125 5+ nights, maximum 2 pets, dog/cat only",,piedmont-triad-nc
Hampton Inn Greensboro-Airport,pet-friendly-hotels,7803 National Service Road,Greensboro,NC,27409,+1 336-605-5500,https://www.hilton.com/en/hotels/gsoaphx-hampton-greensboro-airport/,https://www.hilton.com/en/hotels/gsoaphx-hampton-greensboro-airport/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $125.00 non-refundable fee, $75(1-4n),$125(5+n) 2petsMax,dog/cat onl",,piedmont-triad-nc
Hampton Inn Greensboro-East,pet-friendly-hotels,903 Knox Road,McLeansville,NC,27301,+1 336-544-3333,https://www.hilton.com/en/hotels/gsoeahx-hampton-greensboro-east/,https://www.hilton.com/en/hotels/gsoeahx-hampton-greensboro-east/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n) 2 pets Max, dog/cat only max 75lbs combined",,piedmont-triad-nc
Hampton Inn High Point,pet-friendly-hotels,10066 North Main Street,Archdale,NC,27263,+1 336-434-5200,https://www.hilton.com/en/hotels/hptnchx-hampton-high-point/,https://www.hilton.com/en/hotels/hptnchx-hampton-high-point/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4nights)$125(5+)cats/dogs-max of 2",,piedmont-triad-nc
