name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Aloft by Marriott Raleigh,pet-friendly-hotels,2100 Hillsborough Street,Raleigh,NC,27607,+19198289900,https://www.marriott.com/en-us/hotels/rdura-aloft-raleigh/overview/,https://www.marriott.com/en-us/hotels/rdura-aloft-raleigh/overview/,OFFICIAL_PROPERTY,2026-09-11,,,Pets Welcome. Dogs only. $75 per stay (up to 3 nights). Additional nights are $15/night. Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 1,,raleigh-nc
Aloft by Marriott Raleigh-Durham Airport Brier Creek,pet-friendly-hotels,10020 Sellona Street,Raleigh,NC,27617,+19199578523,https://www.marriott.com/en-us/hotels/rduaf-aloft-raleigh-durham-airport-brier-creek/overview/,https://www.marriott.com/en-us/hotels/rduaf-aloft-raleigh-durham-airport-brier-creek/overview/,OFFICIAL_PROPERTY,2026-09-11,,,Pets Welcome Only Domestic Canine/Dogs Allowed Non-Refundable Pet Fee Per Night: $50.00 Maximum Number of Pets in Room: 1,,raleigh-nc
Candlewood Suites Apex Raleigh Area,pet-friendly-hotels,1005 Marco Drive,Apex,NC,27502,1-919-3878595,https://www.ihg.com/candlewood/hotels/us/en/apex/rdumd/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/apex/rdumd/hoteldetail,OFFICIAL_PROPERTY,2026-09-11,,,Pets are welcome at Candlewood Suites Apex Raleigh Area.,,raleigh-nc
Candlewood Suites Raleigh Crabtree,pet-friendly-hotels,4433 Lead Mine Road,Raleigh,NC,27612,1-919-7894840,https://www.ihg.com/candlewood/hotels/us/en/raleigh/rduct/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/raleigh/rduct/hoteldetail,OFFICIAL_PROPERTY,2026-09-11,,,Pets are welcome at Candlewood Suites Raleigh Crabtree.,,raleigh-nc
Candlewood Suites Wake Forest Raleigh Area,pet-friendly-hotels,12050 Retail Drive,Wake Forest,NC,27587,1-919-5546901,https://www.ihg.com/candlewood/hotels/us/en/wake-forest/wkfcw/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/wake-forest/wkfcw/hoteldetail,OFFICIAL_PROPERTY,2026-09-11,,,Pets are welcome at Candlewood Suites Wake Forest Raleigh Area.,,raleigh-nc
Courtyard by Marriott Raleigh Cary,pet-friendly-hotels,102 Edinburgh Drive South,Cary,NC,27511,+19194819666,https://www.marriott.com/en-us/hotels/rduca-courtyard-raleigh-cary/overview/,https://www.marriott.com/en-us/hotels/rduca-courtyard-raleigh-cary/overview/,OFFICIAL_PROPERTY,2026-09-11,,,Pets Welcome Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals Non-Refundable Pet Fee Per Stay: $100.00 Non-Refundable Pet Fee Per Night: $20.00,,raleigh-nc
Courtyard by Marriott Raleigh Midtown,pet-friendly-hotels,1041 Wake Towne Drive,Raleigh,NC,27609,+19198213400,https://www.marriott.com/en-us/hotels/rduwf-courtyard-raleigh-midtown/overview/,https://www.marriott.com/en-us/hotels/rduwf-courtyard-raleigh-midtown/overview/,OFFICIAL_PROPERTY,2026-09-11,,,Pets Welcome Pet fee $20/day with $150/stay nonrefundable clean fee excludes Service Animals Non-Refundable Pet Fee Per Stay: $150.00,,raleigh-nc
Crynchx Hampton Raleigh Cary,pet-friendly-hotels,201 Ashville Avenue,Cary,NC,27518,+1 919-859-5559,https://www.hilton.com/en/hotels/crynchx-hampton-raleigh-cary/,https://www.hilton.com/en/hotels/crynchx-hampton-raleigh-cary/,OFFICIAL_PROPERTY,2026-09-11,,,"Pets allowed, $75.00 non-refundable fee, $75 + Tax (1-4n), $125 + Tax (5+n) 2 pet Max, dog/cat only",,raleigh-nc
Embassy Suites by Hilton Raleigh Crabtree,pet-friendly-hotels,4700 Creedmoor Road,Raleigh,NC,27612,+1 919-881-0000,https://www.hilton.com/en/hotels/rducmes-embassy-suites-raleigh-crabtree/,https://www.hilton.com/en/hotels/rducmes-embassy-suites-raleigh-crabtree/,OFFICIAL_PROPERTY,2026-09-11,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,raleigh-nc
Embassy Suites by Hilton Raleigh Durham Airport Brier Creek,pet-friendly-hotels,8001 Arco Corporate Drive,Raleigh,NC,27617,+1 919-572-2200,https://www.hilton.com/en/hotels/rduaces-embassy-suites-raleigh-durham-airport-brier-creek/,https://www.hilton.com/en/hotels/rduaces-embassy-suites-raleigh-durham-airport-brier-creek/,OFFICIAL_PROPERTY,2026-09-11,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,raleigh-nc
Embassy Suites by Hilton Raleigh Durham Research Triangle,pet-friendly-hotels,201 Harrison Oaks Boulevard,Cary,NC,27513,+1 919-677-1840,https://www.hilton.com/en/hotels/rduapes-embassy-suites-raleigh-durham-research-triangle/,https://www.hilton.com/en/hotels/rduapes-embassy-suites-raleigh-durham-research-triangle/,OFFICIAL_PROPERTY,2026-09-11,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,raleigh-nc
