name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Aloft by Marriott Richmond West Short Pump,pet-friendly-hotels,3939 Duckling Drive,Glen Allen,VA,23060,+18044331888,https://www.marriott.com/en-us/hotels/rical-aloft-richmond-west-short-pump/overview/,https://www.marriott.com/en-us/hotels/rical-aloft-richmond-west-short-pump/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome Dogs and Cats as applicable / no pet fee Maximum Pet Weight: 80.0lbs Maximum Number of Pets in Room: 2,,richmond-va
Best Western Plus Glen Allen Inn,pet-friendly-hotels,8607 Telegraph Road,Glen Allen,VA,23060,+1 (804) 266-3500,https://www.bestwestern.com/en_US/book/hotels-in-glen-allen/best-western-plus-glen-allen-inn/propertyCode.47142.html,https://www.bestwestern.com/en_US/book/hotels-in-glen-allen/best-western-plus-glen-allen-inn/propertyCode.47142.html,OFFICIAL_PROPERTY,2026-09-14,,,"We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel’s approval prior to arrival. The Pet Friendly rate is 30.00 USD per day.",,richmond-va
Best Western Plus Richmond Airport Hotel,pet-friendly-hotels,5300 Airport Square Ln,Sandston,VA,23150,+1 (804) 222-8200,https://www.bestwestern.com/en_US/book/hotels-in-sandston/best-western-plus-richmond-airport-hotel/propertyCode.47136.html,https://www.bestwestern.com/en_US/book/hotels-in-sandston/best-western-plus-richmond-airport-hotel/propertyCode.47136.html,OFFICIAL_PROPERTY,2026-09-14,,,"We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel’s approval prior to arrival. The Pet Friendly rate is 30.00 USD per day.",,richmond-va
Brentwood Inn,pet-friendly-hotels,2125 Willis Road,Richmond,VA,23237,+1 804-271-6031,https://www.brentwoodinnsouthrva.com,https://www.brentwoodinnsouthrva.com,OFFICIAL_PROPERTY,2026-09-14,,,Pets Are Allowed: Yes Pet Charges: 20$ Per Pet Per Night,,richmond-va
Candlewood Suites Chester - Richmond,pet-friendly-hotels,225 East Hundred Road,Chester,VA,23836,1-804-8665600,https://www.ihg.com/candlewood/hotels/us/en/chester/riccj/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/chester/riccj/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Candlewood Suites Chester - Richmond. Pet policy description. Pet Policy Agreement must be signed at check in with vaccination records available upon request. Maximum 2 pets per room. Nonrefundable pet cleaning fee. Additional fees may apply if excessive cleaning or repair is needed Pet fee per stay: 150 USD Pet weight limit: No weight limit per pet 2 pets allowed Pets allowed: Only dogs and cats allowed,,richmond-va
Candlewood Suites Glen Allen - Short Pump,pet-friendly-hotels,4120 Tom Leonard Drive,Glen Allen,VA,23060,1-804-3642000,https://www.ihg.com/candlewood/hotels/us/en/glen-allen/ricbd/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/glen-allen/ricbd/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,"Pets are welcome at Candlewood Suites Glen Allen - Short Pump. Pet policy description. We are a pet friendly property. There is a 50USD fee per animal for stays of 1 to 6 nights and 150USD for stays of 7 nights or longer. The back of the property, surrounding our gazebo, is a spacious lot where your pet can play. Pet fee per stay: 50 USD Pet weight limit: 80 2 pets allowed Pets allowed: Only dogs and cats allowed",,richmond-va
Candlewood Suites Richmond Airport,pet-friendly-hotels,5400 Audubon Drive,Richmond,VA,23231,1-804-6521888,https://www.ihg.com/candlewood/hotels/us/en/richmond/ricaa/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/richmond/ricaa/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Candlewood Suites Richmond Airport. Pet policy description. Non refundable fee of 75usd per stay for up to 7 nights. 75usd pet fee per week for stays of 8 nights or more. Max 2 pets per room weighing up to 60lb. Record of complete up to date vaccinations reqd. Policies subject to change at the hotel's discretion. Pet damage deposit: 250 USD Pet weight limit: 30 2 pets allowed Pets allowed: Only dogs and cats allowed,,richmond-va
Candlewood Suites Richmond North-Glen Allen,pet-friendly-hotels,10609 Telegraph Rd,Glen Allen,VA,23059,1-804-2622240,https://www.ihg.com/candlewood/hotels/us/en/glen-allen/ricga/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/glen-allen/ricga/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Candlewood Suites Richmond North-Glen Allen. Pet policy description. Nonrefundable fee of 50usd per pet per night. 75usd per pet per week.150usd per pet for each month. Max 2 pets per room weighing up to 80lb. Policies subject to change at the hotel's discretion. Pet fee per night: 50 USD Pet damage deposit: 150 USD,,richmond-va
Candlewood Suites Richmond-South,pet-friendly-hotels,4301 Commerce Rd.,Richmond,VA,23234,1-804-2710016,https://www.ihg.com/candlewood/hotels/us/en/richmond/riccm/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/richmond/riccm/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Candlewood Suites Richmond-South. Pet policy description. Pets allowed. Service Animals Allowed. Pets are allowed with a non refundable fee of 75 USD for stays from 1 to 6 nights. Stays of 7 nights or more require a non refundable fee of 150 USD per week. Weight limit of 75LBS. Pet fee per stay: 75 USD Pet damage deposit: 75 USD Pet weight limit: 75 2 pets allowed Pets allowed: Only dogs allowed,,richmond-va
Candlewood Suites Richmond - West Broad,pet-friendly-hotels,2100 Dickens Road,Richmond,VA,23230,1-804-3243900,http://www.ihg.com/candlewood/hotels/us/en/richmond/ricdd/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/richmond/ricdd/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Candlewood Suites Richmond - West Broad. Pet policy description. Trained dogs are allowed with a non refundable fee of 75 USD plus tax per week. All Fees are Per Pet. Weight limit of 50 lbs per pet. No breed restrictions for domestic dogs. Pet fee per stay: 75 USD Pet weight limit: 50 2 pets allowed Pets allowed: Only dogs allowed,,richmond-va
Comfort Inn & Suites Ashland - Richmond North,pet-friendly-hotels,80 Cottage Green Drive,Ashland,VA,23005,(804) 823-8699,https://www.choicehotels.com/virginia/ashland/comfort-inn-hotels/va364,https://www.choicehotels.com/virginia/ashland/comfort-inn-hotels/va364,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Allowed: Yes / General: Pets are allowed. Small domestic animals only. 35.00USD per night and per pet. A maximum of 50 lbs and maximum of 1 pet per room.. Service animals are permitted, without charge.",,richmond-va
Comfort Suites Innsbrook - Short Pump,pet-friendly-hotels,4051 Innslake Drive,Glen Allen,VA,23060,+1 804-217-9200,https://www.choicehotels.com/virginia/glen-allen/comfort-suites-hotels/va052,https://www.choicehotels.com/virginia/glen-allen/comfort-suites-hotels/va052,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Allowed: Yes / General: Pets Are Allowed. 20.00 USD Per Night and Per Pet. A maximum of 2 pets per room.. Service animals are permitted, without charge.",,richmond-va
Courtyard by Marriott Richmond Northwest/Short Pump,pet-friendly-hotels,3950 Westerre Parkway,Henrico,VA,23233,+1 804-346-5427,https://www.marriott.com/en-us/hotels/ricnw-courtyard-richmond-northwest-short-pump/overview/,https://www.marriott.com/en-us/hotels/ricnw-courtyard-richmond-northwest-short-pump/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome Maximum 2 pets per room Non-Refundable Pet Fee Per Stay: $100.00 Maximum Number of Pets in Room: 2,,richmond-va
Courtyard by Marriott Richmond West,pet-friendly-hotels,6400 West Broad Street,Richmond,VA,23230,+18042821881,https://www.marriott.com/en-us/hotels/ricwe-courtyard-richmond-west/overview/,https://www.marriott.com/en-us/hotels/ricwe-courtyard-richmond-west/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals Non-Refundable Pet Fee Per Stay: $100.00 Non-Refundable Pet Fee Per Night: $20.00,,richmond-va
Days Inn by Wyndham Ashland,pet-friendly-hotels,806 England Street,Ashland,VA,23005,(804) 798-4262,https://www.wyndhamhotels.com/days-inn/ashland-virginia/days-inn-ashland-va/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=01745&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-14,,,A maximum of 2 pets allowed for a non-refundable charge of 10.00 USD per pet per night. Pet rooms are limited please contact front desk for availability. ADA defined service animals are welcome at this hotel.,,richmond-va
