name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel San Diego Downtown Gaslamp Quarter,pet-friendly-hotels,743 Fifth Avenue,San Diego,CA,92101,,https://www.marriott.com/en-us/hotels/sanar-ac-hotel-san-diego-downtown-gaslamp-quarter/overview/,https://www.marriott.com/en-us/hotels/sanar-ac-hotel-san-diego-downtown-gaslamp-quarter/overview/,OFFICIAL_PROPERTY,2026-09-25,,,Pet Policy | Pets Welcome | Dogs only | Non-Refundable Pet Fee Per Stay: $75.00 | Maximum Pet Weight: 75.0lbs | Maximum Number of Pets in Room: 1,,san-diego-ca
"Alma San Diego Downtown, a Tribute Portfolio Hotel",pet-friendly-hotels,1047 Fifth Avenue,San Diego,CA,92101,+1 619-515-3000,https://www.marriott.com/en-us/hotels/sanbd-alma-san-diego-downtown-a-tribute-portfolio-hotel/overview/,https://www.marriott.com/en-us/hotels/sanbd-alma-san-diego-downtown-a-tribute-portfolio-hotel/overview/,OFFICIAL_PROPERTY,2026-09-25,,,Pet Policy | Pets Welcome. | Pets cannot be left unattended. | Non-Refundable Pet Fee Per Stay: $75.00 | Maximum Pet Weight: 50.0lbs | Maximum Number of Pets in Room: 2,,san-diego-ca
Bahia Resort Hotel,pet-friendly-hotels,998 West Mission Bay Drive,San Diego,CA,92109,+1 858 488 0551,https://www.bahiahotel.com/,https://www.bahiahotel.com/,OFFICIAL_PROPERTY,2026-09-25,,,"Dog-Friendly We are pleased to welcome one housebroken dog per guest room weighing 50 lbs. or less, or two smaller dogs (with a combined weight of 75 lbs. There is a non-refundable room cleaning fee of $125 on the day of check-in for guests with dogs. Dogs must be leashed at all times while outside of your guest room.",,san-diego-ca
Best Western Carlsbad by the Sea,pet-friendly-hotels,751 Macadamia Drive,Carlsbad,CA,92011,+1-7604382285,https://www.bestwestern.com/en_US/book/hotels-in-carlsbad/best-western-carlsbad-by-the-sea/propertyCode.05736.html,https://www.bestwestern.com/en_US/book/hotels-in-carlsbad/best-western-carlsbad-by-the-sea/propertyCode.05736.html,OFFICIAL_PROPERTY,2026-09-25,,,Pet Policy | We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any on,,san-diego-ca
Best Western Poway/San Diego Hotel,pet-friendly-hotels,13845 Poway Road,Poway,CA,92064,,https://www.bestwestern.com/en_US/book/hotels-in-poway/best-western-poway-san-diego-hotel/propertyCode.05639.html,https://www.bestwestern.com/en_US/book/hotels-in-poway/best-western-poway-san-diego-hotel/propertyCode.05639.html,OFFICIAL_PROPERTY,2026-09-25,,,Pet Policy | We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any on,,san-diego-ca
Best Western Santee Lodge,pet-friendly-hotels,10726 Woodside Avenue,Santee,CA,92071,,https://www.bestwestern.com/en_US/book/hotels-in-santee/best-western-santee-lodge/propertyCode.05475.html,https://www.bestwestern.com/en_US/book/hotels-in-santee/best-western-santee-lodge/propertyCode.05475.html,OFFICIAL_PROPERTY,2026-09-25,,,Pet Policy | We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any on,,san-diego-ca
Candlewood Suites San Diego,pet-friendly-hotels,1335 Hotel Circle South,San Diego,CA,92108,1-619-2993501,https://www.ihg.com/candlewood/hotels/us/en/san-diego/sancr/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/san-diego/sancr/hoteldetail,OFFICIAL_PROPERTY,2026-09-25,,,Pet Friendly Our hotel welcomes up to 2 pets per room with an 80 lbs weight limit. Parking fee: 15 USD per day In and out privileges Parking for registered guests only Parking & transportation details Can I bring my pet to Candlewood Suites San Diego? Pets are welcome at Candlewood Suites San Diego. Pet policy description. Our hotel welcomes up to 2 pets per room with an 80 lbs weight limit. Pet damage deposit: 150 USD Pet weight limit: 80 2 pets allowed Pets allowed: Only dogs and cats allowed,,san-diego-ca
"Cape Rey Carlsbad Beach, a Hilton Resort and Spa",pet-friendly-hotels,1 Ponto Road,Carlsbad,CA,92011,+1-760-602-0800,https://www.hilton.com/en/hotels/sanrshf-cape-rey-carlsbad-beach/,https://www.hilton.com/en/hotels/sanrshf-cape-rey-carlsbad-beach/hotel-info/,OFFICIAL_PROPERTY,2026-09-25,,,"Pets | Pets allowed: Yes | Non-refundable fee: $75.00 | Max weight: 75 lbs | Pet policy: $75 non-refundable fee per stay, per pet, maximum of 2 pets.",,san-diego-ca
"Carlsbad by the Sea Hotel, Carlsbad, Series By Marriott",pet-friendly-hotels,850 Palomar Airport Rd,Carlsbad,CA,92011,+1-7604387880,https://www.marriott.com/en-us/hotels/sancl-carlsbad-by-the-sea-hotel-carlsbad-series/overview/,https://www.marriott.com/en-us/hotels/sancl-carlsbad-by-the-sea-hotel-carlsbad-series/overview/,OFFICIAL_PROPERTY,2026-09-25,,,Pet Policy | Pets Welcome | 2 pets 50lbs max per pet per room with non-refundable fee | Non-Refundable Pet Fee Per Stay: $75.00 | Maximum Pet Weight: 50.0lbs | Maximum Number of Pets in Room: 2,,san-diego-ca
"Carte Hotel San Diego Downtown, Curio Collection by Hilton",pet-friendly-hotels,401 W Ash Street,San Diego,CA,92101,+1 619-546-9600,https://www.hilton.com/en/hotels/sancrqq-carte-hotel-san-diego-downtown/,https://www.hilton.com/en/hotels/sancrqq-carte-hotel-san-diego-downtown/hotel-info/,OFFICIAL_PROPERTY,2026-09-25,,,Pets | Pets allowed: Yes | Non-refundable fee: $75.00 | Max weight: 50 lbs | Max size: medium,,san-diego-ca
