name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
"Angad Arts Hotel St. Louis, Tapestry Collection by Hilton",pet-friendly-hotels,3550 Samuel Sheppard Dr,St. Louis,MO,63103,(314) 561-0033,https://www.hilton.com/en/hotels/stlaaup-angad-arts-hotel-st-louis/?SEO_id=GMB-AMER-UP-STLAAUP,https://www.hilton.com/en/hotels/stlaaup-angad-arts-hotel-st-louis/?SEO_id=GMB-AMER-UP-STLAAUP,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,st-louis-mo
Baymont By Wyndham Bridgeton St Louis,pet-friendly-hotels,12705 St Charles Rock Rd,Bridgeton,MO,63044,(314) 222-1016,https://www.wyndhamhotels.com/baymont/bridgeton-missouri/baymont-bridgeton-st-louis/overview,https://www.wyndhamhotels.com/baymont/bridgeton-missouri/baymont-bridgeton-st-louis/overview,OFFICIAL_PROPERTY,2026-08-23,,,Dog-friendly,,st-louis-mo
Candlewood Suites St. Louis - St. Charles by IHG,pet-friendly-hotels,1800 Zumbehl Rd,Saint Charles,MO,63303,(636) 949-6800,https://www.ihg.com/candlewood/hotels/us/en/st-charles/stlom/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/st-charles/stlom/hoteldetail,OFFICIAL_PROPERTY,2026-08-23,,,Pets are welcome,,st-louis-mo
Clayton Plaza Hotel,pet-friendly-hotels,7750 Carondelet Ave,Clayton,MO,63105,(314) 726-5400,https://www.cpclayton.com,https://www.cpclayton.com,OFFICIAL_PROPERTY,2026-08-23,,,dog friendly,,st-louis-mo
Comfort Inn Alton near I-255,pet-friendly-hotels,11 Crossroads Ct,Alton,IL,62002,(618) 465-9999,https://www.choicehotels.com/illinois/alton/comfort-inn-hotels/il008,https://www.choicehotels.com/illinois/alton/comfort-inn-hotels/il008,OFFICIAL_PROPERTY,2026-08-23,,,Pets allowed,,st-louis-mo
Comfort Inn & Suites OFallon - St Louis Area,pet-friendly-hotels,116 Regency Park,O'Fallon,IL,62269,(618) 622-8600,https://www.choicehotels.com/illinois/ofallon/rodeway-inn-hotels/il701,https://www.choicehotels.com/illinois/ofallon/rodeway-inn-hotels/il701,OFFICIAL_PROPERTY,2026-08-23,,,Pets Allowed,,st-louis-mo
Comfort Inn & Suites Saint Louis Lafayette Square,pet-friendly-hotels,2625 Lafayette Ave,St. Louis,MO,63104,(314) 773-6500,https://www.choicehotels.com/missouri/saint-louis/comfort-inn-hotels/mo575,https://www.choicehotels.com/missouri/saint-louis/comfort-inn-hotels/mo575,OFFICIAL_PROPERTY,2026-08-23,,,Pets are welcome,,st-louis-mo
Comfort Inn & Suites St. Louis-O'Fallon,pet-friendly-hotels,8170 Veterans Memorial Pkwy,O'Fallon,MO,63366,(636) 696-8000,https://www.choicehotels.com/missouri/o-fallon/comfort-inn-hotels/mo130,https://www.choicehotels.com/missouri/o-fallon/comfort-inn-hotels/mo130,OFFICIAL_PROPERTY,2026-08-23,,,Pets Allowed,,st-louis-mo
Comfort Inn Collinsville near St. Louis,pet-friendly-hotels,8 Commerce Dr,Collinsville,IL,62234,(618) 477-8946,https://www.choicehotels.com/illinois/collinsville/comfort-inn-hotels/il437,https://www.choicehotels.com/illinois/collinsville/comfort-inn-hotels/il437,OFFICIAL_PROPERTY,2026-08-23,,,maximum of 2 dogs per room,,st-louis-mo
Comfort Inn Pacific - St. Louis,pet-friendly-hotels,1320 Thornton St,Pacific,MO,63069,(636) 257-4600,https://www.choicehotels.com/missouri/pacific/comfort-inn-hotels/mo136,https://www.choicehotels.com/missouri/pacific/comfort-inn-hotels/mo136,OFFICIAL_PROPERTY,2026-08-23,,,Pets are allowed,,st-louis-mo
Courtyard by Marriott St. Louis Airport/Earth City,pet-friendly-hotels,3101 Rider Trail South,Hazelwood,MO,63044,(314) 209-1000,https://www.marriott.com/en-us/hotels/stlbr-courtyard-st-louis-airport-earth-city/overview/,https://www.marriott.com/en-us/hotels/stlbr-courtyard-st-louis-airport-earth-city/overview/,OFFICIAL_PROPERTY,2026-08-23,,,Pets Welcome,,st-louis-mo
Courtyard by Marriott St. Louis Westport Plaza,pet-friendly-hotels,11888 Westline Industrial Dr,St. Louis,MO,63146,(314) 997-1200,https://www.marriott.com/en-us/hotels/stlwp-courtyard-st-louis-westport-plaza/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,https://www.marriott.com/en-us/hotels/stlwp-courtyard-st-louis-westport-plaza/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,OFFICIAL_PROPERTY,2026-08-23,,,pets are welcome,,st-louis-mo
