name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Baymont by Wyndham Perrysburg/Toledo,pet-friendly-hotels,27441 Helen Drive,Perrysburg,OH,43551,419-751-2173,https://www.wyndhamhotels.com/baymont/perrysburg-ohio/baymont-perrysburg-toledo/overview,https://www.wyndhamhotels.com/baymont/perrysburg-ohio/baymont-perrysburg-toledo/overview,OFFICIAL_PROPERTY,2026-09-06,,,Pets Allowed 25USD per pet per night 25lbs or less Dogs only,,toledo-oh
Baymont Inn & Suites by Wyndham Swanton/Toledo Airport,pet-friendly-hotels,10753 Airport Hwy,Swanton,OH,43558,+1-419-491-3369,https://www.wyndhamhotels.com/baymont/swanton-ohio/baymont-inn-and-suites-swanton-toledo-airport/overview,https://www.wyndhamhotels.com/baymont/swanton-ohio/baymont-inn-and-suites-swanton-toledo-airport/overview,OFFICIAL_PROPERTY,2026-09-06,,,Pets Allowed 20USD per night per room max. 30lbs 2 pets max,,toledo-oh
Comfort Inn East Oregon - Toledo,pet-friendly-hotels,2930 Navarre Avenue,Oregon,OH,43616,419-691-8911,https://www.choicehotels.com/ohio/oregon/comfort-inn-hotels/oh073,https://www.choicehotels.com/ohio/oregon/comfort-inn-hotels/oh073,OFFICIAL_PROPERTY,2026-09-06,,,Pets allowed 25.00 USD per night..,,toledo-oh
Extended Stay America - Toledo - Maumee,pet-friendly-hotels,542 W. Dussel Dr.,Maumee,OH,43537,419-318-7462,https://www.extendedstayamerica.com/hotels/oh/toledo/maumee,https://www.extendedstayamerica.com/hotels/oh/toledo/maumee,OFFICIAL_PROPERTY,2026-09-06,,,pets are allowed $15 non-refundable fee two pets are allowed,,toledo-oh
Hampton Bowling Green,pet-friendly-hotels,142 Campbell Hill Road,Bowling Green,OH,43402,419-353-3464,https://www.hilton.com/en/hotels/bgnohhx-hampton-bowling-green/,https://www.hilton.com/en/hotels/bgnohhx-hampton-bowling-green/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, $75(1-4n), $125(5+n)2petsMax,dog/cat only. Each pet will be charged accordingly. Any additional cleaning or damages will be charged. Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, $75(1-4n), $125(5+n)2petsMax,dog/cat only. Each pet will be charged accordingly. Any additional cleaning or damages will be charged. Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, $75(1-4n), $125(5+n)2petsMax,dog/cat only. Each pet will be charged accordingly. Any additional cleaning or damages will be charged. Pets allowed, $75.00 non-refun",,toledo-oh
Hampton Inn & Suites - Toledo/Oregon,pet-friendly-hotels,2931 Navarre Avenue,Oregon,OH,43616,419-724-3333,https://www.hilton.com/en/hotels/toltohx-hampton-toledo-oregon,https://www.hilton.com/en/hotels/toltohx-hampton-toledo-oregon/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, $75 (1-4 nights), $125 (5+ nights), dog/cat only, maximum of two pets. Pets allowed, $75.00 non-refundable fee, $75 (1-4 nights), $125 (5+ nights), dog/cat only, maximum of two pets. Pets allowed, $75.00 non-refundable fee, $75 (1-4 nights), $125 (5+ nights), dog/cat only, maximum of two pets. Pets allowed, $75.00 non-refundable fee, $75 (1-4 nights), $125 (5+ nights), dog/cat only, maximum of two pets.",,toledo-oh
Hampton Inn & Suites - Toledo/Westgate,pet-friendly-hotels,3434 Secor road,Toledo,OH,43606,419-214-5555,https://www.hilton.com/en/hotels/tolwghx-hampton-suites-toledo-westgate,https://www.hilton.com/en/hotels/tolwghx-hampton-suites-toledo-westgate/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $50.00 non-refundable fee, $50(1-4n),$75(5+n) 2petsMax,dog/cat only Pets allowed, $50.00 non-refundable fee, $50(1-4n),$75(5+n) 2petsMax,dog/cat only Pets allowed, $50.00 non-refundable fee, $50(1-4n),$75(5+n) 2petsMax,dog/cat only Pets allowed, $50.00 non-refundable fee, $50(1-4n),$75(5+n) 2petsMax,dog/cat only",,toledo-oh
Hampton Inn & Suites Toledo-Perrysburg,pet-friendly-hotels,9753 Clark Drive,Rossford,OH,43460,419-662-8800,https://www.hilton.com/en/hotels/tolpghx-hampton-suites-toledo-perrysburg/,https://www.hilton.com/en/hotels/tolpghx-hampton-suites-toledo-perrysburg/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee Pets allowed, $75.00 non-refundable fee",,toledo-oh
Hampton Inn Toledo - South/Maumee,pet-friendly-hotels,1409 Reynolds Road,Maumee,OH,43537,419-893-1004,https://www.hilton.com/en/hotels/tolsohx-hampton-toledo-south-maumee,https://www.hilton.com/en/hotels/tolsohx-hampton-toledo-south-maumee/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n)-$125(5+n)2petsMax,dog/cat only Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n)-$125(5+n)2petsMax,dog/cat only Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n)-$125(5+n)2petsMax,dog/cat only Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n)-$125(5+n)2petsMax,dog/cat only",,toledo-oh
Hilton Garden Inn Toledo Perrysburg,pet-friendly-hotels,6165 Levis Commons Boulevard,Perrysburg,OH,43551,419-873-0700,https://www.hilton.com/en/hotels/tolpbgi-hilton-garden-inn-toledo-perrysburg/,https://www.hilton.com/en/hotels/tolpbgi-hilton-garden-inn-toledo-perrysburg/,OFFICIAL_PROPERTY,2026-09-06,,,"Pets allowed, $75.00 non-refundable fee, $75 (1-4 nights), $125 (5+ nights) 2 pets max dogs and cats only Pets allowed, $75.00 non-refundable fee, $75 (1-4 nights), $125 (5+ nights) 2 pets max dogs and cats only Pets allowed, $75.00 non-refundable fee, $75 (1-4 nights), $125 (5+ nights) 2 pets max dogs and cats only Pets allowed, $75.00 non-refundable fee, $75 (1-4 nights), $125 (5+ nights) 2 pets max dogs and cats only",,toledo-oh
