name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Aka West Palm,pet-friendly-hotels,695 S Olive Ave,West Palm Beach,FL,33401,(561) 821-2252,https://www.stayaka.com/aka-west-palm,https://www.stayaka.com/aka-west-palm,OFFICIAL_PROPERTY,2026-09-22,,,"Stay productive during the day in our resident-only public area, treat your furry friend to five-star grooming at the AKA Pet Spa powered by D is for Dog, and sip and savor at The Blind Monk restaurant. Explore Membership Here Are Pets Allowed at AKA locations? Pets are always welcome at AKA locations. Be sure to check your respective property’s FAQ for applicable fees and available pet services.",,west-palm-beach-fl
Aloft Delray Beach,pet-friendly-hotels,202 SE 5th Ave,Delray Beach,FL,33483,,https://www.marriott.com/en-us/hotels/pbiay-aloft-delray-beach/overview/,https://www.marriott.com/en-us/hotels/pbiay-aloft-delray-beach/overview/,OFFICIAL_PROPERTY,2026-09-22,,,Pet Policy | Pets Welcome | Must be housebroken and cannot be left unattended. | Non-Refundable Pet Fee Per Night: $25.00 | Maximum Pet Weight: 40.0lbs | Maximum Number of Pets in Room: 1,,west-palm-beach-fl
Best Western Palm Bch Lakes,pet-friendly-hotels,1800 Palm Beach Lakes Blvd,West Palm Beach,FL,33401,(561) 683-8810,https://www.bestwestern.com/en_US/book/hotels-in-west-palm-beach/best-western-palm-beach-lakes/propertyCode.10225.html,https://www.bestwestern.com/en_US/book/hotels-in-west-palm-beach/best-western-palm-beach-lakes/propertyCode.10225.html,OFFICIAL_PROPERTY,2026-09-22,,,"PET POLICY | We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel's approval prior to arrival. The Pet Friendly rate is 25 USD per day. A refundable cleaning and damage deposit of 100 USD is required upon check-in. If damage occurs or excessive cleaning is needed, the deposit can become non-refundable and the hotel may charge additionally to cover the costs of repai",,west-palm-beach-fl
Canopy by Hilton West Palm Beach Downtown,pet-friendly-hotels,380 Trinity Pl,West Palm Beach,FL,33401,(561) 655-0404,https://www.hilton.com/en/hotels/pbicppy-canopy-west-palm-beach-downtown/,https://www.hilton.com/en/hotels/pbicppy-canopy-west-palm-beach-downtown/hotel-info/,OFFICIAL_PROPERTY,2026-09-22,,,PETS | Pets allowed: Yes | Non-refundable fee: $75.00 | Max weight: 75 lbs | Max size: large | Pet policy: Pet fee of $75 is per pet. Cats are not permitted on-site,,west-palm-beach-fl
Colony Hotel & Cabana Club,pet-friendly-hotels,525 E Atlantic Ave,Delray Beach,FL,33483,,https://thecolonyhotel.com/,https://thecolonyhotel.com/,OFFICIAL_PROPERTY,2026-09-22,,,The Colony Hotel is ranked as one of the best coastal eco-resorts and is pet friendly.,,west-palm-beach-fl
Courtyard by Marriott Boynton Beach,pet-friendly-hotels,1601 N Congress Ave,Boynton Beach,FL,33426,(561) 737-4600,https://www.marriott.com/en-us/hotels/pbibb-courtyard-boynton-beach/overview/,https://www.marriott.com/en-us/hotels/pbibb-courtyard-boynton-beach/overview/,OFFICIAL_PROPERTY,2026-09-22,,,Pet Policy | Pets Welcome | 1 dog per room 30 pounds or less with USD 75 non-refundable fee per stay,,west-palm-beach-fl
Courtyard Palm Beach Jupiter,pet-friendly-hotels,4800 Main St,Jupiter,FL,33458,(561) 776-2700,https://www.marriott.com/en-us/hotels/pbija-courtyard-palm-beach-jupiter/overview/,https://www.marriott.com/en-us/hotels/pbija-courtyard-palm-beach-jupiter/overview/,OFFICIAL_PROPERTY,2026-09-22,,,Pet Policy | Pets Welcome | Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals | Maximum Pet Weight: 75.0lbs | Maximum Number of Pets in Room: 2,,west-palm-beach-fl
Courtyard West Palm Beach,pet-friendly-hotels,600 Northpoint Pkwy,West Palm Beach,FL,33407,(561) 640-9000,https://www.marriott.com/en-us/hotels/pbich-courtyard-west-palm-beach/overview/,https://www.marriott.com/en-us/hotels/pbich-courtyard-west-palm-beach/overview/,OFFICIAL_PROPERTY,2026-09-22,,,Pet Policy | Pets Welcome | Pet fee $150 per pet per stay nonrefundable clean fee exclusive Service Animals | Non-Refundable Pet Fee Per Stay: $150.00 | Maximum Pet Weight: 50.0lbs | Maximum Number of Pets in Room: 2,,west-palm-beach-fl
Delta Hotels by Marriott West Palm Beach,pet-friendly-hotels,1301 Belvedere Rd,West Palm Beach,FL,33405,(561) 659-3880,https://www.marriott.com/en-us/hotels/pbide-delta-hotels-west-palm-beach/overview/,https://www.marriott.com/en-us/hotels/pbide-delta-hotels-west-palm-beach/overview/,OFFICIAL_PROPERTY,2026-09-22,,,Pet Policy | Pets Welcome | Dogs welcome | Non-Refundable Pet Fee Per Stay: $125.00 | Maximum Pet Weight: 75.0lbs | Maximum Number of Pets in Room: 2,,west-palm-beach-fl
Eau Palm Beach Resort & Spa,pet-friendly-hotels,100 S. Ocean Boulevard,Manalapan,FL,33462,(561) 540-4828,https://www.eauresortandspa.com/,https://www.eauresortandspa.com/,OFFICIAL_PROPERTY,2026-09-22,,,"with complimentary chairs and umbrellas, bicycle rentals, non-motorized water sports, access to the newly renovated 24-hour Fitness Center, complimentary fitness classes (based on availability), Wi-Fi throughout the resort, and thoughtful dog amenities with no pet fee. View Experiences Is Eau Resort & Spa dog-friendly? Eau Resort & Spa welcomes four-legged companions with no pet fee. Our pet-friendly accommodations and thoughtful amenities ensure both pets and their owners enjoy a comfortable an",,west-palm-beach-fl
Embassy Suites by Hilton Boca Raton,pet-friendly-hotels,661 NW 53rd St,Boca Raton,FL,33487,(561) 994-8200,https://www.hilton.com/en/hotels/bctnwes-embassy-suites-boca-raton/,https://www.hilton.com/en/hotels/bctnwes-embassy-suites-boca-raton/hotel-info/,OFFICIAL_PROPERTY,2026-09-22,,,PETS | Pets allowed: Yes | Non-refundable fee: $75.00 | Max weight: 75 lbs | Max size: large | Pet policy: 1-4 night stay $75; 5+ night stay $125; 2 pets max; dog or cat only,,west-palm-beach-fl
Embassy Suites by Hilton Palm Beach Gardens PGA Boulevard,pet-friendly-hotels,4350 Pga Blvd,Palm Beach Gardens,FL,33410,(561) 622-1000,https://www.hilton.com/en/hotels/pbipges-embassy-suites-palm-beach-gardens-pga-boulevard/,https://www.hilton.com/en/hotels/pbipges-embassy-suites-palm-beach-gardens-pga-boulevard/hotel-info/,OFFICIAL_PROPERTY,2026-09-22,,,PETS | Pets allowed: Yes | Non-refundable fee: $75.00 | Pet policy: 1-4 night stay $75; 5+ night stay $125; 2 pets max; dog or cat only,,west-palm-beach-fl
