name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Aloft by Marriott Wilmington at Coastline Center,pet-friendly-hotels,501 Nutt Street,Wilmington,NC,28401,+19103777600,https://www.marriott.com/en-us/hotels/ilmal-aloft-wilmington-at-coastline-center/overview/,https://www.marriott.com/en-us/hotels/ilmal-aloft-wilmington-at-coastline-center/overview/,OFFICIAL_PROPERTY,2026-09-12,,,Pet Policy | Pets Welcome | 2 pets 40 pounds max per room--cannot be left alone in room/USD 25 per night fee | Non-Refundable Pet Fee Per Night: $25.00 | Maximum Pet Weight: 40.0lbs | Maximum Number of Pets in Room: 2,,wilmington-nc
"ARRIVE Wilmington, A Member of Design Hotels",pet-friendly-hotels,101 S 2nd St.,Wilmington,NC,28401,+18887254737,https://www.marriott.com/en-us/hotels/ilmaw-arrive-wilmington-a-member-of-design-hotels/overview/,https://www.marriott.com/en-us/hotels/ilmaw-arrive-wilmington-a-member-of-design-hotels/overview/,OFFICIAL_PROPERTY,2026-09-12,,,Pet Policy | Pets Welcome | 1 pet 30lbs max per pet per room with non-refundable fee. | Maximum Pet Weight: 30.0lbs | Maximum Number of Pets in Room: 1,,wilmington-nc
Carolina Beach Inn,pet-friendly-hotels,205 Harper Ave,Carolina Beach,NC,28428,+1-910-622-8393,https://www.carolinabeachinn.com/pet-policy,https://www.carolinabeachinn.com/pet-policy,OFFICIAL_PROPERTY,2026-09-12,,,"Carolina Beach Inn is a 100% Pet-Friendly property. Our Pet Policy is simple: bring them along for your stay! We welcome friendly dogs, cats and birds. Non-refundable pet fee of $45 per night or a flat rate of $105 for 3 or more nights. (includes up to 2 pets).",,wilmington-nc
Element by Marriott Wilmington,pet-friendly-hotels,1055 International Dr.,Wilmington,NC,28405,+19108348900,https://www.marriott.com/en-us/hotels/ilmel-element-wilmington/overview/,https://www.marriott.com/en-us/hotels/ilmel-element-wilmington/overview/,OFFICIAL_PROPERTY,2026-09-12,,,Pet Policy | Pets Welcome | 2 pets allowed–Wt. limit is 100lbs. Non-refundable $100 fee is added at check-in | Maximum Pet Weight: 100.0lbs | Maximum Number of Pets in Room: 2,,wilmington-nc
Embassy Suites by Hilton Wilmington Riverfront,pet-friendly-hotels,9 Estell Lee Place,Wilmington,NC,28401,+1 910-765-1131,https://www.hilton.com/en/hotels/ilmcces-embassy-suites-wilmington-riverfront/,https://www.hilton.com/en/hotels/ilmcces-embassy-suites-wilmington-riverfront/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,wilmington-nc
Extended Stay America - Wilmington - New Centre Drive,pet-friendly-hotels,4929 New Centre Dr.,Wilmington,NC,28403,+19107934508,https://www.extendedstayamerica.com/hotels/nc/wilmington/new-centre-drive,https://www.extendedstayamerica.com/hotels/nc/wilmington/new-centre-drive,OFFICIAL_PROPERTY,2026-09-12,,,"Yes. Extended Stay America Wilmington - New Centre Drive offers pet-friendly rooms, so you can bring your furry companion along for your stay.",,wilmington-nc
Hampton Inn Wilmington Downtown,pet-friendly-hotels,225 Grace Street,Wilmington,NC,28401,+1 910-251-3930,https://www.hilton.com/en/hotels/ilmdohx-hampton-wilmington-downtown/,https://www.hilton.com/en/hotels/ilmdohx-hampton-wilmington-downtown/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petMax,dog/cat only",,wilmington-nc
Hampton Inn Wilmington-Medical Park,pet-friendly-hotels,2320 S. 17th Street,Wilmington,NC,28401,+1 910-796-8881,https://www.hilton.com/en/hotels/ilmmdhx-hampton-wilmington-medical-park/,https://www.hilton.com/en/hotels/ilmmdhx-hampton-wilmington-medical-park/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n) 2petsMax- 75lbs max",,wilmington-nc
Hampton Inn Wilmington-University Area/Smith Creek Station,pet-friendly-hotels,124 Old Eastwood Road,Wilmington,NC,28403,+1 910-791-9899,https://www.hilton.com/en/hotels/ilmewhx-hampton-wilmington-university-area-smith-creek-station/,https://www.hilton.com/en/hotels/ilmewhx-hampton-wilmington-university-area-smith-creek-station/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $125.00 non-refundable fee, $75(1-4n) <OR> $125(5+n) 2pets Max,dog/cat onl",,wilmington-nc
Hilton Garden Inn Wilmington Mayfaire Town Center,pet-friendly-hotels,6745 Rock Spring Road,Wilmington,NC,28405,+1 910-509-4046,https://www.hilton.com/en/hotels/ilmtcgi-hilton-garden-inn-wilmington-mayfaire-town-center/,https://www.hilton.com/en/hotels/ilmtcgi-hilton-garden-inn-wilmington-mayfaire-town-center/,OFFICIAL_PROPERTY,2026-09-12,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n) 2petsMax,dog/cat onl",,wilmington-nc
