name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel Atlanta Airport Gateway,pet-friendly-hotels,2079 Hospitality Way,Atlanta,GA,30337,+14046650309,https://www.marriott.com/en-us/hotels/atlat-ac-hotel-atlanta-airport-gateway/overview/,https://www.marriott.com/en-us/hotels/atlat-ac-hotel-atlanta-airport-gateway/overview/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets Welcome $150 non-refundable fee per stay, 2 pets maximum, contact hotel for details. Maximum Pet Weight: 75.0lbs Maximum Number of Pets in Room: 2",,atlanta-ga
AC Hotel Atlanta Downtown,pet-friendly-hotels,101 Andrew Young Intl Blvd NW,Atlanta,GA,30303,+14045245555,https://www.marriott.com/en-us/hotels/atlar-ac-hotel-atlanta-downtown/overview/,https://www.marriott.com/en-us/hotels/atlar-ac-hotel-atlanta-downtown/overview/,OFFICIAL_PROPERTY,2026-09-13,,,Pets Welcome $75 Non-Refundable Pet Fee Due at Check-In Maximum Pet Weight: 35.0lbs Maximum Number of Pets in Room: 2,,atlanta-ga
AC Hotel Atlanta Midtown,pet-friendly-hotels,53 14th Street NE,Atlanta,GA,30309,+14042499445,https://www.marriott.com/en-us/hotels/atlcn-ac-hotel-atlanta-midtown/overview/,https://www.marriott.com/en-us/hotels/atlcn-ac-hotel-atlanta-midtown/overview/,OFFICIAL_PROPERTY,2026-09-13,,,Pets Welcome 45 lbs max pet per room with 100 USD Non Refundable fee per room per stay Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 45.0lbs Maximum Number of Pets in Room: 2,,atlanta-ga
Aloft by Marriott Alpharetta,pet-friendly-hotels,7895 North Point Parkway,Alpharetta,GA,30022,+16785276800,https://www.marriott.com/en-us/hotels/atlla-aloft-alpharetta/overview/,https://www.marriott.com/en-us/hotels/atlla-aloft-alpharetta/overview/,OFFICIAL_PROPERTY,2026-09-13,,,Pets Welcome Dog Friendly; $50 Per Night Per Pet Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 50.0lbs Maximum Number of Pets in Room: 2,,atlanta-ga
Aloft by Marriott Atlanta at The Battery Atlanta,pet-friendly-hotels,950 Battery Avenue,Atlanta,GA,30339,+16782724288,https://www.marriott.com/en-us/hotels/atlae-aloft-atlanta-at-the-battery-atlanta/overview/,https://www.marriott.com/en-us/hotels/atlae-aloft-atlanta-at-the-battery-atlanta/overview/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets Welcome 1 pet up to 40 lbs, at 50USD, per night. Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 1",,atlanta-ga
Aloft by Marriott Atlanta Downtown,pet-friendly-hotels,300 Ted Turner Drive NW,Atlanta,GA,30308,+16785150300,https://www.marriott.com/en-us/hotels/atldn-aloft-atlanta-downtown/overview/,https://www.marriott.com/en-us/hotels/atldn-aloft-atlanta-downtown/overview/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets Welcome $50 daily fee, not to exceed $150 total. Non-Refundable Pet Fee Per Night: $50.00 Maximum Number of Pets in Room: 2",,atlanta-ga
Aloft by Marriott Atlanta Perimeter Center,pet-friendly-hotels,6401 Barfield Road,Sandy Springs,GA,30328,+14705829017,https://www.marriott.com/en-us/hotels/atlfc-aloft-atlanta-perimeter-center/overview/,https://www.marriott.com/en-us/hotels/atlfc-aloft-atlanta-perimeter-center/overview/,OFFICIAL_PROPERTY,2026-09-13,,,Pets Welcome No aggressive breeds.Pet fee is $50 per pet/per night. Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,atlanta-ga
Atlanta Evergreen Lakeside Resort,pet-friendly-hotels,4021 Lakeview Drive,Stone Mountain,GA,30083,+1-770-879-9900,https://atlantaevergreen.com/atlanta-evergreen-lakeside-resort/,https://atlantaevergreen.com/atlanta-evergreen-lakeside-resort/,OFFICIAL_PROPERTY,2026-09-13,,,"Pet Friendly Stays We invite well behaved dogs (and cats) to join their human families when staying at the Atlanta Evergreen. Please note a $125/fee is applicable. This pet fee covers a stay up to three nights for up to two animals. Additional nights and animals will incur additional fees if approved, please inquire with our Front Desk prior to check in for more than two pets or extended stays past 3 nights. Dogs are limited to 80lbs in size.",,atlanta-ga
Atlanta Marriott Northeast/Emory Area,pet-friendly-hotels,2000 Century Boulevard  NE,Atlanta,GA,30345,+14043250000,https://www.marriott.com/en-us/hotels/atlne-atlanta-marriott-northeast-emory-area/overview/,https://www.marriott.com/en-us/hotels/atlne-atlanta-marriott-northeast-emory-area/overview/,OFFICIAL_PROPERTY,2026-09-13,,,Pets Welcome Pets allowed Non-Refundable Pet Fee Per Stay: $100.00 Maximum Pet Weight: 75.0lbs Maximum Number of Pets in Room: 2,,atlanta-ga
Baymont by Wyndham Norcross Atlanta,pet-friendly-hotels,5945 Oakbrook Pkwy,Norcross,GA,30093,(770) 368-9400,https://www.wyndhamhotels.com/baymont/norcross-georgia/baymont-inn-and-suites-norcross-atlanta/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=51561&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-13,,,Service Animals - ADA-defined service animals welcome. / Pets Allowed - 2 pets max. 50lbs or less per pet. / Fees - 30USD per pet per night. / Other Information - Contact hotel for additional details and availability.,,atlanta-ga
