name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Azalea Garden Inn,pet-friendly-hotels,793 Main Street,Blowing Rock,NC,28605,1.828.295.3272,https://www.azaleagardeninn.com/frequently-asked-questions,https://www.azaleagardeninn.com/frequently-asked-questions,OFFICIAL_PROPERTY,2026-09-13,,,"We know pets are part of the family, and we’re delighted to welcome them at Azalea Garden Inn! A limited number of our accommodations are pet-friendly",,boone-blowing-rock-nc
Blowing Rock Inn,pet-friendly-hotels,788 Main Street,Blowing Rock,NC,28605,1.828.295.7921,https://www.blowingrockinn.com/frequently-asked-questions,https://www.blowingrockinn.com/frequently-asked-questions,OFFICIAL_PROPERTY,2026-09-13,,,"We know pets are part of the family, and we’re delighted to welcome them at Blowing Rock Inn! A limited number of our accommodations are pet-friendly",,boone-blowing-rock-nc
Fairfield by Marriott Inn & Suites Boone,pet-friendly-hotels,2060 Blowing Rock Road,Boone,NC,28607,+1 828-268-0677,https://www.marriott.com/en-us/hotels/hkyfi-fairfield-inn-and-suites-boone/overview/,https://www.marriott.com/en-us/hotels/hkyfi-fairfield-inn-and-suites-boone/overview/,OFFICIAL_PROPERTY,2026-09-13,,,Pets Welcome Guest's must complete a pet agreement form at check in. Pet Fees Apply. Non-Refundable Pet Fee Per Stay: $75.00 Maximum Number of Pets in Room: 2,,boone-blowing-rock-nc
Graystone Lodge,pet-friendly-hotels,2419 NC-105,Boone,NC,28607,(828) 264-4133,https://www.graystonelodge.com/,https://www.graystonelodge.com/,OFFICIAL_PROPERTY,2026-09-13,,,"Yes, we offer pet-friendly rooms for an additional fee of $40 plus tax per night.",,boone-blowing-rock-nc
Hampton Inn & Suites Boone,pet-friendly-hotels,1252 US Highway 421 South,Boone,NC,28607,+1 828-386-6464,https://www.hilton.com/en/hotels/hkybohx-hampton-suites-boone/,https://www.hilton.com/en/hotels/hkybohx-hampton-suites-boone/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,boone-blowing-rock-nc
Holiday Inn Express Blowing Rock South,pet-friendly-hotels,8412 Valley Blvd.,Blowing Rock,NC,28605,1-828-2954422,https://www.ihg.com/holidayinnexpress/hotels/us/en/blowing-rock/boorn/hoteldetail,https://www.ihg.com/holidayinnexpress/hotels/us/en/blowing-rock/boorn/hoteldetail,OFFICIAL_PROPERTY,2026-09-13,,,"Pets are welcome at Holiday Inn Express Blowing Rock South. Pet policy description. Dogs and cats are allowed; a maximum of two dogs or cats per room. Each pet is limited to 75 lbs. There is a USD 25 fee per night, per room. Pet fee per night: 25 USD Pet weight limit: 75 2 pets allowed Pets allowed: Only dogs and cats allowed",,boone-blowing-rock-nc
Home2 Suites by Hilton Boone,pet-friendly-hotels,280 E. King Street,Boone,NC,28607,+1 828-386-6414,https://www.hilton.com/en/hotels/hkyhtht-home2-suites-boone/,https://www.hilton.com/en/hotels/hkyhtht-home2-suites-boone/,OFFICIAL_PROPERTY,2026-09-13,,,"Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, $75(1-4 nights), $125(5+ nights) 2 pets max, PLUS tax. Dog/cat only.",,boone-blowing-rock-nc
La Quinta Inn & Suites by Wyndham Boone University,pet-friendly-hotels,165 Highway 105 Extension,Boone,NC,28607,1-828-2621234,https://www.wyndhamhotels.com/laquinta/boone-north-carolina/la-quinta-inn-and-suites-boone-university/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=53027&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-13,,,Service Animals - ADA-defined service animals are welcome free of charge. / Pets Allowed - 2 pets max. Cats and dogs only. 75lbs or less per pet. / Other Information - Contact hotel for additional details and availability,,boone-blowing-rock-nc
Meadowbrook Inn,pet-friendly-hotels,711 Main Street,Blowing Rock,NC,28605,+1 828 295 4300,https://www.meadowbrook-inn.com/frequently-asked-questions,https://www.meadowbrook-inn.com/frequently-asked-questions,OFFICIAL_PROPERTY,2026-09-13,,,Our hotel features a limited number of pet friendly rooms that can only be reserved in advance by calling the hotel directly.,,boone-blowing-rock-nc
Mountainaire Inn & Log Cabins,pet-friendly-hotels,827 Main Street,Blowing Rock,NC,28605,1.828.295.3272,https://www.mountainaireinn.com/frequently-asked-questions,https://www.mountainaireinn.com/frequently-asked-questions,OFFICIAL_PROPERTY,2026-09-13,,,"We know pets are part of the family, and we’re delighted to welcome them at Mountainaire Inn & Log Cabins! A limited number of our accommodations are pet-friendly",,boone-blowing-rock-nc
TownePlace Suites by Marriott Boone,pet-friendly-hotels,1110 Meadowview Drive,Boone,NC,28607,+18283861717,https://www.marriott.com/en-us/hotels/hkyts-towneplace-suites-boone/overview/,https://www.marriott.com/en-us/hotels/hkyts-towneplace-suites-boone/overview/,OFFICIAL_PROPERTY,2026-09-13,,,Pets Welcome There is a Non-Refundable Fee of $100 per every 7 nights of stays. Non-Refundable Pet Fee Per Stay: $100.00 Maximum Number of Pets in Room: 2,,boone-blowing-rock-nc
