name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Aloft by Marriott Charleston Airport & Convention Center,pet-friendly-hotels,4875 Tanger Outlet Boulevard,North Charleston,SC,29418,+18435667300,https://www.marriott.com/en-us/hotels/chsal-aloft-charleston-airport-and-convention-center/overview/,https://www.marriott.com/en-us/hotels/chsal-aloft-charleston-airport-and-convention-center/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome 2 dogs allowed (40 pounds or less); USD 50 non-refundable fee per night. Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,charleston-sc
Barksdale House Inn,pet-friendly-hotels,27 George Street,Charleston,SC,29401,,https://www.barksdalehouse.com/policies/,https://www.barksdalehouse.com/policies/,OFFICIAL_PROPERTY,2026-09-14,,,Dogs and litter-trained cats are welcome!,,charleston-sc
Best Western Charleston Inn,pet-friendly-hotels,1540 Savannah Highway,Charleston,SC,29407,+1 (843) 571-6100,https://www.bestwestern.com/en_US/book/hotels-in-charleston/best-western-charleston-inn/propertyCode.41038.html,https://www.bestwestern.com/en_US/book/hotels-in-charleston/best-western-charleston-inn/propertyCode.41038.html,OFFICIAL_PROPERTY,2026-09-14,,,"We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel’s approval prior to arrival. The Pet Friendly rate is 30.00 USD per day.",,charleston-sc
Candlewood Suites Charleston – Mt. Pleasant,pet-friendly-hotels,400 Magrath Darby Boulevard,Mount Pleasant,SC,29464,1-843-9726106,https://www.ihg.com/candlewood/hotels/us/en/mount-pleasant/chsmd/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/mount-pleasant/chsmd/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Candlewood Suites Charleston – Mt. Pleasant. Pet policy description. If you are staying 1 to 7 nights the fee is 75 dollars nonrefundable per pet per stay. If you are staying 8 nights or more the fee is 150 per pet per stay. Pet agreement must be signed on arrival. Maximum 2 pets per suite. Pet weight limit: No weight limit per pet 2 pets allowed Pets allowed: Only dogs allowed,,charleston-sc
Candlewood Suites Charleston - Northwoods,pet-friendly-hotels,2177 Northwoods Blvd.,North Charleston,SC,29406,1-843-7973535,https://www.ihg.com/candlewood/hotels/us/en/north-charleston/chsnc/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/north-charleston/chsnc/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Candlewood Suites Charleston - Northwoods. Pet policy description. Pets allowed with nonrefundable fee of 50.00 per day per pet up to 300.00 per stay. Max 2 pets each pet must weigh less than 60 lbs. Pet agreement must be signed at check in. Call hotel for details. Pets must be up to date on all vaccinations Pet fee per night: 50 USD Pet damage deposit: 300 USD Pet weight limit: 60 2 pets allowed Pets allowed: All pets allowed,,charleston-sc
Charleston Marriott,pet-friendly-hotels,170 Lockwood Boulevard,Charleston,SC,29403,+18437233000,https://www.marriott.com/en-us/hotels/chsmc-charleston-marriott/overview,https://www.marriott.com/en-us/hotels/chsmc-charleston-marriott/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome 2 pets 75 lbs; $125/stay. Leash required; not allowed in restaurant. Non-Refundable Pet Fee Per Stay: $125.00 Maximum Pet Weight: 75.0lbs Maximum Number of Pets in Room: 2,,charleston-sc
Courtyard by Marriott Charleston Historic District,pet-friendly-hotels,125 Calhoun Street,Charleston,SC,29401,+1-843-805-7900,https://www.marriott.com/en-us/hotels/chshd-courtyard-charleston-historic-district/overview/,https://www.marriott.com/en-us/hotels/chshd-courtyard-charleston-historic-district/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome 1 animal under 50 pounds in addition to the $150 fee Non-Refundable Pet Fee Per Stay: $150.00 Maximum Pet Weight: 50.0lbs Maximum Number of Pets in Room: 1,,charleston-sc
Courtyard by Marriott Charleston-North Charleston,pet-friendly-hotels,7465 Northside Drive,North Charleston,SC,29420,+1 843-572-7490,https://www.marriott.com/en-us/hotels/chsco-courtyard-charleston-north-charleston/overview/,https://www.marriott.com/en-us/hotels/chsco-courtyard-charleston-north-charleston/overview/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Welcome One pet per suite at a $75 non-refundable fee, per stay. Maximum Number of Pets in Room: 1",,charleston-sc
Crowne Plaza Charleston Airport - Conv Ctr,pet-friendly-hotels,4831 Tanger Outlet Boulevard,North Charleston,SC,29418,1-843-7444422,https://www.ihg.com/crowneplaza/hotels/us/en/north-charleston/chssc/hoteldetail,https://www.ihg.com/crowneplaza/hotels/us/en/north-charleston/chssc/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Crowne Plaza Charleston Airport - Conv Ctr. Pet policy description. Up to 2 dogs per room. There is a 30 dollar nonrefundable pet fee per night per pet. Pet fee per night: 30 USD Pet weight limit: 65 2 pets allowed Pets allowed: Only dogs and cats allowed,,charleston-sc
Days Inn & Suites by Wyndham Charleston Airport West,pet-friendly-hotels,2998 W Montague Ave,North Charleston,SC,29418,(843) 747-4101,https://www.wyndhamhotels.com/days-inn/north-charleston-south-carolina/days-inn-charleston-airport-coliseum/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=05263&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-14,,,Pets are allowed for a non-refundable fee of 21.93 USD per pet per night. A 50.00 USD refundable deposit is required at check-in. ADA defined service animals are welcome at this hotel.,,charleston-sc
DoubleTree by Hilton Charleston Riverview,pet-friendly-hotels,84 Ripley Point Dr.,Charleston,SC,29407,+1 843-766-4322,https://www.hilton.com/en/hotels/chsvwdt-doubletree-charleston-riverview/,https://www.hilton.com/en/hotels/chsvwdt-doubletree-charleston-riverview/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum",,charleston-sc
DoubleTree by Hilton Summerville Nexton,pet-friendly-hotels,405 Sigma Dr.,Summerville,SC,29486,+1 854-888-2800,https://www.hilton.com/en/hotels/chsnxdt-doubletree-summerville-nexton/,https://www.hilton.com/en/hotels/chsnxdt-doubletree-summerville-nexton/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum",,charleston-sc
Drury Plaza Hotel North Charleston,pet-friendly-hotels,2934 West Montague,North Charleston,SC,29418,(843) 938-1503,https://www.druryhotels.com/locations/charleston-sc/drury-plaza-hotel-north-charleston,https://www.druryhotels.com/locations/charleston-sc/drury-plaza-hotel-north-charleston,OFFICIAL_PROPERTY,2026-09-14,,,Dogs and cats accepted. Rooms with pets will be charged a daily fee of $50 per room plus tax.,,charleston-sc
Element by Marriott Charleston Airport,pet-friendly-hotels,5054 Erin Court,North Charleston,SC,29418,+18437909590,https://www.marriott.com/en-us/hotels/chsea-element-charleston-airport/overview/,https://www.marriott.com/en-us/hotels/chsea-element-charleston-airport/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome 2 pets 40lbs max per pet per room with non-refundable fee Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,charleston-sc
Embassy Suites by Hilton Charleston Airport Hotel & Convention Center,pet-friendly-hotels,5055 International Boulevard,North Charleston,SC,29418,+1 843-747-1882,https://www.hilton.com/en/hotels/chsemes-embassy-suites-charleston-airport-hotel-and-convention-center/,https://www.hilton.com/en/hotels/chsemes-embassy-suites-charleston-airport-hotel-and-convention-center/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, $75 up to 4 days and $125 for 5 or more (tax not included). 2 pets max, dog/cat only",,charleston-sc
Embassy Suites by Hilton Charleston Harbor Mt. Pleasant,pet-friendly-hotels,100 Ferry Wharf Road,Mt Pleasant,SC,29464,+1 843-981-5700,https://www.hilton.com/en/hotels/chssces-embassy-suites-charleston-harbor-mt-pleasant,https://www.hilton.com/en/hotels/chssces-embassy-suites-charleston-harbor-mt-pleasant/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,charleston-sc
