name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Aloft by Marriott Columbia Downtown,pet-friendly-hotels,823 Lady Street,Columbia,SC,29201,+18034451900,https://www.marriott.com/en-us/hotels/caeal-aloft-columbia-downtown/overview/,https://www.marriott.com/en-us/hotels/caeal-aloft-columbia-downtown/overview/,OFFICIAL_PROPERTY,2026-09-15,,,"Pets Welcome Dogs can weigh a maximum of 40 lbs only; pet cleaning fee applies, $50 per stay. Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 1",,columbia-sc
Aloft by Marriott Columbia Harbison,pet-friendly-hotels,217 Lanneau Court,Columbia,SC,29212,+1 803-407-6166,https://www.marriott.com/en-us/hotels/caeah-aloft-columbia-harbison/overview/,https://www.marriott.com/en-us/hotels/caeah-aloft-columbia-harbison/overview/,OFFICIAL_PROPERTY,2026-09-15,,,Pets Welcome Dogs under 40lbs are allowed Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,columbia-sc
Cambria Hotel Columbia Downtown the Vista,pet-friendly-hotels,1000 Lady Street,Columbia,SC,29201,(803) 728-3355,https://www.choicehotels.com/south-carolina/columbia/cambria-hotels/sc641,https://www.choicehotels.com/south-carolina/columbia/cambria-hotels/sc641,OFFICIAL_PROPERTY,2026-09-15,,,"Pets Allowed: Yes / General: Dogs only. 50.00 USD per night. Limit on the Size of the Pet, 75 pounds. Limit of 2 pets per room.. Service animals are permitted, without charge.",,columbia-sc
Candlewood Suites Columbia-Ft. Jackson,pet-friendly-hotels,921 Atlas Road,Columbia,SC,29209,1-803-7271299,https://www.ihg.com/candlewood/hotels/us/en/columbia/caeat/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/columbia/caeat/hoteldetail,OFFICIAL_PROPERTY,2026-09-15,,,"Pets are welcome at Candlewood Suites Columbia-Ft. Jackson. Pet policy description. Pets allowed with non refundable fee. 75 dollars for 1 to 6 nights, 150 dollars for any stays longer than 7 nights. We love our furry guests! Pet fee per stay: 75 USD Pet weight limit: No weight limit per pet 2 pets allowed Pets allowed: All pets allowed",,columbia-sc
Chesnut Cottage Bed & Breakfast,pet-friendly-hotels,1718 Hampton Street,Columbia,SC,29201,,https://www.chesnutcottage.com/policies,https://www.chesnutcottage.com/policies,OFFICIAL_PROPERTY,2026-09-15,,,Pet are allowed only in the Garden Suite.,,columbia-sc
Clarion Inn Columbia Airport,pet-friendly-hotels,500 Chris Drive,West Columbia,SC,29169,(803) 973-0057,https://www.choicehotels.com/south-carolina/west-columbia/clarion-hotels/sc358,https://www.choicehotels.com/south-carolina/west-columbia/clarion-hotels/sc358,OFFICIAL_PROPERTY,2026-09-15,,,"Pets Allowed: Yes / General: Pets Are Allowed. Pet accommodation: 20.00 USD per night and per pet. Maximum of 2 pets per room. A maximum of 60 pounds.. Service animals are permitted, without charge.",,columbia-sc
Comfort Inn & Suites Ft.Jackson Maingate,pet-friendly-hotels,7337 Garner's Ferry Rd.,Columbia,SC,29209,+1 803-667-4198,https://www.choicehotels.com/south-carolina/columbia/comfort-inn-hotels/sc046,https://www.choicehotels.com/south-carolina/columbia/comfort-inn-hotels/sc046,OFFICIAL_PROPERTY,2026-09-15,,,"Pets Allowed: Yes / General: Pet Accommodations 25.00 USD Per Stay/Per Pet. A maximum of 2 pets per room and 50 pounds each.. Service animals are permitted, without charge.",,columbia-sc
Comfort Inn Blythewood - North Columbia,pet-friendly-hotels,436 McNulty Street,Blythewood,SC,29016,+1 803-754-1441,https://www.choicehotels.com/south-carolina/blythewood/comfort-inn-hotels/sc040,https://www.choicehotels.com/south-carolina/blythewood/comfort-inn-hotels/sc040,OFFICIAL_PROPERTY,2026-09-15,,,"Pets Allowed: Yes / General: Pets are allowed 25.00 USD per pet, per night. A maximum of 3 pets per room.. Service animals are permitted, without charge.",,columbia-sc
Comfort Inn Columbia West,pet-friendly-hotels,911 Bush River Road,Columbia,SC,29210,+1 803-798-5101,https://www.choicehotels.com/south-carolina/columbia/comfort-inn-hotels/sc361,https://www.choicehotels.com/south-carolina/columbia/comfort-inn-hotels/sc361,OFFICIAL_PROPERTY,2026-09-15,,,"Pets Allowed: Yes / General: Pets are allowed with Pet policy in effect: $20 USD per night, per pet. $100 refundable deposit A maximum of 2 pets per room. Limited pet rooms are available. Guests must call property to ensure pet-friendly accommodations are being made.. Service animals are permitted, without charge.",,columbia-sc
Courtyard by Marriott Columbia Cayce,pet-friendly-hotels,1125 Fort Congaree Trail,Cayce,SC,29033,+1 803-794-7033,https://www.marriott.com/en-us/hotels/caecy-courtyard-columbia-cayce/overview/,https://www.marriott.com/en-us/hotels/caecy-courtyard-columbia-cayce/overview/,OFFICIAL_PROPERTY,2026-09-15,,,Pets Welcome 2 pets up to 50 pounds welcome with USD 75 non-refundable fee per stay Non-Refundable Pet Fee Per Stay: $100.00 Maximum Pet Weight: 50.0lbs Maximum Number of Pets in Room: 2,,columbia-sc
