name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC HOTEL FORT LAUDERDALE BEACH,pet-friendly-hotels,3029 Alhambra St,Fort Lauderdale,FL,33304,(954) 356-7900,https://www.marriott.com/en-us/hotels/fllaw-ac-hotel-fort-lauderdale-beach/overview/,https://www.marriott.com/en-us/hotels/fllaw-ac-hotel-fort-lauderdale-beach/overview/,OFFICIAL_PROPERTY,2026-09-21,,,Pet Policy | Pets Welcome,,fort-lauderdale-fl
ALOFT FORT LAUDERDALE AIRPORT,pet-friendly-hotels,501 SE 24th St,Fort Lauderdale,FL,33316,+1 754-285-4848,https://www.marriott.com/en-us/hotels/fllaa-aloft-fort-lauderdale-airport/overview/,https://www.marriott.com/en-us/hotels/fllaa-aloft-fort-lauderdale-airport/overview/,OFFICIAL_PROPERTY,2026-09-21,,,Pet Policy | Pets Welcome | Non-Refundable Pet Fee Per Night: ...,,fort-lauderdale-fl
BAHIA MAR FORT LAUDERDALE BEACH - A DOUBLETREE BY HILTON,pet-friendly-hotels,801 Seabreeze Blvd,Fort Lauderdale,FL,33316,(954) 764-2233,https://www.hilton.com/en/hotels/fllbmdt-bahia-mar-fort-lauderdale-beach/,https://www.hilton.com/en/hotels/fllbmdt-bahia-mar-fort-lauderdale-beach/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,PETS | Pets allowed: Yes | Max size: Small | Pet policy: Bahia Mar welcomes two canine pets up to 75lbs. A 250 USD minimum fee will be assessed for cleaning or damages.,,fort-lauderdale-fl
COURTYARD BY MARRIOTT - CORAL SPRINGS,pet-friendly-hotels,620 N. University Drive,Coral Springs,FL,33071,(954) 227-1300,https://www.marriott.com/en-us/hotels/fllcs-courtyard-fort-lauderdale-coral-springs/overview/,https://www.marriott.com/en-us/hotels/fllcs-courtyard-fort-lauderdale-coral-springs/overview/,OFFICIAL_PROPERTY,2026-09-21,,,Pet Policy | Pets Welcome | $150 flat fee (Non-refundable.),,fort-lauderdale-fl
COURTYARD BY MARRIOTT FORT LAUDERDALE NORTH,pet-friendly-hotels,2440 W Cypress Creek Rd,Fort Lauderdale,FL,33309,(972) 444-9700,https://www.marriott.com/en-us/hotels/fllcp-courtyard-fort-lauderdale-north-cypress-creek/overview/,https://www.marriott.com/en-us/hotels/fllcp-courtyard-fort-lauderdale-north-cypress-creek/overview/,OFFICIAL_PROPERTY,2026-09-21,,,"Pet Policy | Pets Welcome | $150 non-refundable pet fee, per pet, per stay",,fort-lauderdale-fl
COURTYARD BY MARRIOTT - FORT LAUDERDALE/PLANTATION,pet-friendly-hotels,7780 SW 6th St,Plantation,FL,33324,(954) 475-1100,https://www.marriott.com/en-us/hotels/fllpl-courtyard-fort-lauderdale-city-of-plantation/overview/,https://www.marriott.com/en-us/hotels/fllpl-courtyard-fort-lauderdale-city-of-plantation/overview/,OFFICIAL_PROPERTY,2026-09-21,,,Pet Policy | Pets Welcome | Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals,,fort-lauderdale-fl
COURTYARD FORT LAUDERDALE AIRPORT & CRUISE PORT,pet-friendly-hotels,400 Gulf Stream Way,Dania,FL,33004,(305) 866-7555,https://www.marriott.com/en-us/hotels/fllht-courtyard-fort-lauderdale-airport-and-cruise-port/overview/,https://www.marriott.com/en-us/hotels/fllht-courtyard-fort-lauderdale-airport-and-cruise-port/overview/,OFFICIAL_PROPERTY,2026-09-21,,,"Pet Policy | Pets Welcome | Domesticated pets allowed, 50 pounds/2 pet max, USD 100 fee per room per stay.",,fort-lauderdale-fl
COURTYARD FORT LAUDERDALE DOWNTOWN,pet-friendly-hotels,721 N Federal Hwy,Fort Lauderdale,FL,33304,(954) 766-8800,https://www.marriott.com/en-us/hotels/flllc-courtyard-fort-lauderdale-downtown/overview/,https://www.marriott.com/en-us/hotels/flllc-courtyard-fort-lauderdale-downtown/overview/,OFFICIAL_PROPERTY,2026-09-21,,,Pet Policy | Pets Welcome | $75 for first pet and $50 for second pet Non-refundable | Non-Refundable Pet Fee Per Stay: $75.00 | Maximum Pet Weight: 30.0lbs | Maximum Number of Pets in Room: 2,,fort-lauderdale-fl
DEE JAY BEACH RESORT,pet-friendly-hotels,4617 El Mar Dr.,Fort Lauderdale,FL,33308,,https://deejaybeachresort.com/,https://deejaybeachresort.com/,OFFICIAL_PROPERTY,2026-09-21,,,"Our West Building Located on A1a Pets Allowed up to 25 pds max! Pets & Service Animal Policy All Dogs must be on a leash at all times . Please pick up after your dog. Respect other Guests with Pets. If you travel with a pet that has not been specifically trained to perform a specialized service to help a person with a physical disability, we have the right to refuse your stay. Pets Allowed up to 25 lbs max!",,fort-lauderdale-fl
DOLPHIN HOLLYWOOD,pet-friendly-hotels,315 McKinley St.,Hollywood,FL,33019,,https://www.dolphinhollywood.com/,https://www.dolphinhollywood.com/,OFFICIAL_PROPERTY,2026-09-21,,,"You are welcome to smoke outdoors ​ Are Pets Allowed? Unfortunately, we do not accept pets at this time. besides pets with license as emotional support.",,fort-lauderdale-fl
DOUBLETREE BY HILTON DEERFIELD BEACH-BOCA RATON,pet-friendly-hotels,100 Fairway Dr,Deerfield Beach,FL,33441,(954) 427-7700,https://www.hilton.com/en/hotels/derdtdt-doubletree-deerfield-beach-boca-raton/hotel-info/,https://www.hilton.com/en/hotels/derdtdt-doubletree-deerfield-beach-boca-raton/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,PETS | Pets allowed: Yes | Non-refundable fee: $50.00 | Max weight: 25 lbs,,fort-lauderdale-fl
DOUBLETREE RESORT BY HILTON HOLLYWOOD BEACH,pet-friendly-hotels,4000 S Ocean Dr,Hollywood,FL,33019,(954) 454-4334,https://www.hilton.com/en/hotels/hwofldt-doubletree-resort-hollywood-beach/,https://www.hilton.com/en/hotels/hwofldt-doubletree-resort-hollywood-beach/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,PETS | Pets allowed: Yes | Non-refundable fee: $50.00 | Max weight: 75 lbs,,fort-lauderdale-fl
EMBASSY SUITES BY HILTON FORT LAUDERDALE 17TH STREET,pet-friendly-hotels,1100 SE 17th St,Fort Lauderdale,FL,33316,(954) 527-2700,https://www.hilton.com/en/hotels/fllsoes-embassy-suites-fort-lauderdale-17th-street/,https://www.hilton.com/en/hotels/fllsoes-embassy-suites-fort-lauderdale-17th-street/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,PETS | Pets allowed: Yes | Non-refundable fee: $75.00 | Pet policy: 1-4 night stay $75; 5+ night stay $125; 2 pets max; dog or cat only,,fort-lauderdale-fl
FAIRFIELD INN & SUITES DEERFIELD BEACH BOCA RATON,pet-friendly-hotels,301 Hillsboro Technology Dr,Deerfield Beach,FL,33441,,https://www.marriott.com/en-us/hotels/pbife-fairfield-inn-and-suites-deerfield-beach-boca-raton/overview/,https://www.marriott.com/en-us/hotels/pbife-fairfield-inn-and-suites-deerfield-beach-boca-raton/overview/,OFFICIAL_PROPERTY,2026-09-21,,,Pet Policy | Pets Welcome | Non-Refundable Pet Fee Per Stay: $125.00,,fort-lauderdale-fl
Fairfield Inn & Suites Fort Lauderdale Northwest,pet-friendly-hotels,6800 NW 88th Ave,Tamarac,FL,33321,(754) 238-1300,https://www.marriott.com/en-us/hotels/fllfn-fairfield-inn-and-suites-fort-lauderdale-northwest/overview/,https://www.marriott.com/en-us/hotels/fllfn-fairfield-inn-and-suites-fort-lauderdale-northwest/overview/,OFFICIAL_PROPERTY,2026-09-21,,,"Pet Policy | Pets Welcome | $150 non-refundable fee per stay, 1 pet per room | Non-Refundable Pet Fee Per Stay: $150.00 | Maximum Pet Weight: 50.0lbs | Maximum Number of Pets in Room: 1",,fort-lauderdale-fl
FORT LAUDERDALE MARRIOTT CORAL SPRINGS HOTEL & CONVENTION CENTER,pet-friendly-hotels,11775 Heron Bay Blvd,Coral Springs,FL,33076,(954) 753-5598,https://www.marriott.com/en-us/hotels/fllmc-fort-lauderdale-marriott-coral-springs-hotel-and-convention-center/overview/,https://www.marriott.com/en-us/hotels/fllmc-fort-lauderdale-marriott-coral-springs-hotel-and-convention-center/overview/,OFFICIAL_PROPERTY,2026-09-21,,,Pet Policy | Pets Welcome | Non-Refundable Pet Fee Per Stay: $100.00 | Maximum Pet Weight: 50.0lbs | Maximum Number of Pets in Room: 2,,fort-lauderdale-fl
FORT LAUDERDALE MARRIOTT NORTH,pet-friendly-hotels,6650 N Andrews Ave,Fort Lauderdale,FL,33309,(954) 771-0440,https://www.marriott.com/en-us/hotels/fllcc-fort-lauderdale-marriott-north/overview/,https://www.marriott.com/en-us/hotels/fllcc-fort-lauderdale-marriott-north/overview/,OFFICIAL_PROPERTY,2026-09-21,,,Pet Policy | Pets Welcome | $75 Non-Refundable Pet Fee Per Stay | Maximum Pet Weight: 40.0lbs | Maximum Number of Pets in Room: 1,,fort-lauderdale-fl
FORT LAUDERDALE MARRIOTT POMPANO BEACH RESORT,pet-friendly-hotels,1200 1208 N Ocean Blvd,Pompano Beach,FL,33062,(954) 782-0100,https://www.marriott.com/en-us/hotels/fllpm-fort-lauderdale-marriott-pompano-beach-resort/overview/,https://www.marriott.com/en-us/hotels/fllpm-fort-lauderdale-marriott-pompano-beach-resort/overview/,OFFICIAL_PROPERTY,2026-09-21,,,Pet Policy | Pets Welcome. Dogs only up to 50 lbs are welcome for a non-refundable pet fee of $100 per stay | Non-Refundable Pet Fee Per Stay: $100.00 | Maximum Pet Weight: 50.0lbs | Maximum Number of Pets in Room: 1,,fort-lauderdale-fl
HAMPTON BY HILTON FORT LAUDERDALE DOWNTOWN/LAS OLAS,pet-friendly-hotels,250 N Andrews Ave,Fort Lauderdale,FL,33301,(954) 924-2700,https://www.hilton.com/en/hotels/flldnhx-hampton-ft-lauderdale-downtown-las-olas-area/,https://www.hilton.com/en/hotels/flldnhx-hampton-ft-lauderdale-downtown-las-olas-area/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,"PETS | Pets allowed: Yes | Non-refundable fee: $75.00 | Pet policy: $75(1-4n),$125(5+n) 2petsMax,dog/cat",,fort-lauderdale-fl
HAMPTON BY HILTON FORT LAUDERDALE-WEST/ PEMBROKE PINES,pet-friendly-hotels,1900 NW 150th Ave,Pembroke Pines,FL,33028,(954) 441-4242,https://www.hilton.com/en/hotels/fllwehx-hampton-ft-lauderdale-west-pembroke-pines/,https://www.hilton.com/en/hotels/fllwehx-hampton-ft-lauderdale-west-pembroke-pines/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,"PETS | Pets allowed: Yes | Pet policy: $75(1-4n),$125(5+n) 2petsMax,dog/cat only",,fort-lauderdale-fl
HAMPTON INN & SUITES COCONUT CREEK,pet-friendly-hotels,5740 N State Road 7,Coconut Creek,FL,33073,(954) 890-2579,https://www.hilton.com/en/hotels/fllcchx-hampton-suites-coconut-creek/,https://www.hilton.com/en/hotels/fllcchx-hampton-suites-coconut-creek/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,"PETS | Pets allowed: Yes | Non-refundable fee: $75.00 | Max weight: 75 lbs | Pet policy: $75/stay for 1-4 nights, $125/stay for 5+ night stays 2 pets max, dogs or cats only",,fort-lauderdale-fl
HAMPTON INN & SUITES FORT LAUDERDALE AIRPORT/SOUTH CRUISE PORT,pet-friendly-hotels,2500 Stirling Rd,Hollywood,FL,33020,(607) 722-4469,https://www.hilton.com/en/hotels/fllaphx-hampton-suites-ft-lauderdale-airport-south-cruise-port/,https://www.hilton.com/en/hotels/fllaphx-hampton-suites-ft-lauderdale-airport-south-cruise-port/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,PETS | Pets allowed: Yes | Non-refundable fee: $75.00 | Max weight: 75 lbs,,fort-lauderdale-fl
HAMPTON INN & SUITES FT. LAUDERDALE/MIRAMAR,pet-friendly-hotels,10990 Marks Way,Miramar,FL,33025,(954) 430-5990,https://www.hilton.com/en/hotels/fllmmhx-hampton-suites-ft-lauderdale-miramar/,https://www.hilton.com/en/hotels/fllmmhx-hampton-suites-ft-lauderdale-miramar/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,PETS | Pets allowed: Yes | Non-refundable fee: $75.00 | Max weight: 50 lbs,,fort-lauderdale-fl
HAMPTON INN BY HILTON BOCA RATON-DEERFIELD BEACH,pet-friendly-hotels,660 W Hillsboro Blvd,Deerfield Beach,FL,33441,(954) 481-1221,https://www.hilton.com/en/hotels/deebhhx-hampton-boca-raton-deerfield-beach/hotel-info/,https://www.hilton.com/en/hotels/deebhhx-hampton-boca-raton-deerfield-beach/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,PETS | Pets allowed: Yes | Non-refundable fee: $75.00 | Max weight: 75 lbs | Max size: medium,,fort-lauderdale-fl
HAMPTON INN FORT LAUDERDALE AIRPORT NORTH CRUISE PORT,pet-friendly-hotels,2301 SW 12th Ave,Fort Lauderdale,FL,33315,(954) 524-9900,https://www.hilton.com/en/hotels/fllanhx-hampton-ft-lauderdale-airport-north-cruise-port/,https://www.hilton.com/en/hotels/fllanhx-hampton-ft-lauderdale-airport-north-cruise-port/hotel-info/,OFFICIAL_PROPERTY,2026-09-21,,,PETS | Pets allowed: Yes | Non-refundable fee: $75.00 | Max weight: 25 lbs,,fort-lauderdale-fl
