name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Aloft by Marriott Chesapeake,pet-friendly-hotels,1454 Crossways Boulevard,Chesapeake,VA,23320,+1-757-410-9562,https://www.marriott.com/en-us/hotels/orfal-aloft-chesapeake/overview/,https://www.marriott.com/en-us/hotels/orfal-aloft-chesapeake/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome 50 USD + tax/night - 3 night max ($150 total) - 40 lbs. max - 1 dog only Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 1,,hampton-roads-va
Ambassadors Inn & Suites,pet-friendly-hotels,716 21st Street,Virginia Beach,VA,23451,,https://www.ambassadorsvb.com/amenities.php,https://www.ambassadorsvb.com/amenities.php,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome (Dogs only),,hampton-roads-va
Best Western Hampton Coliseum Inn,pet-friendly-hotels,1916 Coliseum Drive,Hampton,VA,23666,+1 (757) 637-7100,https://www.bestwestern.com/en_US/book/hotels-in-hampton/best-western-hampton-coliseum-inn/propertyCode.47146.html,https://www.bestwestern.com/en_US/book/hotels-in-hampton/best-western-hampton-coliseum-inn/propertyCode.47146.html,OFFICIAL_PROPERTY,2026-09-14,,,"We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel’s approval prior to arrival. The Pet Friendly rate is 30.00 USD per day. A refundable cleaning and damage deposit of 100.00 USD is required upon check-in. If damage occurs or excessive cleaning is needed, the deposit can become non-refundable and the hotel may charge additionally to cover the costs of repair or cleaning.",,hampton-roads-va
Best Western Plus Chesapeake Bay - Norfolk,pet-friendly-hotels,1330 E Ocean View Avenue,Norfolk,VA,23503,+1 757-583-2621,https://www.bestwestern.com/en_US/book/hotels-in-norfolk/best-western-plus-chesapeake-bay-norfolk/propertyCode.47117.html,https://www.bestwestern.com/en_US/book/hotels-in-norfolk/best-western-plus-chesapeake-bay-norfolk/propertyCode.47117.html,OFFICIAL_PROPERTY,2026-09-14,,,"We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel’s approval prior to arrival. The Pet Friendly rate is 30.00 USD per day.",,hampton-roads-va
Best Western Plus Newport News Inn & Suites,pet-friendly-hotels,500 Operations Drive,Newport News,VA,23602,+1 757-952-1182,https://www.bestwestern.com/en_US/book/hotels-in-newport-news/best-western-plus-newport-news-inn-suites/propertyCode.47123.html,https://www.bestwestern.com/en_US/book/hotels-in-newport-news/best-western-plus-newport-news-inn-suites/propertyCode.47123.html,OFFICIAL_PROPERTY,2026-09-14,,,"We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel’s approval prior to arrival. The Pet Friendly rate is 30.00 USD per day. A refundable cleaning and damage deposit of 50.00 USD is required upon check-in. If damage occurs or excessive cleaning is needed, the deposit can become non-refundable and the hotel may charge additionally to cover the costs of repair or cleaning.",,hampton-roads-va
Candlewood Suites Chesapeake/Suffolk,pet-friendly-hotels,4809 Market Place,Chesapeake,VA,23321,1-757-4053030,https://www.ihg.com/candlewood/hotels/us/en/chesapeake/orfcd/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/chesapeake/orfcd/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,"Pets are welcome at Candlewood Suites Chesapeake/Suffolk. Pet policy description. Pets are allowed with a nonrefundable fee of 75 USD for stays of 1 to 6 nights and 150 USD for stays of 7 nights or more. Each pet must weigh less than 75 lbs. A pet agreement is required at check in, and proof of current vaccinations must be provided. Pet fee per stay: 150 USD Pet damage deposit: 75 USD Pet weight limit: 75 2 pets allowed Pets allowed: Only dogs and cats allowed",,hampton-roads-va
Candlewood Suites Newport News/Yorktown,pet-friendly-hotels,329 Commonwealth Drive,Yorktown,VA,23693,1-757-9521120,https://www.ihg.com/candlewood/hotels/us/en/yorktown/phfcw/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/yorktown/phfcw/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Candlewood Suites Newport News/Yorktown. Pet policy description. We are a pet friendly hotel. There is a weight limit of 80lbs combined weight for all pets in the room. There is a one time non refundable fee which is determined by length of stay. 1 to 6 nights is 75.00 USD. 7 or more nights is 150.00 USD. Pet weight limit: 50 2 pets allowed Pets allowed: All pets allowed,,hampton-roads-va
Candlewood Suites Norfolk Airport,pet-friendly-hotels,5600 Lowery Road,Norfolk,VA,23502,1-757-6054001,https://www.ihg.com/candlewood/hotels/us/en/norfolk/orfmh/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/norfolk/orfmh/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,"Pets are welcome at Candlewood Suites Norfolk Airport. Pet policy description. We charge a 75.00 dollar non refundable pet fee, per pet, for up to 7 days. We charge a 150.00 dollar non refundable pet fee, per pet, for 8 days or more. The pet can not be over 80 pounds in weight. Two pet maximum. Pet fee per stay: 150 USD Pet damage deposit: 75 USD Pet weight limit: 80 2 pets allowed Pets allowed: Only dogs and cats allowed",,hampton-roads-va
Candlewood Suites Virginia Beach Town Center,pet-friendly-hotels,4437 Bonney Road,Virginia Beach,VA,23462,1-757-2131500,https://www.ihg.com/candlewood/hotels/us/en/virginia-beach/orfbo/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/virginia-beach/orfbo/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,"Pets are welcome at Candlewood Suites Virginia Beach Town Center. Pet policy description. Pets are welcomed with a non refundable fee: 75 dollars for 1 to 6 nights and 150 dollars for 7 or more nights, per pet. Each pet must weigh less than 80 lbs. Pet agreement must be signed at check in. Pet damage deposit: 75 USD",,hampton-roads-va
Comfort Inn Newport News - Hampton I-64,pet-friendly-hotels,12330 Jefferson Ave.,Newport News,VA,23602,+1 757-781-1119,https://www.choicehotels.com/virginia/newport-news/comfort-inn-hotels/va445,https://www.choicehotels.com/virginia/newport-news/comfort-inn-hotels/va445,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Allowed: Yes / General: Pets Are Allowed. Dogs Only. 30.00 USD Per Night Per Pet. 100.00 USD Refundable Deposit Amount. 30lbs. 2 Dogs maximum per room.. Service animals are permitted, without charge.",,hampton-roads-va
