name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel Miami Aventura,pet-friendly-hotels,20805 Biscayne Blvd,Aventura,FL,33180,(786) 590-5100,https://www.marriott.com/en-us/hotels/miaan-ac-hotel-miami-aventura/overview/,https://www.marriott.com/en-us/hotels/miaan-ac-hotel-miami-aventura/overview/,OFFICIAL_PROPERTY,2026-09-19,,,Pet Policy Pets Welcome $75 per stay Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,miami-fl
AC Hotel Miami Beach,pet-friendly-hotels,2912 Collins Ave,Miami Beach,FL,33140,(786) 708-7230,https://www.marriott.com/en-us/hotels/miaac-ac-hotel-miami-beach/overview/,https://www.marriott.com/en-us/hotels/miaac-ac-hotel-miami-beach/overview/,OFFICIAL_PROPERTY,2026-09-19,,,Pets Welcome Pets allowed up to 50lbs. Maximum Pet Weight: 50.0lbs Maximum Number of Pets in Room: 1,,miami-fl
AC Hotel Miami Wynwood,pet-friendly-hotels,3400 Biscayne Blvd,Miami,FL,33137,(786) 209-0005,https://www.marriott.com/en-us/hotels/miaaw-ac-hotel-miami-wynwood/overview/,https://www.marriott.com/en-us/hotels/miaaw-ac-hotel-miami-wynwood/overview/,OFFICIAL_PROPERTY,2026-09-19,,,"Pet Policy Pets Welcome Pets welcome! A $50 per night fee is required, with max of $150 per stay Maximum Pet Weight: 75.0lbs Maximum Number of Pets in Room: 2",,miami-fl
Aloft Coral Gables,pet-friendly-hotels,2524 Le Jeune Rd,Coral Gables,FL,33134,(305) 858-0915,https://www.marriott.com/en-us/hotels/miacl-aloft-coral-gables/overview/,https://www.marriott.com/en-us/hotels/miacl-aloft-coral-gables/overview/,OFFICIAL_PROPERTY,2026-09-19,,,Pet Policy Pets Welcome Dogs allowed (Less than 40 pounds) Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 1,,miami-fl
Aloft Miami Airport,pet-friendly-hotels,7220 NW 36th St,Miami,FL,33166,(305) 901-1005,https://www.marriott.com/en-us/hotels/miala-aloft-miami-airport/overview/,https://www.marriott.com/en-us/hotels/miala-aloft-miami-airport/overview/,OFFICIAL_PROPERTY,2026-09-19,,,Pet Policy Pets Welcome $50/day Pet Fee Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,miami-fl
Aloft Miami Aventura,pet-friendly-hotels,2910 NE 207th St,Aventura,FL,33180,(786) 590-5150,https://www.marriott.com/en-us/hotels/miaaa-aloft-miami-aventura/overview/,https://www.marriott.com/en-us/hotels/miaaa-aloft-miami-aventura/overview/,OFFICIAL_PROPERTY,2026-09-19,,,Pet Policy Pets Welcome $75 per stay Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,miami-fl
Aloft Miami Brickell,pet-friendly-hotels,1001 SW 2nd Ave,Miami,FL,33130,(786) 837-1443,https://www.marriott.com/en-us/hotels/miaba-aloft-miami-brickell/overview/,https://www.marriott.com/en-us/hotels/miaba-aloft-miami-brickell/overview/,OFFICIAL_PROPERTY,2026-09-19,,,Pets Welcome No pet fee. $250 charge may apply for damage or additional cleaning Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,miami-fl
Aloft Miami Dadeland,pet-friendly-hotels,7600 N Kendall Dr,Miami,FL,33156,(305) 595-6000,https://www.marriott.com/en-us/hotels/miamd-aloft-miami-dadeland/overview/,https://www.marriott.com/en-us/hotels/miamd-aloft-miami-dadeland/overview/,OFFICIAL_PROPERTY,2026-09-19,,,"Pet Policy Pets Welcome Pet waiver signed at check-in, 40 lbs max, USD 75 non-refundable fee per night . Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2",,miami-fl
Aloft Miami Doral,pet-friendly-hotels,3265 NW 107th Ave,Doral,FL,33172,(786) 272-7200,https://www.marriott.com/en-us/hotels/miaal-aloft-miami-doral/overview/,https://www.marriott.com/en-us/hotels/miaal-aloft-miami-doral/overview/,OFFICIAL_PROPERTY,2026-09-19,,,Pets Welcome $50.00 pet fee per day (max $150 per stay. Only dogs) Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 1,,miami-fl
Andaz Miami Beach,pet-friendly-hotels,4041 Collins Ave,Miami Beach,FL,33140,(949) 330-4000,https://www.hyatt.com/andaz/miaob-andaz-miami-beach,https://www.hyatt.com/andaz/miaob-andaz-miami-beach,OFFICIAL_PROPERTY,2026-09-19,,,Pets Are Welcome Fees $100 Weight Limits Maximum number of pets is 2.,,miami-fl
