name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Aloft by Marriott Orlando at SeaWorld,pet-friendly-hotels,5730 Central Florida Parkway,Orlando,FL,32821,(407) 584-0341,https://www.marriott.com/en-us/hotels/mcoae-aloft-orlando-at-seaworld/overview/,https://www.marriott.com/en-us/hotels/mcoae-aloft-orlando-at-seaworld/overview/,OFFICIAL_PROPERTY,2026-09-15,,,Pet Policy: Pets Welcome | 2 pets - 75lbs max per pet per room (non refundable fee of $75) | Non-Refundable Pet Fee Per Night: ... | Maximum Pet Weight: 75.0lbs | Maximum Number of Pets in Room: 2,,orlando-fl
Aloft by Marriott Orlando Downtown,pet-friendly-hotels,500 South Orange Avenue,Orlando,FL,32801,(407) 380-3500,https://www.marriott.com/en-us/hotels/mcodl-aloft-orlando-downtown/overview/,https://www.marriott.com/en-us/hotels/mcodl-aloft-orlando-downtown/overview/,OFFICIAL_PROPERTY,2026-09-15,,,"Pet Policy: Pets Welcome | Limited to dogs, cats, and fish only | Maximum Pet Weight: 80.0lbs | Maximum Number of Pets in Room: 3",,orlando-fl
Aloft by Marriott Orlando Lake Buena Vista,pet-friendly-hotels,7950 Palm Parkway,Orlando,FL,32836,(215) 238-1046,https://www.marriott.com/en-us/hotels/mcoav-aloft-orlando-lake-buena-vista/overview/,https://www.marriott.com/en-us/hotels/mcoav-aloft-orlando-lake-buena-vista/overview/,OFFICIAL_PROPERTY,2026-09-15,,,Pet Policy: Pets Welcome | Call for Availability; Dogs allowed $80 maximum per stay; No Cats Allowed | Non-Refundable Pet Fee Per Night: ... | Maximum Pet Weight: 75.0lbs | Maximum Number of Pets in Room: 2,,orlando-fl
Aloft by Marriott Orlando Lake Nona,pet-friendly-hotels,7215 Corner Drive,Orlando,FL,32827,(407) 856-9165,https://www.marriott.com/en-us/hotels/mconl-aloft-orlando-lake-nona/overview/,https://www.marriott.com/en-us/hotels/mconl-aloft-orlando-lake-nona/overview/,OFFICIAL_PROPERTY,2026-09-15,,,Pet Policy: Pets Welcome | $50 per day limit of 2 pets per room | Maximum Number of Pets in Room: 2,,orlando-fl
Americas Best Value Inn Orlando,pet-friendly-hotels,9393 S Orange Blossom Trl,Orlando,FL,32837,(407) 859-5410,https://www.sonesta.com/americas-best-value-inn/fl/orlando/americas-best-value-inn-orlando,https://www.sonesta.com/americas-best-value-inn/fl/orlando/americas-best-value-inn-orlando,OFFICIAL_PROPERTY,2026-09-15,,,Pets are welcome | up to 40lbs | maximum of 1 pet,,orlando-fl
Avanti International Resort,pet-friendly-hotels,8738 International Dr,Orlando,FL,32819,(407) 370-4720,https://www.avantiresort.com/,https://www.avantiresort.com/,OFFICIAL_PROPERTY,2026-09-15,,,"Q: Is Avanti Resort pet-friendly? A: Yes, we are a dog-friendly resort.",,orlando-fl
Baymont by Wyndham Orlando Downtown,pet-friendly-hotels,3956 West Colonial Drive,Orlando,FL,32808,(305) 790-0834,https://www.wyndhamhotels.com/baymont/orlando-florida/baymont-orlando-downtown/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=07230&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-15,,,Service Animals - ADA-defined service animals welcome. / Pets Allowed - 2 pets max. 55lbs or less per pet. / Fees - 50USD per pet per night. Pet Sanitation Fee 100USD if required. / Other information - Contact hotel for additional details and availability.,,orlando-fl
Baymont by Wyndham Orlando East,pet-friendly-hotels,8750 East Colonial Drive,Orlando,FL,32817,(407) 505-5103,https://www.wyndhamhotels.com/baymont/orlando-florida/baymont-orlando-east/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=59417&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-15,,,Service Animals - ADA-defined service animals welcome. / Pets Allowed - 2 pets max. 55lbs or less per pet. / Fees - 50USD plus tax per pet per night. / Other Information - Contact hotel for additional details and availability.,,orlando-fl
Baymont by Wyndham Orlando Lake Buena Vista South,pet-friendly-hotels,2930 Polynesian Isle Blvd,Kissimmee,FL,34746,(689) 208-7060,https://www.wyndhamhotels.com/baymont/kissimmee-florida/baymont-orlando-lake-buena-vista-south/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=37370&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-15,,,Service Animals - ADA-defined service animals welcome. / Pets Allowed - 1 pet max. 50lbs or less per pet. / Fees - 75USD per pet per stay. / Other Information - Contact hotel for additional details and availability.,,orlando-fl
Baymont by Wyndham Orlando North Millenia,pet-friendly-hotels,2500 33rd St.,Orlando,FL,32839,(689) 400-1144,https://www.wyndhamhotels.com/baymont/orlando-florida/baymont-orlando-north-millenia/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=06543&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-15,,,Service Animals - ADA-defined service animals welcome. / Pets Allowed - 1 pet max. 50lbs or less per pet. / Fees - 75USD per stay. / Other Information - Contact hotel for additional details and availability.,,orlando-fl
