name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel by Marriott Clearwater Beach,pet-friendly-hotels,395 Coronado Dr,Clearwater Beach,FL,33767,(720) 844-0727,https://www.marriott.com/en-us/hotels/tpaab-ac-hotel-clearwater-beach/overview/,https://www.marriott.com/en-us/hotels/tpaab-ac-hotel-clearwater-beach/overview/,OFFICIAL_PROPERTY,2026-09-15,,,Pets Welcome. Pet Policy: A non-refundable deposit of $75 per stay. Maximum Pet Weight: 50.0lbs. Maximum Number of Pets in Room: 2,,tampa-fl
Ac Hotel St Petersburg Downtown,pet-friendly-hotels,110 2 St N,St. Petersburg,FL,33701,(727) 864-0001,https://www.marriott.com/en-us/hotels/tpapa-ac-hotel-st-petersburg-downtown/overview/,https://www.marriott.com/en-us/hotels/tpapa-ac-hotel-st-petersburg-downtown/overview/,OFFICIAL_PROPERTY,2026-09-15,,,Pet Policy: Pets Welcome. $50 USD Non Refundable per day up to $150 per stay.,,tampa-fl
AC Hotel Tampa Airport,pet-friendly-hotels,4020 W Boy Scout Blvd,Tampa,FL,33607,(813) 350-4020,https://www.marriott.com/en-us/hotels/tpaac-ac-hotel-tampa-airport/overview/,https://www.marriott.com/en-us/hotels/tpaac-ac-hotel-tampa-airport/overview/,OFFICIAL_PROPERTY,2026-09-15,,,"Pets Welcome. Pets and Emotional Support Animals welcome - $50 per day, up to $250 per week. Maximum Pet Weight: 75.0lbs.",,tampa-fl
Aloft Tampa Downtown,pet-friendly-hotels,100 W Kennedy Blvd,Tampa,FL,33602,(813) 898-8000,https://www.marriott.com/en-us/hotels/tpatl-aloft-tampa-downtown/overview/,https://www.marriott.com/en-us/hotels/tpatl-aloft-tampa-downtown/overview/,OFFICIAL_PROPERTY,2026-09-15,,,Pets Welcome. Hotel is pet friendly and charges $50 non-refundable fee.,,tampa-fl
Aloft Tampa Midtown,pet-friendly-hotels,3650 Midtown Dr,Tampa,FL,33607,(813) 353-0555,https://www.marriott.com/en-us/hotels/tpaal-aloft-tampa-midtown/overview/,https://www.marriott.com/en-us/hotels/tpaal-aloft-tampa-midtown/overview/,OFFICIAL_PROPERTY,2026-09-15,,,Pets Welcome. 50 USD Non-Refundable Fee per Room. Maximum Pet Weight: 40.0lbs. Maximum Number of Pets in Room: 2,,tampa-fl
Avalon Club Hotel,pet-friendly-hotels,24 Avalon St,Clearwater Beach,FL,33767,(800) 626-2080,https://theavalonclubhotel.com/,https://theavalonclubhotel.com/,OFFICIAL_PROPERTY,2026-09-15,,,"Rates quoted are based on check-in date and length of stay, if you choose to depart early, price is subject to change A State Tax of 7%, Occupancy Tax 6% will apply to each reservation PET POLICY – DOGS: Dogs of 30lb or less are welcome to stay at the hotel in the designated Pet Friendly Rooms. Max dogs in room: 2, Max total weight 60lb. A non-refundable fee of $85 + tax nightly will be charged to the guest account Pet etiquette must be filled at check in time Guests will be responsible for any",,tampa-fl
AVE Tampa Riverwalk,pet-friendly-hotels,160 W Tyler St,Tampa,FL,33602,,https://www.aveliving.com/locations/tampa-florida/tampa-riverwalk/furnished-apartments,https://www.aveliving.com/locations/tampa-florida/tampa-riverwalk/furnished-apartments,OFFICIAL_PROPERTY,2026-09-15,,,"Pet Friendly Your pets are part of the family. Enjoy our pet spa and dog park where your four-legged companions can play, get pampered, and socialize in dedicated spaces designed just for them and you. HightLightsCard]:md:h-[340px]""> Pet Friendly Your pets are part of the family. | Dog Park 01 / 24 01 / 24 svg]:text-brand-tertiary-sail [&>svg]:ml-2 [&>svg]:opacity-100""> All (24) Furnished Apartment (4) Flexible Workspace (4) Social Spaces (10) Outdoor Amenities (6) Courtyard (1) Exterior (2) Wel",,tampa-fl
Bay Palms Waterfront Resort,pet-friendly-hotels,4237 Gulf Blvd,St Pete Beach,FL,33706,,https://www.baypalmsresort.com/,https://www.baypalmsresort.com/,OFFICIAL_PROPERTY,2026-09-15,,,The Bay Palms Waterfront Resort – Hotel and Marina and the Bayview Plaza Waterfront Resort offer pet friendly rooms. Pets are part of the family.,,tampa-fl
Bayview Plaza Waterfront Resort,pet-friendly-hotels,4321 Gulf Blvd,St Pete Beach,FL,33706,,https://www.thebayviewplaza.com/,https://www.thebayviewplaza.com/,OFFICIAL_PROPERTY,2026-09-15,,,The Bay Palms Waterfront Resort – Hotel and Marina and the Bayview Plaza Waterfront Resort offer pet friendly rooms. Pets are part of the family.,,tampa-fl
Bellweather Beach Resort,pet-friendly-hotels,5250 Gulf Blvd,St.pete Beach,FL,33706,(800) 448-0901,https://www.bellwetherbeachresort.com/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness,https://www.bellwetherbeachresort.com/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness,OFFICIAL_PROPERTY,2026-09-15,,,"Is the hotel pet friendly? Unfortunately, Bellwether Beach Resort is a pet-free facility. We accept service dogs and will require a signed pet agreement.",,tampa-fl
