identity_key,canonical_name,brand,address,corridor,review_state,pets_allowed,pet_fee,fee_currency,fee_basis,fee_structure,fee_cap,weight_limit,pet_count_limit,species_allowed,withheld_fields,warnings,proposed_decision,founder_decision,source_url,document_sha256,record_hash
aloft by marriott milwaukee downtown,Aloft by Marriott Milwaukee Downtown,MARRIOTT,"1230 N. Dr. Martin Luther King Jr. Dr., Milwaukee, WI, 53212",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,,,,,,"{""unit"": ""lb"", ""value"": 40.0}",2,,pet_fee=SOURCE_SILENT,no fee is published; the source states none this reader could represent | pet_fee withheld: SOURCE_SILENT,APPROVE,,https://www.marriott.com/en-us/hotels/mkeal-aloft-milwaukee-downtown/overview/,5e2a80cd8b2ed8ec56077d4273083e0107e67f5ab3a2eae86a88af75b849033a,sha256:ce67ca1bb463954b418080278509d35e01264349ab6f613b1a797f72dc2b58b0
ambassador hotel milwaukee trademark collection by wyndham,"Ambassador Hotel Milwaukee, Trademark Collection by Wyndham",WYNDHAM,"2308 W Wisconsin Avenue, Milwaukee, WI, 53233",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,5000,USD,per_stay,,,"{""unit"": ""lb"", ""value"": 30.0}",1,"[""dog""]",,,APPROVE,,https://www.wyndhamhotels.com/trademark/milwaukee-wisconsin/ambassador-hotel-trademark-collection/overview,f6fd2220e7e6995b8cdabae84e3b1ae6e41b195f12ca603ad3bcad7723bdd22f,sha256:f5ffa307f2b3b564f21956c8f2c266a9de1b52dfac1d4f06a92bd9329c16b530
americinn by wyndham glendale milwaukee,AmericInn by Wyndham Glendale/Milwaukee,WYNDHAM,"5110 N Port Washington Rd, Glendale, WI, 53217",milwaukee-wi__milwaukee-north-shore,FOUNDER_REVIEW_READY,True,2500,USD,per_night,,,"{""unit"": ""lb"", ""value"": 50.0}",2,,,,APPROVE,,https://www.wyndhamhotels.com/americinn/glendale-wisconsin/americinn-glendale-milwaukee/overview,f7b14b0a07edf86146b8ff70c1ab768169f98942cba781b6638002fdf6175b64,sha256:f87cf1b49e70281dbeb6e7e1130beb2730aa08643f33e1cae0600fc25623f2a2
avid hotels milwaukee west waukesha,avid hotels Milwaukee West - Waukesha,IHG,"2101 Meadow Lane, Pewaukee, WI, 53072",milwaukee-wi__waukesha-pewaukee,FOUNDER_REVIEW_READY,True,,,,,,"{""unit"": ""lb"", ""value"": 50.0}",2,,pet_fee=SOURCE_SILENT,no fee is published; the source states none this reader could represent | pet_fee withheld: SOURCE_SILENT,APPROVE,,https://www.ihg.com/avidhotels/hotels/us/en/waukesha/mkeav/hoteldetail,659423a7c5394e089164ccf97a72169ffb91fd1bebaae242836ce87fc6b1d327,sha256:87fb879d93928383edc8753043e44012227a13743b4b508a05e87aaed2c255f1
avid hotels oak creek,avid hotels Oak Creek,IHG,"9293 South 13th Street, Oak Creek, WI, 53154",milwaukee-wi__oak-creek-franklin,FOUNDER_REVIEW_READY,True,,,,,,,,"[""dog""]",pet_fee=SOURCE_SILENT,no fee is published; the source states none this reader could represent | pet_fee withheld: SOURCE_SILENT,APPROVE,,https://www.ihg.com/avidhotels/hotels/us/en/oak-creek/mkeco/hoteldetail,af560327f8e7e3c500b0046300bd60bb97e7a4338a94ffa4a781066642cf413a,sha256:1e9e0643a5d48df4b5756ecfcb3e44175ad3140c0a49448376755fd5f7ea5e59
baymont by wyndham waukesha,Baymont by Wyndham Waukesha,WYNDHAM,"2111 East Moreland Blvd, Waukesha, WI, 53186",milwaukee-wi__waukesha-pewaukee,FOUNDER_REVIEW_READY,True,3000,USD,per_night,,,"{""unit"": ""lb"", ""value"": 50.0}",2,"[""cat"", ""dog""]",,,APPROVE,,https://www.wyndhamhotels.com/baymont/waukesha-wisconsin/baymont-inn-and-suites-waukesha/overview,c461bb2b7ef3da0c395c735c81481962248aa6bfc0950ef5f7cdfb88c37038bd,sha256:8d7183d805e1ba84b267a76ac91e9bd14a41b2ba6f016caa2d960098a2602380
best western plus milwaukee airport hotel and conference center,Best Western Plus Milwaukee Airport Hotel & Conference Center,BEST_WESTERN,"5105 S Howell Avenue, Milwaukee, WI, 53207",milwaukee-wi__milwaukee-airport-south,FOUNDER_REVIEW_READY,True,3500,USD,per_day,,,"{""unit"": ""lb"", ""value"": 80.0}",2,,,,APPROVE,,https://www.bestwestern.com/en_US/book/hotels-in-milwaukee/best-western-plus-milwaukee-airport-hotel-conference-center/propertyCode.50056.html,bfe6d1890dcb1ceec14333cf93cee28bbef56cfc499c28c707a814205c36a3a0,sha256:e8bb4fd1f84c6bd5d806d1e5792abadab41c58636a012e6932d7534f72fab11d
best western waukesha grand,Best Western Waukesha Grand,BEST_WESTERN,"2840 N Grandview Boulevard, Pewaukee, WI, 53072",milwaukee-wi__waukesha-pewaukee,FOUNDER_REVIEW_READY,True,3000,USD,per_day,,,"{""unit"": ""lb"", ""value"": 80.0}",2,,,,APPROVE,,https://www.bestwestern.com/en_US/book/hotels-in-pewaukee/best-western-waukesha-grand/propertyCode.50116.html,cd36d5a2d9b4c36a926749b914a45b6e9519eac08a133d0178f3fb961fc9d01a,sha256:6dc83cd0dae8fa18aea4b4cc3a6d97b2d5434a09228807b2fcfe5ceda1b26152
candlewood suites milwaukee airport oak creek,Candlewood Suites Milwaukee Airport-Oak Creek,IHG,"6440 S. 13th Street, Oak Creek, WI, 53154",milwaukee-wi__oak-creek-franklin,FOUNDER_REVIEW_READY,True,7500,USD,per_night,,,,2,,,,APPROVE,,https://www.ihg.com/candlewood/hotels/us/en/oak-creek/mkegw/hoteldetail,032f07e70ecd6c64e298024c962ac3d3566b00a3271f8006cb1c46b733c57bf2,sha256:062af4503bedbb9fd4a0f54e06863a23236d4c80ad563708e6899763e53a15f4
cobblestone hotel and suites waukesha west milwaukee,Cobblestone Hotel & Suites - Waukesha/West Milwaukee,INDEP:staycobblestone.com,"704 N. Grand Avenue, Waukesha, WI, 53186",milwaukee-wi__waukesha-pewaukee,FOUNDER_REVIEW_READY,True,2500,USD,per_night,,,,,,,,APPROVE,,https://staycobblestone.com/wi/waukesha/,1ac83436a1b9204703664469561675e72705496cfe29028d2c0d4df928c1e920,sha256:ff9152d5ec8b932822f7dc4973a59e27e1edf296d40aa019ae5501587be6a383
comfort inn and suites nw milwaukee,Comfort Inn & Suites NW Milwaukee,CHOICE,"W177 N9675 Riversbend Lane, Germantown, WI, 53022",milwaukee-wi__menomonee-falls-germantown,FOUNDER_REVIEW_READY,True,7500,USD,per_stay,,,,2,,,,APPROVE,,https://www.choicehotels.com/wisconsin/germantown/comfort-inn-hotels/wi426,ffde1bfcc742c3133a08fbbde9b26ce861aabf67c1c9ece7f3c46bc06507eed3,sha256:7a821b5afc2570ef5c229733d33a04fb586a451774de7ed0f02be495dc2df651
