url,page_type,source,notes
/,home,generated,
/pet-friendly-hotels/,category,generated,pet-friendly-hotels
/pet-friendly-parks/,category,generated,pet-friendly-parks
/pet-friendly-restaurants/,category,generated,pet-friendly-restaurants
/columbus-oh/,location,generated,Columbus
/dublin-oh/,location,generated,Dublin
/columbus-oh/pet-friendly-hotels/,location_category,generated,pet-friendly-hotels in Columbus
/columbus-oh/pet-friendly-parks/,location_category,generated,pet-friendly-parks in Columbus
/columbus-oh/pet-friendly-restaurants/,location_category,generated,pet-friendly-restaurants in Columbus
/dublin-oh/pet-friendly-hotels/,location_category,generated,pet-friendly-hotels in Dublin
/dublin-oh/pet-friendly-parks/,location_category,generated,pet-friendly-parks in Dublin
/dublin-oh/pet-friendly-restaurants/,location_category,generated,pet-friendly-restaurants in Dublin
